TABLE=056 | AREA=Phường Bình Phước | RECORDS=693 | GROUPS=258 | REVIEW=3
ID=NQ28-056-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=800,640,380 | ROAD=56. Phường Bình Phước Tên đường giao thông TT Đường Quốc lộ 14 | START=Đoạn Ngã tư Đồng Xoài | END=đường Giá trồng cây năm Đường Đồng Khởi | FLAGS=
ID=NQ28-056-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Đường Đồng Khởi | END=Đường Lê Duẩn | FLAGS=
ID=NQ28-056-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Đường Lê Duẩn | END=Đường Nguyễn Văn Linh | FLAGS=
ID=NQ28-056-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Đường Nguyễn Văn Linh | END=Giáp ranh phường Đồng Xoài Ngã tư Đồng | FLAGS=
ID=NQ28-056-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Ngã tư Đồng Xoài | END=Xoài hướng về xã Đồng Tiến (cũ) (tính từ tim đường Phú Riềng Đỏ + 65m) | FLAGS=
ID=NQ28-056-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Ngã tư Đồng Xoài hướng về xã Đồng Tiến (cũ) (tính từ tim đường Phú Riềng Đỏ + | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-056-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=65m) Đường Nguyễn Huệ | END=Hết ranh quy hoạch đường số 2 | FLAGS=
ID=NQ28-056-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=800,640,380 | ROAD=Đường Quốc lộ 14 | START=Hết ranh quy hoạch đường số 2 | END=Cầu số 2 giáp ranh huyện Đồng Phú (cũ) | FLAGS=
ID=NQ28-056-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Ngã tư Đồng Xoài | END=Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Đường Lý Thường Kiệt | END=Đường Trương Công Định | FLAGS=
ID=NQ28-056-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Đường Trương Công Định | END=Đường Cách Mạng Tháng Tám | FLAGS=
ID=NQ28-056-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Đường Cách Mạng Tháng Tám | END=Hết ranh đất Trung tâm Sát Hạch lái xe Cao Su | FLAGS=
ID=NQ28-056-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Giáp ranh đất Trung tâm Sát Hạch lái xe Cao Su | END=Giáp ranh huyện Đồng Phú (cũ) | FLAGS=
ID=NQ28-056-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Ngã tư Đồng Xoài | END=Đường Nơ Trang Long | FLAGS=
ID=NQ28-056-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Đường Nơ Trang Long | END=Đường Hùng Vương | FLAGS=
ID=NQ28-056-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Đường Hùng Vương | END=Hết ranh đất Chi cục Kiểm | FLAGS=
ID=NQ28-056-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=800,640,380 | ROAD=Đường Phú Riềng Đỏ | START=Giáp ranh đất Chi cục Kiểm lâm tỉnh Bình Phước (cũ) | END=lâm tỉnh Bình Phước (cũ) Giáp ranh xã Tiến Hưng (cũ) | FLAGS=
ID=NQ28-056-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=430,340,200 | ROAD=Đường An Dương Vương | START=Đường Phú Riềng Đỏ | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=430,340,200 | ROAD=Đường An Dương Vương | START=Đường Võ Văn Tần | END=Đường Quốc lộ 14 | FLAGS=
ID=NQ28-056-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=430,340,200 | ROAD=Đường Bạch Đằng | START=Đường Lê Duẩn | END=Đường Trần Quang Diệu | FLAGS=
ID=NQ28-056-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=430,340,200 | ROAD=Đường Bạch Đằng | START=Đường Trần Quang Diệu | END=Đường Trường Chinh | FLAGS=
ID=NQ28-056-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=430,340,200 | ROAD=Đường Bùi Thị Xuân | START=Đường Phú Riềng Đỏ | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=430,340,200 | ROAD=Đường Bùi Thị Xuân | START=Đường Đặng Thai Mai | END=Đường Hồ Xuân Hương | FLAGS=
ID=NQ28-056-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=430,340,200 | ROAD=Đường Đặng Trần Thi | START=Đường Trần Hưng Đạo | END=Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=430,340,200 | ROAD=Đường Đặng Trần Thi | START=Đường Trần Hưng Đạo | END=Đường Cao Xuân Huy | FLAGS=
ID=NQ28-056-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=800,640,380 | ROAD=Đường ĐT 753 | START=Ngã tư Bàu Trúc | END=Đường Cù Chính Lan | FLAGS=
ID=NQ28-056-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=800,640,380 | ROAD=Đường ĐT 753 | START=Đường Cù Chính Lan | END=Cầu Rạt nhỏ | FLAGS=
ID=NQ28-056-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=800,640,380 | ROAD=Đường ĐT 753 | START=Cầu Rạt nhỏ | END=Cầu Rạt lớn (giáp ranh huyện Đồng Phú (cũ)) | FLAGS=
ID=NQ28-056-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=430,340,200 | ROAD=Đường Hà Huy Tập | START=Đường 6 tháng 1 | END=Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=430,340,200 | ROAD=Đường Hà Huy Tập | START=Đường Trần Hưng Đạo | END=Đường Phạm Đình Hổ | FLAGS=
ID=NQ28-056-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=430,340,200 | ROAD=Đường Hai Bà Trưng | START=Đường Quốc 14 | END=lộ Đường Trương Công Định | FLAGS=
ID=NQ28-056-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=430,340,200 | ROAD=Đường Hai Bà Trưng | START=Đường Trương Công Định | END=Đường Bùi Thị Xuân | FLAGS=
ID=NQ28-056-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=430,340,200 | ROAD=Đường Hàm Nghi | START=Đường Hồ Xuân Hương | END=Đường Nguyễn Bỉnh Khiêm | FLAGS=
ID=NQ28-056-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=430,340,200 | ROAD=Đường Hàm Nghi | START=Đường Nguyễn Bỉnh Khiêm | END=Đường Trường Chinh | FLAGS=
ID=NQ28-056-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Xuân Hương | START=Đường Trường Chinh | END=Đường Hàm Nghi | FLAGS=
ID=NQ28-056-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Xuân Hương | START=Đường Hàm | END=Đường Lê | FLAGS=
ID=NQ28-056-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Xuân Hương | START=Nghi Đường Lê Trọng Tấn | END=Trọng Tấn Đường Nguyễn Hữu Cảnh | FLAGS=
ID=NQ28-056-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Xuân Hương | START=Đường Nguyễn Hữu Cảnh | END=Hết đường N16 khu dân cư Bắc Đồng Phú | FLAGS=
ID=NQ28-056-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Duẩn | START=Đường Hùng Vương | END=Đường Quốc lộ 14 | FLAGS=
