TABLE=058 | AREA=Phường Minh Hưng | RECORDS=236 | GROUPS=236 | REVIEW=10
ID=NQ28-058-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=58. Phường Minh Hưng Tên đường giao TT thông Phía đường Đường ĐT 751 (Ranh Chơn | START=Đoạn đường Phía giới Bắc: Ngã ba tờ Ngô Đức Kế Phía giới phường đường Thành) ranh Chơn | END=Giá trồng cây năm Bắc: Hết ranh thửa đất số 69, bản đồ số 140; Nam: Ngã ba bê tông giới phường Thành | FLAGS=
ID=NQ28-058-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=700,560,336 | ROAD=Phía giới tờ Đường ĐT 751 Phía đường ranh Chơn | START=Bắc: Hết ranh thửa đất số 69, Ngã bản đồ số 140; và Nam: Ngã ba Khu bê tông 1 giới phường Thành cũ | END=tư đường số 4 đường số 9 - phố Minh Long | FLAGS=
ID=NQ28-058-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=700,560,336 | ROAD=Ngã và Đường ĐT 751 Khu 1 | START=Ngã tư đường số 4 14 đường số 9 - (Ngã phố Minh Long - Khu Long | END=tư đường số và đường số 19 tư Ngọc Lầu) phố Minh 1 | FLAGS=
ID=NQ28-058-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=700,560,336 | ROAD=Ngã 14 Đường ĐT 751 (Ngã - Khu Long | START=tư đường số Ngã và đường số 19 32 tư Ngọc Lầu) (Nhà phố Minh phố 1 | END=tư đường số và đường số 41 văn hóa khu Minh Long 3) | FLAGS=
ID=NQ28-058-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=700,560,336 | ROAD=Ngã 32 Đường ĐT 751 (Nhà phố | START=tư đường số Cầu và đường số 41 giới văn hóa khu Chí Minh Long 3) | END=Bà Và (Ranh Thành phố Hồ Minh) | FLAGS=
ID=NQ28-058-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH 05 Đường | START=Phía thửa bản ĐT 751 Phía đường đường | END=Tây: Hết ranh đất số 191, tờ đồ số 130; Đông: Ngã ba số 52 và ĐH 05 | FLAGS=
ID=NQ28-058-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường ĐH 05 Phía đường đường | START=Ngã Tây: Hết ranh tông đất số 191, tờ Minh đồ số 130; đường Đông: Ngã ba ranh số 52 và 168 ĐH 05 117) | END=tư đường bê - Khu phố Long 7 và ĐH 05 (hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-058-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=394,315,189 | ROAD=Ngã tông Minh Đường ĐH 05 đường ranh 168 | START=tư đường bê - Khu phố Long 7 và ĐH 05 (hết Đường thửa đất số tờ bản đồ số | END=ĐH 15 | FLAGS=
ID=NQ28-058-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=394,315,189 | ROAD=117) Đường ĐH 05 Đường | START=ĐT751 Đường Phía | END=ĐH 06 Bắc: Hết ranh | FLAGS=
ID=NQ28-058-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=394,315,189 | ROAD=Ranh Đường ĐH 06 Chơn | START=thửa giới phường bản Thành Phía đường đường | END=đất số 195, tờ đồ số 143; Nam: Ngã ba ĐH 06 và số 44 | FLAGS=
ID=NQ28-058-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=394,315,189 | ROAD=Phía thửa bản Đường ĐH 06 Phía đường đường | START=Bắc: Hết ranh Phía đất số 195, tờ đường đồ số 143; đường Nam: Ngã ba Nam: ĐH 06 và đường số 44 ĐH | END=Bắc: Ngã ba số 36 và ĐH 06; Phía Ngã ba bê tông và 06 | FLAGS=
