TABLE=059 | AREA=Phường Chơn Thành | RECORDS=213 | GROUPS=213 | REVIEW=23
ID=NQ28-059-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=59. Phường Chơn Thành Tên đường giao TT thông Đường 02 tháng 4 Ngã (Đường Quốc lộ | START=Đoạn đường Phía đường (hết số 42, tư Chơn 84) | END=Giá trồng cây năm Đông: Giáp bê Tông ranh thửa đất tờ bản đồ số Phía Tây: Giáp | FLAGS=
ID=NQ28-059-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Thành | START=đường ((hết số 40, 84) | END=bê tông ranh thửa đất tờ bản đồ số | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-059-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=700,560,336 | ROAD=Phía đường (Hết Đường 02 tháng 4 Nguyễn (Đường Quốc lộ | START=Đông; Giáp bê tông ranh đất bà Ngã Thị Riêng) Gia | END=tư đường Ngô Tự (Đường số | FLAGS=
ID=NQ28-059-S01-TT0013-02 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Phía đường ranh Nguyễn | START=Tây: Giáp 3) bê Tông hết đất bà Thị Mòi | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Đường (Đường Quốc lộ (Đường | START=Ngô Gia Tự Đường số 3) Quân | END=Lạc Long (Đường số 7) | FLAGS=
ID=NQ28-059-S01-TT0013-03 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Đường (Đường Quốc lộ Quân | START=Lạc Long Đường (Đường số 7) Công | END=Nguyễn Hoan | FLAGS=
ID=NQ28-059-S01-TT0013-04 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Đường (Đường Quốc lộ | START=Đường Nguyễn Hưng | END=Phùng (Ngã ba tổ 9- | FLAGS=
ID=NQ28-059-S01-TT0013-05 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Công | START=Hoan 10, | END=khu phố 10) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Đường (Đường Quốc lộ Hưng | START=Phùng Ranh (Ngã ba tổ 9- Minh | END=giới phường Hưng | FLAGS=
ID=NQ28-059-S01-TT0013-06 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=10, | START=khu phố 10) | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Ngã (Đường Quốc lộ | START=tư Chơn Cầu | END=Bến Đình | FLAGS=
ID=NQ28-059-S01-TT0013-07 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=Thành | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 (Đường Quốc lộ Cầu | START=Ngã Bến Đình Riềng | END=ba đường Phú Đỏ | FLAGS=
ID=NQ28-059-S01-TT0013-08 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=Phía | END=Tây: Đường | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=700,560,336 | ROAD=Đường 02 tháng 4 Ngã (Đường Quốc lộ Riềng | START=bê tông ba đường Phú công Đỏ Phía | END=giáp ranh ty Medivice 3s Đông: Đường | FLAGS=
ID=NQ28-059-S01-TT0013-09 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=bê tông phòng | END=vào văn Khu phố 7 | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=700,560,336 | ROAD=Phía Đường 02 tháng 4 bê (Đường Quốc lộ công | START=Tây: Đường Hết tông giáp ranh số 50, ty Medivice 105 | END=ranh thửa đất tờ bản đồ số (ranh giới | FLAGS=
ID=NQ28-059-S01-TT0013-10 | SEC=agricultural | TT=13 | REL=main | PRICES= | ROAD=3s Phía Đường | START=Đông: phường bê tông vào Tâm | END=Thành (cũ)) Hết ranh | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=700,560,336 | ROAD=Văn phố Đường Nguyễn Huệ - Đường ĐT Ngã | START=phòng Khu thửa bản 7 (ranh Thành tư Chơn Cầu | END=đất số 83, tờ đồ số 106 giới phường Tâm (cũ)) Suối Đôi | FLAGS=
ID=NQ28-059-S01-TT0751-01 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc Thành lộ 14 cũ) | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-059-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=700,560,336 | ROAD=Đường Nguyễn Huệ - Đường ĐT Cầu | START=Suối Đôi Cầu | END=Bàu Bàng | FLAGS=
ID=NQ28-059-S01-TT0751-02 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc lộ 14 cũ) | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0013-11 | SEC=agricultural | TT=13 | REL=main | PRICES=700,560,336 | ROAD=Đường Nguyễn Huệ - Đường Cầu DT751 (Đường Quốc lộ 14 cũ) | START=Đường Thạch Bàu Bàng Trung vực Phía | END=Phạm Ngọc (Đường vào tâm y tế khu Chơn Thành) Bắc: Đường | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=700,560,336 | ROAD=Đường Nguyễn Đường Huệ - Đường ĐT Thạch | START=bê tông đất Phạm Ngọc Xem (Đường vào 87, | END=giáp ranh ông Phan Văn (thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0751-03 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc Trung lộ 14 cũ) vực | START=tâm y tế khu 15) Chơn Thành) mương (Hết số 2, 42) | END=Phía Nam: Đến thoát nước ranh thửa đất tờ bản đồ số | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=700,560,336 | ROAD=Phía bê đất Xem Đường Nguyễn Huệ - Đường ĐT 87 | START=Bắc: Đường tông giáp ranh ông Phan Văn (thửa đất số Hết số 365, tờ bản đồ số 15) số 16 | END=ranh thửa đất tờ bản đồ (ranh giới | FLAGS=
ID=NQ28-059-S01-TT0751-04 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc Phía lộ 14 cũ) mương (Hết số 2, | START=Nam: Đến phường thoát nước Thành ranh thửa đất tờ bản đồ số | END=Minh (cũ)) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=700,560,336 | ROAD=42) Đường Nguyễn Huệ - Đường ĐT Ngã | START=Hết phường tư Chơn (cũ) | END=ranh UBND Hưng Long (thửa đất số | FLAGS=
ID=NQ28-059-S01-TT0751-05 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc Thành lộ 14 cũ) | START=21, 83) Ngã | END=tờ bản đồ số ba đường bê | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=700,560,336 | ROAD=Hết Đường Nguyễn phường Huệ - Đường ĐT Long | START=ranh UBND tông Hưng ranh (cũ) (thửa đất Nguyễn | END=Phía Bắc: hết đất nhà ông Minh Hùng | FLAGS=
ID=NQ28-059-S01-TT0751-06 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc số 21, lộ 14 cũ) 83) | START=tờ bản đồ số Phía bê Tông phòng | END=Nam: đường vào Văn Khu phố 4 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=700,560,336 | ROAD=Đường Nguyễn Ngã Huệ - Đường ĐT tông | START=ba đường bê Phía Phía Bắc: hết trường | END=Bắc: Hết ranh Chu Văn An | FLAGS=
ID=NQ28-059-S01-TT0751-07 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc ranh | START=đất nhà ông Phía | END=Nam: Hết ranh | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=700,560,336 | ROAD=lộ 14 cũ) Nguyễn Phía bê phòng Phía Đường Nguyễn trường Huệ - Đường ĐT Phía | START=Minh Hùng đất Nam: đường Nguyễn tông vào văn khu phố 4 Bắc: hết ranh Chu Văn An Ngã Nam: Hết | END=nhà ông Hải Hiệu ba đường Ngô | FLAGS=
ID=NQ28-059-S01-TT0751-08 | SEC=agricultural | TT=751 | REL=main | PRICES= | ROAD=(Đường Quốc ranh lộ 14 cũ) Nguyễn | START=Đức đất nhà ông Hải Hiệu | END=Kế | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=700,560,336 | ROAD=Đường Nguyễn Huệ - Đường Ngã DT751 (Đường Đức Quốc lộ 14 cũ) | START=Ngã tông ba đường Ngô 43, Kế của Kha) | END=ba đường bê (thửa đất số tờ bản đồ số 62 ông Huỳnh Duy | FLAGS=
ID=NQ28-059-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=394,315,189 | ROAD=Đường Lạc Long Đầu Quân (Đường quy HLBVĐB hoạch số 7) Quốc | START=Ngã tuyến (Cách tông - Đường trường lộ 14: 25m) Chơn | END=tư đường bê hết ranh tiểu học Thành A | FLAGS=
ID=NQ28-059-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường Lạc Long tông Quân (Đường quy trường hoạch số 7) Chơn | START=tư đường bê Ngã hết ranh tiểu học Gia Thành A | END=ba đường Ngô Tự nối dài | FLAGS=
ID=NQ28-059-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=394,315,189 | ROAD=Đường Lạc Long Ngã Quân (Đường quy Gia hoạch số 7) | START=Ngã ba đường Ngô ranh Tự nối dài Hoàng | END=tư đường giáp đất ông Liên Quân | FLAGS=
ID=NQ28-059-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=394,315,189 | ROAD=Đường Lạc Long Ngã Quân (Đường quy ranh hoạch số 7) Hoàng | START=Đường tư đường giáp (Cách đất ông Liên Đường Quân 25m) Phía | END=02 thống 4 HLBVĐB - Quốc lộ 13: Đông: Đường | FLAGS=
ID=NQ28-059-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=394,315,189 | ROAD=Đầu Đường Phạm Hồng Nguyễn Thái (Đường số 8) (Đường | START=tổ 1, thửa đường bản Huệ Tây: ĐT 751) tông số 44, 79) | END=khu phố 3 (Hết đất số 84, tờ đồ số 79) Phía Đường bê (Hết thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=394,315,189 | ROAD=Phía tổ 1, (Hết Đường Phạm Hồng 84, Thái (Đường số 8) Phía bê đất đồ | START=Đông: Đường khu phố 3 thửa đất số Ngã tờ bản đồ 79) Phạm Tây: Đường đường tông (Hết thửa số 44, tờ bản số 79) | END=tư đường Hồng Thái và Ngô Gia Tự | FLAGS=
ID=NQ28-059-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường Phạm Hồng Phạm Thái (Đường số 8) và Tự | START=Phía tư đường đường Hồng Thái ra đường đường Ngô Gia 4 (Hết 46, 60) | END=Đông: Ngã ba nhựa hướng 02 tháng thửa đất số tờ bản đồ số Phía Tây: Hết | FLAGS=
ID=NQ28-059-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=394,315,189 | ROAD=Phía đường hướng 02 Đường Phạm Hồng thửa Thái (Đường số 8) bản Tây: đất đồ | START=ranh 45, Đông: Ngã ba Phía nhựa ranh ra đường tờ bản tháng 4 (Hết đất số 46, tờ Phía đồ số 60) Phía đường Hết ranh thửa ranh số 45, tờ bản 106, 12) số 60 | END=thửa đất số tờ bản đồ số 60 Đông: Hết thửa đất số 5, đồ số 56 Tây: Giáp bê tông (Hết thửa đất số tờ bản đồ số | FLAGS=
