TABLE=060 | AREA=Xã Nha Bích | RECORDS=43 | GROUPS=43 | REVIEW=2
ID=NQ28-060-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=600,480,288 | ROAD=60. Xã Nha Bích Tên đường giao TT thông Đường Quốc lộ 14 Cầu lò gạch | START=Đoạn đường - Phía Đông vào Nông Nha Bích - Phía Tây tông (thửa bản đồ | END=Giá cây Nam: Đường trường cao su Bắc: Đường Bê đất số 07, tờ số 41) | FLAGS=
ID=NQ28-060-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=600,480,288 | ROAD=- Phía Đông Đường trường cao Bích Đường Quốc lộ 14 - Phía Tây Đường (thửa đất bản đồ số | START=Nam: vào Nông su Nha - Phía Nam: (thửa đất số 37 ) Bắc: bê tông Bê tông bản đồ số 07, tờ 41) | END=Đường nhựa số 45, tờ bản đồ - Phía Bắc: Đường (thửa đất số 70, tờ số 33) | FLAGS=
ID=NQ28-060-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=600,480,288 | ROAD=- Phía Nam: nhựa (thửa 45, tờ bản Đường Quốc lộ 14 ) - Phía Bắc: bê tông 70, tờ bản | START=Đường - Phía Bắc: đất số bê tông đồ số 37 9, tờ bản - Phía Nam: Đường Đường (thửa đất số 75, tờ bản đồ số 33) | END=Ngã ba đường (hết thửa đất số 3 đồ số 120) Ngã ba ĐH 10 (hết thửa đồ số 120) | FLAGS=
ID=NQ28-060-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=600,480,288 | ROAD=- Phía Bắc: đường bê thửa đất bản đồ số Đường Quốc lộ 14 - Phía Nam: Ngã ba 10 (hết thửa bản đồ số | START=Ngã ba tông (hết số 39, tờ - Phía Bắc: 120) số 176, đến - Phía Nam: Đường ĐH số 217, 75, tờ 120) | END=(hết thửa đất tờ bản đồ số 121) (hết thửa đất tờ bản đồ số 121) | FLAGS=
ID=NQ28-060-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=600,480,288 | ROAD=- Phía Bắc: thửa đất bản đồ số Đường Quốc lộ 14 - Phía Nam: thửa đất bản đồ số | START=(hết số 176, tờ - Phía Bắc: 121) số 286, - Phía Nam: (hết số 217, tờ số 373, 121) | END=(hết thửa đất tờ bản đồ số 122) (hết thửa đất tờ bản đồ số 122) | FLAGS=
ID=NQ28-060-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=600,480,288 | ROAD=- Phía Bắc: thửa đất bản đồ số Đường Quốc lộ 14 - Phía Nam: thửa đất bản đồ số | START=(hết - Phía Bắc: số 286, tờ số 44, tờ 122) - Phía Nam: (hết số 83, tờ số 373, tờ giáp đường 122) | END=(hết thửa đất bản đồ số 122) (hết thửa đất bản đồ số 122) số 47 | FLAGS=
ID=NQ28-060-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=600,480,288 | ROAD=- Phía Bắc: thửa đất bản đồ số Đường Quốc lộ 14 - Phía Nam: thửa đất bản đồ số đường số | START=(hết số 44, tờ 122) Giáp ranh (hết Xoài (Cầu số 83, tờ 122) giáp 47 | END=Phường Đồng Nha Bích) | FLAGS=
ID=NQ28-060-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=600,480,288 | ROAD=Giáp ranh Đường Quốc lộ 14 Chơn Thành Suối Ngang) | START=- Phía Tây: bê tông phường bản đồ (Cầu - Phía Đông: nhà văn đất số 79, | END=Ngã ba đường (thửa đất số 74, tờ số 137) Hết ranh đất hóa ấp 2 (thửa tờ bản đồ số | FLAGS=
ID=NQ28-060-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=600,480,288 | ROAD=- Phía Tây: đường bê (thửa đất bản đồ số Đường Quốc lộ 14 - Phía Đông: ranh đất hóa ấp 2 số 79, tờ 102) | START=137) Ngã ba tông số 74, tờ 102) Đến ranh Hết 25 Bình nhà văn (thửa đất bản đồ số | END=đất cây xăng số Phước | FLAGS=
ID=NQ28-060-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=600,480,288 | ROAD=Từ ranh Đường Quốc lộ 14 xăng số Phước | START=- Phía Tây thửa đất đất cây số 96 (Trạm 25 Bình Linh) - Phía Đông Cạn | END=Bắc: Hết ranh số 25, tờ bản đồ xăng dầu Mai Nam: Suối | FLAGS=
ID=NQ28-060-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=600,480,288 | ROAD=- Phía Tây ranh thửa tờ bản đồ Đường Quốc lộ 14 (Trạm xăng Linh) - Phía Đông | START=Bắc: Hết đất số 25, số 96 dầu Mai Giáp ranh Nam: | END=cầu Là Gạch | FLAGS=
ID=NQ28-060-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=420,336,202 | ROAD=Suối Cạn Giáp ranh Đường ĐT 756B gạch | START=Hết tuyến cầu lò tờ bản | END=(thửa đất số 77, đồ số 62) | FLAGS=
ID=NQ28-060-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=420,336,202 | ROAD=Đường ĐT 756B Đường | START=Hết thửa bản đồ Quốc lộ 14 cư Bình đường | END=đất số 340, tờ số 112 (Khu dân Minh) (ngã ba nhựa) | FLAGS=
ID=NQ28-060-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=420,336,202 | ROAD=Hết thửa tờ bản đồ Đường ĐT 756B (Khu dân Minh) (ngã đường nhựa) | START=đất số 340, số 112 cư Bình Ranh giới ba | END=xã Tân Quan | FLAGS=
ID=NQ28-060-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=420,336,202 | ROAD=Đường ĐT 756 Quốc lộ | START=- Phía Tây: THCS Minh số 64, tờ 14 - Phía Đông: thửa đất số 72) | END=Cổng Trường Lập (thửa đất bản đồ số 72) Hết ranh số 68, tờ bản đồ | FLAGS=
ID=NQ28-060-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=420,336,202 | ROAD=- Phía Tây: Trường Lập (thửa tờ bản đồ Đường ĐT 756 - Phía Đông: ranh thửa | START=Cổng THCS Minh đất số 64, Ngã tư số 72) bản đồ hết đất số 68, | END=(thửa đất số 08, tờ số 72) | FLAGS=
ID=NQ28-060-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=420,336,202 | ROAD=tờ bản đồ Đường ĐT 756 Ngã tư (thửa | START=số 72) đất số Ngã ba | END=Suối Nghiên | FLAGS=
ID=NQ28-060-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=420,336,202 | ROAD=08, tờ bản Ngã ba Đường ĐT 756 (đường đường ĐT | START=đồ số 72) (đường ĐT 756C) Suối Nghiên ĐT 756 và Ranh giới 756C) | END=ĐT 756 và đường xã Tân Hưng | FLAGS=
ID=NQ28-060-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=420,336,202 | ROAD=Ngã ba Đường ĐT 756C ĐT 756 ĐT 756C | START=giao đường và đường Ranh giới - Phía Tây: | END=xã Tân Quan Đường bê tông | FLAGS=
ID=NQ28-060-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=242,194,116 | ROAD=Đường huyện lộ Đường ĐH 13 | START=(thửa đất đồ số 100) Quốc lộ 14 - Phía Đông: tông (thửa bản đồ | END=số 144, tờ bản Đường bê đất số 24, tờ số 100) | FLAGS=
ID=NQ28-060-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=242,194,116 | ROAD=- Phía Tây: bê tông 144, tờ 100) Đường huyện lộ ĐH 13 - Phía Đông: bê tông 24, tờ bản | START=Đường (thửa đất số bản đồ số Hết ranh Đường tờ bản (thửa đất số đồ số | END=thửa đất số 203, đồ số 65 | FLAGS=
ID=NQ28-060-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=242,194,116 | ROAD=100) Đường Đường liên xã (Giáp ranh Nha Bích - Tân ông Nguyễn Quan Thành) | START=Quốc lộ 14 đất nhà Giáp ranh Xuân | END=xã Tân Quan | FLAGS=
ID=NQ28-060-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=242,194,116 | ROAD=Đường ĐH 09 (Đường Nha Bích Đường (Giáp ranh Tân Quan) (Đường ấp 1 - Tân ông Trần Quan) | START=Quốc lộ 14 Hết thửa đất nhà bản đồ Văn Minh) | END=đất số 256, tờ số 9 | FLAGS=
ID=NQ28-060-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=242,194,116 | ROAD=Đường ĐH 09 (Đường Nha Bích Hết thửa Tân Quan) tờ bản đồ (Đường ấp 1 - Tân Quan) | START=đất số 256, Giáp ranh số 9 - Hết ranh | END=xã Tân Quan đất nhà ông | FLAGS=
ID=NQ28-060-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=242,194,116 | ROAD=Đường Đường nhựa ấp 2 (Giáp ranh Dũng Luyện) | START=Nguyễn (thửa đất Quốc lộ 14 số 16) nhà hàng - Hết ranh Trần Hữu đất số 21, | END=Xuân Hải (tổ 3) số 55, tờ bản đồ đất nhà ông Đài (tổ 2) (thửa tờ bản đồ số | FLAGS=
ID=NQ28-060-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=242,194,116 | ROAD=Đường ĐH 10 Đường | START=16) Hết thửa Quốc lộ 14 đồ số 81 | END=đất số 3, tờ bản | FLAGS=
ID=NQ28-060-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=242,194,116 | ROAD=Hết thửa Đường ĐH 10 tờ bản đồ | START=đất số 3, Đường số 81 | END=huyện lộ ĐH13 | FLAGS=
ID=NQ28-060-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=242,194,116 | ROAD=Đường số 12 (Đi Đầu thửa qua tổ 8, to 10, tổ tờ bản đồ | START=đất số 74, Cuối thửa số 73 bản đồ | END=đất số 130, tờ số 75 (Tiếp giáp | FLAGS=
ID=NQ28-060-S01-TT0011-02 | SEC=agricultural | TT=11 | REL=main | PRICES= | ROAD=Ấp Minh Lập (Tiếp giáp | START=đường đường | END=ĐH 10) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-060-S01-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=ĐH 10) | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-060-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=242,194,116 | ROAD=Đường số 5 Đường | START=Cuối thửa Quốc lộ 14 bản đồ | END=đất số 37, tờ số 55 | FLAGS=
ID=NQ28-060-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=242,194,116 | ROAD=Cuối thửa Đường số 5 tờ bản đồ | START=đất số 37, Đường số 55 | END=ĐT 756 | FLAGS=
ID=NQ28-060-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=242,194,116 | ROAD=Đường giao thông kết hợp du lịch hồ Quốc lộ thủy lợi Phước Hòa | START=Hết thửa 14 đồ số 79 | END=đất số 62, tờ bản | FLAGS=
ID=NQ28-060-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=242,194,116 | ROAD=Đường giao thông Quốc lộ kết hợp du lịch hồ đất số 157, thủy lợi Phước đồ số 55) Hòa | START=14 (Từ thửa Đến hết tờ bản tờ bản | END=thửa đất số 123, đồ số 55 | FLAGS=
ID=NQ28-060-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=242,194,116 | ROAD=Đường DH 08 Đường | START=Hết ranh Quốc lộ 14 10 ha | END=khu tái định cư | FLAGS=
ID=NQ28-060-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=242,194,116 | ROAD=Hết ranh Đường DH 08 định cư | START=Giáp ranh khu tái 10 ha Thành | END=phường Minh | FLAGS=
ID=NQ28-060-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=242,194,116 | ROAD=HLLG đường Đường số 01 lộ 14 | START=Quốc Thửa đất đồ số 107 | END=số 746, tờ bản | FLAGS=
ID=NQ28-060-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=242,194,116 | ROAD=HLLG đường Đường số 15 lộ 14 | START=Thửa đất Quốc đồ số 96 đường | END=số 223, tờ bản - đấu nối với huyện lộ ĐH 13 | FLAGS=
ID=NQ28-060-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=242,194,116 | ROAD=HLLG đường Đường số 27 6B | START=Ngã ba ĐT 75 đầu ranh tờ bản | END=đường bê tông thửa đất số 76, đồ số 115 | FLAGS=
ID=NQ28-060-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=242,194,116 | ROAD=Từ thửa Đường ĐH 01 tờ bản đồ | START=đất số 922, Đến hết số 62 tờ bản | END=thửa đất số 858, đồ số 62 | FLAGS=
ID=NQ28-060-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=242,194,116 | ROAD=Từ thửa Đường số 40 tờ bản đồ Đường nhựa, | START=đất số 483, Đến hết số 62 tờ bản | END=thửa đất số 251, đồ số 62 | FLAGS=
ID=NQ28-060-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=151,121,72 | ROAD=đường bê tông nông thôn còn lại Toàn tuyến chưa quy định cụ | START= | END= | FLAGS=
ID=NQ28-060-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=151,121,72 | ROAD=thể ở trên Các đường còn lại | START= | END= | FLAGS=
