TABLE=061 | AREA=Phường Bình Long | RECORDS=190 | GROUPS=190 | REVIEW=2
ID=NQ28-061-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=308,246,172 | ROAD=61. Phường Bình Long Đường Lý Tự Trọng | START=Đoạn Đường Lê Lợi | END=đường Đường Hùng Vương | FLAGS=
ID=NQ28-061-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=308,246,172 | ROAD=Đường Trần Hưng Đạo | START=Đường Nguyễn | END=Đường Trần Phú | FLAGS=
ID=NQ28-061-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=280,224,157 | ROAD=Đường Trần Hưng Đạo | START=Huệ Đường Nguyễn Huệ | END=Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-061-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=280,224,157 | ROAD=Đường Trần Hưng Đạo | START=Đường Lý Thường Kiệt | END=Thửa đất số 34, tờ bản đồ số 82 | FLAGS=
ID=NQ28-061-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=308,246,172 | ROAD=Đường Lê Lợi | START=Đường Đinh Tiên Hoàng | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-061-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=308,246,172 | ROAD=Đường Phạm Ngọc Thạch | START=Đường Lê Lợi | END=Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-061-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=308,246,172 | ROAD=Đường Phạm Ngọc Thạch | START=Đường Trần Hưng Đạo | END=Đường Phan Bội Châu | FLAGS=
ID=NQ28-061-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=280,224,157 | ROAD=Đường Phạm Ngọc Thạch | START=Đường Phan Bội Châu | END=Đường Lê Hồng Phong | FLAGS=
ID=NQ28-061-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=308,246,172 | ROAD=Đường Lê Quý Đôn | START=Đường Trần Hưng Đạo | END=Đường Nguyễn Huệ | FLAGS=
ID=NQ28-061-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=308,246,172 | ROAD=Đường Lê Quý Đôn | START=Đường Trần Hưng Đạo | END=Đường Phan Bội Châu | FLAGS=
ID=NQ28-061-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=280,224,157 | ROAD=Đường Lê Quý Đôn | START=Đường Nguyễn Huệ | END=Đường Phan Bội Châu | FLAGS=
ID=NQ28-061-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=560,448,314 | ROAD=Đường Nguyễn Huệ | START=Đường Lê Đại Hành | END=Đường Phan Bội Châu | FLAGS=
ID=NQ28-061-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=560,448,314 | ROAD=Đường Nguyễn Huệ | START=Đường Phan Bội Châu | END=Đường Hùng Vương | FLAGS=
ID=NQ28-061-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=560,448,314 | ROAD=Đường Nguyễn Huệ | START=Đường Hùng Vương | END=Đường Bùi Thị Xuân | FLAGS=
ID=NQ28-061-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=560,448,314 | ROAD=Đường Nguyễn Huệ | START=Đường Bùi Thị Xuân | END=Đường Ngô Quyền (cũ) | FLAGS=
ID=NQ28-061-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=560,448,314 | ROAD=Đường Nguyễn Huệ | START=Đường Ngô Quyền (cũ) | END=Đường Nguyễn Thái Học | FLAGS=
ID=NQ28-061-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=308,246,172 | ROAD=Đường Võ Thị Sáu | START=Đường Lê Lợi | END=Đường Hùng Vương | FLAGS=
ID=NQ28-061-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=308,246,172 | ROAD=Đường Hùng Vương | START=Đường Nguyễn Huệ | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-061-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=308,246,172 | ROAD=Đường Hùng Vương | START=Đường Ngô Quyền | END=Đường Trần Phú | FLAGS=
ID=NQ28-061-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=308,246,172 | ROAD=Đường Hùng Vương | START=Đường Trần Phú | END=Đường Đoàn Thị Điểm | FLAGS=
ID=NQ28-061-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=308,246,172 | ROAD=Đường Phan Bội Châu | START=Đường Nguyễn Du | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-061-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=308,246,172 | ROAD=Đường Phan Bội Châu | START=Đường Ngô Quyền | END=Đường Đoàn Thị Điểm Đường Trần Quang | FLAGS=
ID=NQ28-061-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=308,246,172 | ROAD=Đường Phan Bội Châu | START=Đường Đoàn Thị Điểm | END=Khải và Ngã ba đường bê tông vào Tịnh xá Ngọc Long (hết thửa đất số 205, tờ bản đồ số | FLAGS=
