TABLE=062 | AREA=Phường An Lộc | RECORDS=200 | GROUPS=200 | REVIEW=10
ID=NQ28-062-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=490,392,274 | ROAD=62. Phường An Lộc Tên đường giao TT thông Đường Nguyễn Đường Trần Huệ | START=Đoạn đường Đường Hưng Đạo Vương | END=Giá cây Hùng | FLAGS=
ID=NQ28-062-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=490,392,274 | ROAD=Đường Nguyễn Đường Hùng Huệ | START=Đường Vương Hương | END=Hồ Xuân | FLAGS=
ID=NQ28-062-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=490,392,274 | ROAD=Đường Nguyễn Đường Hồ Huệ | START=Đường Xuân Hương (mũi | END=Nguyễn Du dùi) | FLAGS=
ID=NQ28-062-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=490,392,274 | ROAD=Đường Nguyễn Đường Nguyễn Huệ dùi) | START=Du (mũi Đường Học | END=Nguyễn Thái | FLAGS=
ID=NQ28-062-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=280,224,157 | ROAD=Đường Trần Đường Nguyễn Hưng Đạo | START=Đường Huệ Kiệt | END=Lý Thường | FLAGS=
ID=NQ28-062-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=280,224,157 | ROAD=Đường Trần Đường Lý Hưng Đạo | START=Đường Thường Kiệt Trưng | END=Hai Bà | FLAGS=
ID=NQ28-062-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=490,392,274 | ROAD=Đường ĐT 758 Đường Hai | START=Ranh Bà Trưng Lợi | END=giới xã Tân | FLAGS=
ID=NQ28-062-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=280,224,157 | ROAD=Đường Hùng Đường Nguyễn Vương | START=Huệ Đường | END=Nguyễn Du | FLAGS=
ID=NQ28-062-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Đường Trần Du | START=Đường Hưng Đạo Long | END=Nơ Trang | FLAGS=
ID=NQ28-062-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Đường Nơ Du | START=Trang Long Đường | END=Nguyễn Huệ | FLAGS=
ID=NQ28-062-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=280,224,157 | ROAD=Đường Hồ Xuân Đường Nguyễn Hương | START=Huệ Đường | END=Nguyễn Du | FLAGS=
ID=NQ28-062-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=280,224,157 | ROAD=Đường Chu Văn Đường Nguyễn An | START=Đường Huệ Đạo | END=Trần Hưng | FLAGS=
ID=NQ28-062-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=280,224,157 | ROAD=Đường Lý Đường Trần Thường Kiệt | START=Hưng Đạo Đường | END=Chu Văn An | FLAGS=
