TABLE=063 | AREA=Phường Phước Bình | RECORDS=186 | GROUPS=186 | REVIEW=1
ID=NQ28-063-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=420,336,269 | ROAD=63. Phường Phước Bình Tên đường giao TT thông Giáp ranh Đường Nguyễn Tất Phước Thành Đai (cũ) | START=Đoạn đường Đường phường (hết Long, tỉnh Đồng 364, Quảng | END=Trường Chinh ranh thửa đất số tờ bản đồ số 31 và Trường 6-1) | FLAGS=
ID=NQ28-063-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=3,420,336,269 | ROAD=Đường Đường Nguyễn Tất (từ ranh tờ bản Thành Quảng | START=Ngã Trường Chinh Tất thửa đất số 3, Tháng đồ số 36 và đất Trường 6-1) 41) Ngã | END=ba đường Nguyễn Thành - Đường 3 2 (hết ranh thửa số 166, tờ bản đồ ba đường Nguyễn | FLAGS=
ID=NQ28-063-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=420,336,269 | ROAD=Ngã ba Tất Thành Đường Nguyễn Tất tháng đất số Thành 14 và tờ bản | START=đường Nguyễn Tất - Đường 3 Thống 2 (từ ranh thửa Vòng 18, tờ bản đồ số (hết thửa đất số 168, 189, đồ số 41) thửa đồ | END=Thành - Đường Nhất (Ngã ba xoay Phước Bình ranh thửa đất số tờ bản đồ số 14 và đất số 12, tờ bản số 141)) | FLAGS=
ID=NQ28-063-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=420,336,269 | ROAD=Ngã ba Tất Thành Thống Đường Nguyễn Tất vòng (từ ranh Thành 190, tờ thửa đất đồ số | START=đường Nguyễn Ngã - Đường Tất Nhất (Ngã ba Thích xoay Phước Bình ranh thửa đất số bản bản đồ số 14 và số số 12, tờ bản 140) 140) | END=ba đường Nguyễn Thành - Đường Quảng Đức (hết thửa đất số 243, đồ số 14 và thửa 154, tờ bản đồ số | FLAGS=
ID=NQ28-063-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=420,336,269 | ROAD=Ngã ba Tất Thành Thích Đường Nguyễn Tất ranh thửa Thành bản đồ đất số 140) | START=đường Nguyễn Ngã - Đường Thành Quảng Đức (từ Thái đất số 240, tờ đất số 14 và thửa 14 62, tờ bản đồ số tờ | END=ba Nguyễn Tất - Đường Nguyễn Học (hết ranh thửa số 283, tờ bản đồ và thửa đất số 270, bản đồ số 114) | FLAGS=
ID=NQ28-063-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=420,336,269 | ROAD=Ngã ba Thành Đường Nguyễn Tất Thái Học đất số Thành 13 và | START=Nguyễn Tất Ngã - Đường Nguyễn Thành (từ ranh thửa khu 154, tờ bản đồ số đất thửa đất số 271, 16 | END=ba Nguyễn Tất - Đường bê tông phố (hết ranh thửa số 146, tờ bản đồ và thửa đất số 24, | FLAGS=
ID=NQ28-063-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=420,336,269 | ROAD=tờ bản Đường Nguyễn Tất Ngã ba Thành Thành | START=đồ số 114) bản Nguyễn Tất Giáp - Đường bê tông | END=đồ số 118) ranh xã Bình Tân | FLAGS=
ID=NQ28-063-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=420,336,269 | ROAD=khu phố đất số 16 và bản đồ Ngã ba Thành Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ đất số 53) | START=(từ ranh thửa 57, tờ bản đồ số thửa đất số 29, tờ số 118) Nguyễn Tất Đường - đường 3/2 (từ và đất số 131, tờ ranh số 52 và thửa bản 139, tờ bản đồ số số | END=Đinh Văn Chất đường bê tông (hết thửa đất số 16, tờ đồ số 52 và thửa 91, tờ bản đồ số 53) | FLAGS=
ID=NQ28-063-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=420,336,269 | ROAD=Đường và đường Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ đất số 52) | START=Đinh Văn Chất Đường bê tông (từ đường đất số 170, tờ thửa số 11 và thửa đồ 14, tờ bản đồ số 25, | END=Đoàn Nhữ Hài bê tông (hết ranh đất số 140, tờ bản số 11 và thửa đất số tờ bản đồ số 49) | FLAGS=
ID=NQ28-063-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=420,336,269 | ROAD=Đường và đường ranh thửa Đường 3 tháng 2 bản đồ (Đường ĐT 759) đất số 49 ); không thửa đất đồ số | START=Đoàn Nhữ Hài bê tông (từ Đường đất số 111, tờ đường số 11 và thửa ranh 22, tờ bản đồ số bản bao gồm số số 139, tờ bản 11 | END=Hoàng Lệ Kha Tú Xương (hết thửa đất số 2, tờ đồ số 35 và thửa 1, tờ bản đồ số 43) | FLAGS=
ID=NQ28-063-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=4,420,336,269 | ROAD=Đường và đường Đường 3 tháng 2 ranh thửa (Đường ĐT 759) bản đồ đất số 28) | START=Hoàng Lệ Kha Khu Tú Xương (từ Long đất số 117, tờ Long số 28 và thửa đất 108, tờ bản đồ số và bản Ngã | END=quy hoạch KDC Điền và Nghĩa địa Điền (hết ranh thửa số 1, tờ bản đồ số thửa đất số 11, tờ đồ số 20) ba đường ĐT 759 | FLAGS=
ID=NQ28-063-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=224,179,143 | ROAD=Khu quy Long Đường ĐT 759 (Xã Long Bình Sơn cũ) đất số 54 và tờ bản | START=và hoạch KDC về Điền và Nghĩa địa tuyến Điền (từ ranh thửa Đa 59, tờ bản đồ số đất thửa đất số 170, 87) đồ số 87) giáp ranh bản | END=đường nhựa hướng Phú Châu + (Bên trái + 194m hướng Kia (hết ranh thửa số 249, tờ bản đồ và Bên phải tuyến đường bê tông (hết thửa đất số 35, tờ đồ số 75)) | FLAGS=
ID=NQ28-063-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=224,179,143 | ROAD=Ngã ba và đường về Phú tuyến Đường ĐT 759 (Xã Đa Kia Bình Sơn cũ) số 33, và Bên đường | START=đường ĐT 759 nhựa hướng Châu + (Bên trái + 194m hướng xã Giáp (từ ranh thửa đất ranh tờ bản đồ số 54) bản phải tuyến giáp số bê tông (từ ranh | END=ranh xã Đa Kia (hết thửa đất số 15, tờ đồ số 54 và thửa 16, tờ bản đồ số 54) | FLAGS=
ID=NQ28-063-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=140,112,90 | ROAD=thửa đất đồ số Đường Long Bình - Ngã ba Bình Sơn (đoạn 1) | START=số 29, tờ bản 54)) Hết giao với ĐT 759 bản | END=thửa đất số 31, tờ đồ số 84 của ông | FLAGS=
ID=NQ28-063-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=140,112,90 | ROAD=Hết thửa Đường Long Bình - bản đồ Bình Sơn (đoạn 2) Nguyễn | START=Nguyễn Giáp đất số 31, tờ hết số 84 của ông bản Đình Tuấn Hoàng | END=Đình Tuấn ranh xã Bình Tân; thửa đất số 14, tờ đồ số 82 của ông Hoàng Hào | FLAGS=
ID=NQ28-063-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=140,112,90 | ROAD=Đường Long Hưng Giáp ranh - Bình Sơn | START=Đến tờ xã Bình Tân Phạm | END=hết thửa đất số 01, bản đồ số 107 của Thị Nguyệt | FLAGS=
ID=NQ28-063-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=140,112,90 | ROAD=Đường giao thông đấu nối trục đường Toàn DT 759 phạm vi 200m | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Độc Lập Nguyễn Đường | START=Ngã Trường giao đường Độc Tất Thành - đất Độc Lập 44 bản | END=ba giao đường Chính - Đường lập (hết ranh thửa số 683, tờ bản đồ và thửa đất số 44, đồ số 110) | FLAGS=
ID=NQ28-063-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Trường Độc lập Đường Độc Lập đất số 44 và bản đồ | START=Ngã giao đường Lập Chinh - Đường Thành (từ ranh thửa đường 682, tờ bản đồ số Trọng thửa đất số 37, tờ thửa số 110) đồ | END=ba giao đường Độc - Đường Nguyễn và Ngã ba giao Độc Lập - Lê Tấn (hết ranh đất số 156, tờ bản số 31 và thửa đất số | FLAGS=
ID=NQ28-063-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=294,235,188 | ROAD=Đường Phạm Hùng Giáp | START=2, đường Độc Lập Đường | END=tờ bản đồ số 110) Lý Thường Kiệt | FLAGS=
ID=NQ28-063-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=294,235,188 | ROAD=Đường Lương Định Toàn Của | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=294,235,188 | ROAD=Đường Phan Huy Toàn ích | START=tuyến | END= | FLAGS=
ID=NQ28-063-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Kim Toàn | START=tuyến Ngã | END=ba đường Phan Bá | FLAGS=
ID=NQ28-063-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=294,235,188 | ROAD=Đường Đinh Văn Đường Chất | START=Vành 3 tháng 2 số 187, đồ | END=(hết ranh thửa đất 165 và thửa đất số cùng thuộc tờ bản số 50) | FLAGS=
ID=NQ28-063-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=294,235,188 | ROAD=Ngã ba Đường Đinh Văn Vành số 164, Chất số 50) | START=đường Phan Bá (Từ ranh thửa đất Đường 186, tờ bản đồ | END=Phạm Hùng | FLAGS=
ID=NQ28-063-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=294,235,188 | ROAD=Đường Đặng Văn Đường Thành Ngữ | START=Nguyễn Tất Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=294,235,188 | ROAD=Đường Đường Lê Văn Sỹ Thành | START=Nguyễn Tất Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=294,235,188 | ROAD=Đường Trần Đại Đường Nghĩa | START=Điểu Ong Đường | END=Trường chinh | FLAGS=
ID=NQ28-063-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=294,235,188 | ROAD=Đường Trần Đại Đường Nghĩa | START=Trường Chinh Đường | END=Võ Nguyên Giáp | FLAGS=
ID=NQ28-063-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=294,235,188 | ROAD=Đường Đoàn Đức Đường Thái Thọ | START=Nguyễn Hữu Đường | END=Nơ Trang Long | FLAGS=
ID=NQ28-063-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=294,235,188 | ROAD=Đường Đường Điểu Ong Thành | START=Nguyễn Tất Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=294,235,188 | ROAD=Đường Phạm Văn Đường Đồng | START=Đường Độc Lập Thành | END=Nguyễn Tất | FLAGS=
ID=NQ28-063-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=294,235,188 | ROAD=Đường Phạm Văn Đường Đồng Thành | START=Nguyễn Tất Đường | END=Nguyễn Hữu Thọ | FLAGS=
ID=NQ28-063-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Văn Linh | START=Đường Mai Chí Thọ Thành | END=Nguyễn Tất | FLAGS=
ID=NQ28-063-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Đường Công Hoan | START=Độc Lập Đường | END=Lê Anh Xuân | FLAGS=
ID=NQ28-063-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=294,235,188 | ROAD=Đường Nguyễn Tri Đường Phương Khoan | START=Phùng Khắc Đường | END=Lý Thường Kiệt | FLAGS=
ID=NQ28-063-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=294,235,188 | ROAD=Đường Trường Đường Chinh Thành | START=Nguyễn Tất Đường | END=Độc Lập | FLAGS=
ID=NQ28-063-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Duẩn Đường | START=Đường Mai Chí Thọ Thành | END=Nguyễn Tất | FLAGS=
ID=NQ28-063-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=294,235,188 | ROAD=Đường Lê Anh Đường Xuân Hoan | START=Nguyễn Công Đường | END=Trường Chinh | FLAGS=
