TABLE=064 | AREA=Phường Phước Long | RECORDS=124 | GROUPS=123 | REVIEW=0
ID=NQ28-064-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=336,269 | ROAD=64. Phường Phước Long Tên đường giao TT thông Đường Đinh Tiên Giáp đường Hoàng | START=Đoạn đường Giáp 6/1 Văn | END=Giá đất trồng cây lâu năm đường Lê 420 Duyệt | FLAGS=
ID=NQ28-064-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=336,269 | ROAD=Đường Đinh Tiên Ngã ba Văn Duyệt Hoàng | START=Ngã giao đường Lê đường Quang | END=tư giao Trần 420 Khải | FLAGS=
ID=NQ28-064-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=336,269 | ROAD=Đường Đinh Tiên Ngã tư giao Hoàng Trần Quang | START=đường Trụ phường Khải | END=sở UBND 420 (cũ) | FLAGS=
ID=NQ28-064-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=336,269 | ROAD=Đường Đinh Tiên Giáp đường Hoàng Tất Thành | START=Nguyễn Giáp | END=dường 6/1 420 | FLAGS=
ID=NQ28-064-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=336,269 | ROAD=Ngã ba Đường 6/1 Thành (giao | START=Đường Nguyễn Tất đường 6/1) Hoàng | END=Đinh Tiên 420 | FLAGS=
ID=NQ28-064-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=235,188 | ROAD=Ngã ba Đường 6/1 Hoàng | START=giáp Đinh Tiên Tượng thắng | END=đài Chiến 294 | FLAGS=
ID=NQ28-064-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=235,188 | ROAD=Đường 6/1 Tượng đài | START=chiến thắng Hết | END=tuyến 294 | FLAGS=
ID=NQ28-064-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=235,188 | ROAD=Đường Trần Giao đường Hưng Đạo Tất Thành | START=Nguyễn Giao 6/1 | END=với đường 294 | FLAGS=
ID=NQ28-064-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=235,188 | ROAD=Đường Trần Giao đường Hưng Đạo | START=Giao 6/1 Lê Văn | END=với đường 294 A | FLAGS=
ID=NQ28-064-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=235,188 | ROAD=Đường Trần Ngã Tư Hưng Đạo đường Lê | START=Hết Giao với nhựa Văn A Long | END=tuyến đường Khu phố 294 Thủy 4 | FLAGS=
ID=NQ28-064-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=235,188 | ROAD=Đường Lê Hồng Đường Phong | START=Đường Hùng Vương Tổ | END=Lý Thái 294 | FLAGS=
