TABLE=065 | AREA=Xã Thuận Lợi | RECORDS=30 | GROUPS=30 | REVIEW=0
ID=NQ28-065-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=179,143,54 | ROAD=65. Xã Thuận lợi Tên đường giao TT thông Ngoài khu dân cư Hết ranh Thuận Phú 2, Thuận dân cư Phú 1 (đối với đất 2 (Công của các hộ gia đình Hồng và cá nhân trên trục Phú 1 đường ĐT 741) Thành) | START=Đoạn đường Đất khu Thuận Phú ty Cổ phần Giáp ranh Phúc); Thuận Bình Phước (Công | END=Giá đất trồng cây lâu năm phường 224 | FLAGS=
ID=NQ28-065-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=179,143,54 | ROAD=Giáp ranh dân cư (Công Đường ĐT 741 Hồng Phú 1 Thành). | START=đất khu Hết ranh Thuận Phú bà Võ ty Cổ phần Nhi (thửa Phúc), Thuận 218, tờ (Công 17) | END=thửa đất Thị Tuyết đất số 224 bản đồ số | FLAGS=
ID=NQ28-065-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=179,143,54 | ROAD=Giáp ranh bà Võ Đường ĐT 741 Nhi (thửa 218, tờ 17) | START=thửa đất Hết ranh Thị Tuyết ông Lê đất số Phong bản đồ số 65, tờ 25) | END=thửa đất Quốc (thửa đất số 224 bản đồ số | FLAGS=
ID=NQ28-065-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=179,143,54 | ROAD=Giáp ranh ông Lê Đường ĐT 741 Phong 65, tờ 25) | START=thửa đất Nhà máy Quốc Thuận (thửa đất số ty TNHH bản đồ số thoát nước Phước - Hết ranh | END=nước Lợi - Công MTV cấp 224 Bình Công ty | FLAGS=
ID=NQ28-065-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=168,134,64 | ROAD=Nhà máy Thuận ty TNHH Đường ĐT 741 thoát Phước | START=TNHH khẩu Cao Bình Phước nước Lợi - Công đất số MTV cấp đồ số nước Bình - Hết ranh TNHH Thuận đất số đồ số | END=xuất nhập Nguyên (thửa 132, tờ bản 178) 210 Công ty Cao su Lợi (thửa 17, tờ bản 179) | FLAGS=
ID=NQ28-065-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=168,134,64 | ROAD=- Giáp TNHH khẩu Cao Bình Phước Đường ĐT 741 đất số đồ số - Giáp TNHH | START=ranh Công ty - Hết ranh xuất nhập số 22, Nguyên 173 (thửa 132, tờ bản - Hết ranh 178) Công MTV xuất ranh Công ty khẩu Huệ Cao su | END=thửa đất tờ bản đồ số 210 đất ty TNHH nhập Phước | FLAGS=
ID=NQ28-065-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=168,134,64 | ROAD=Thuận đất số đồ số - Giáp đất số đồ số Đường ĐT 741 - Giáp Công MTV xuất khẩu Huệ | START=Lợi (thửa 17, tờ bản 179) ranh thửa - Hết ranh 22, tờ bản số 96, 173 157 ranh đất - Hết ranh ty TNHH số 62, nhập 160 Phước | END=thửa đất tờ bản đồ số 210 thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-065-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=168,134,64 | ROAD=- Hết ranh số 96, 157 Đường ĐT 741 - Giáp đất số | START=thửa đất tờ bản đồ số Giáp ranh ranh thửa Phú Riềng 62, tờ bản | END=giới xã 210 | FLAGS=
ID=NQ28-065-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=179,143,54 | ROAD=đồ số Tượng Đường ĐT 758 Thắng 741) | START=160 đài Chiến Ngã ba (đường ĐT chế biến | END=Xí nghiệp 224 | FLAGS=
ID=NQ28-065-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=179,143,54 | ROAD=Ngã ba Đường ĐT 758 chế biến | START=Hết ranh hóa ấp Xí nghiệp 3 (Thửa 320, tờ 14) | END=nhà văn Thuận Phú 458 ; Thửa 224 bản đồ số | FLAGS=
ID=NQ28-065-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=179,143,54 | ROAD=Hết ranh hóa ấp Đường ĐT 758 3 (Thửa 320, tờ 14) | START=nhà văn Thuận Phú 458 ; Thửa Cầu Sông bản đồ số | END=Bé 224 | FLAGS=
ID=NQ28-065-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=134,108,54 | ROAD=Đường giao thông giáp phường Bình Đầu đường Phước | START=Hết ranh số 67, ĐT 741 50 (hộ Văn Toàn) | END=thửa đất tờ bản đồ số 168 ông Chu | FLAGS=
ID=NQ28-065-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=168,134,64 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục đường ĐT 741 phạm vi 200 m | START=tuyến | END=210 | FLAGS=
ID=NQ28-065-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=179,143,54 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục đường ĐT 758 phạm vi 200 m | START=tuyến | END=224 | FLAGS=
ID=NQ28-065-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=168,134,64 | ROAD=Đường kết nối xã Đường Thuận Lợi với xã Phú Riềng | START=Giáp ranh ĐT 758 Riềng | END=xã Phú 210 | FLAGS=
ID=NQ28-065-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=134,108,54 | ROAD=Đường liên xã Đường Thuận Lợi - Thuận Phú (cũ) | START=ĐT 758 Ngã tư | END=Bảy Thạnh 168 | FLAGS=
ID=NQ28-065-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa bản đồ liên xã Thuận Lợi - | START=đất số 22, tờ Hết thửa số 163 tờ bản | END=đất số 38, 140 đồ số 143 | FLAGS=
ID=NQ28-065-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=112,90,64 | ROAD=Đồng Tâm (giáp vụ cao Đường giao thông Thửa liên xã Thuận Lợi - tờ bản Đồng Tâm | START=ranh nghiệp (giáp ranh Phú Riềng su) đất số 129, Thửa đồ số 147 tờ bản | END=Cao su Đỏ) đất số 274, 140 đồ số 147 | FLAGS=
ID=NQ28-065-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - tờ bản Đồng Tâm | START=Thửa đất số 274, tờ bản đồ số 147 (giáp ranh Tâm) | END=đất số 839, đồ số 151 140 xã Đồng | FLAGS=
ID=NQ28-065-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông liên xã Thuận Lợi - Toàn Đồng Tiến | START=tuyến | END=140 | FLAGS=
ID=NQ28-065-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 55, tờ Thửa số 110 bản đồ | END=đất số 25, tờ 140 số 114 | FLAGS=
ID=NQ28-065-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 47, tờ Thửa số 113 bản đồ | END=đất số 42, tờ 140 số 112 | FLAGS=
ID=NQ28-065-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 37, tờ Thửa số 112 tờ bản | END=đất số 176, 140 đồ số 111 | FLAGS=
ID=NQ28-065-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận lợi - tờ bản Thuận Phú (cũ) | START=đất số 176, Thửa đồ số 111 tờ bản | END=đất số 180, 140 đồ số 117 | FLAGS=
ID=NQ28-065-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=Thửa đất số 51, tờ bản đồ số 117 tư Bảy | END=đất số 87, tờ số 125 (ngã 140 Thạnh) | FLAGS=
ID=NQ28-065-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - tờ bản Thuận Phú (cũ) | START=Thửa đất số 213, tờ bản đồ số 125 (ranh cao Phú) | END=đất số 160, đồ số 126 140 su Thuận | FLAGS=
ID=NQ28-065-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=112,90,64 | ROAD=Đường giao thông Toàn liên xã còn lại Đường giao thông | START=tuyến | END=140 | FLAGS=
ID=NQ28-065-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=98,78,63,63 | ROAD=liên thôn, liên ấp có kết cấu trải nhựa, bê Toàn tông (trừ các tuyến đường đã có ở trên) | START=tuyến | END=98 | FLAGS=
