TABLE=066 | AREA=Xã Tân Lợi | RECORDS=16 | GROUPS=16 | REVIEW=0
ID=NQ28-066-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,54 | ROAD=66. Xã Tân Lợi Đường ĐT 753 | START=Đoạn đường Giáp ranh xã Đồng Cầu Cứ Tâm | END=Giá đất Giá trồng trồng cây lâu hằng năm năm 252 | FLAGS=
ID=NQ28-066-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=202,161,54 | ROAD=Đường ĐT 753 | START=Hết thửa Cầu Cứ số 45, bản đồ | END=đất tờ 252 số 27 | FLAGS=
ID=NQ28-066-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=202,161,54 | ROAD=Đường ĐT 753 | START=Hết thửa đất số 45, Giáp ranh tờ bản đồ Cầu Mã số 27 | END=252 Đà | FLAGS=
ID=NQ28-066-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=146,117,54 | ROAD=Đường Đồng Tiến - Tân Phú (cũ) | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=146,117,54 | ROAD=Đường ĐH Tân Hòa - Tân Lợi | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=146,117,54 | ROAD=Đường tuyến số 3 | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=146,117,54 | ROAD=Đường tuyền số 4 Đường giao thông nông | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=146,117,54 | ROAD=thôn đấu nối trục đường ĐT 753 phạm vi 200m, đã được đầu tư nhựa, bê tông xi măng | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=88,70,54 | ROAD=Đường giao thông nông thôn đấu nối trục đường ĐT 753 phạm vi 200m, chưa được đầu tư nhựa, bê tông | START=Toàn tuyến | END=110 | FLAGS=
ID=NQ28-066-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=146,117,54 | ROAD=xi măng Đường Xuyên tâm | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=146,117,54 | ROAD=Đường Đồng Phú - Bình Dương (cũ) | START=Giáp ranh Tiếp giáp xã Đồng Suối Rạch Phú Bé | END=183 | FLAGS=
ID=NQ28-066-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=146,117,54 | ROAD=Đường Đồng Phú - Bình Dương (cũ) | START=Thửa đất số Hết Thửa 394 và 395, đất số tờ bản đồ 538, tờ đồ số số 25 | END=19 và 183 bản 23 | FLAGS=
ID=NQ28-066-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=146,117,54 | ROAD=Các tuyến đường giao thông có kết cấu nhựa, bê tông bề rộng mặt đường từ 5m trở lên | START=Toàn tuyến | END=183 | FLAGS=
ID=NQ28-066-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=88,70,54 | ROAD=Các tuyến đường giao thông có kết cấu nhựa, bê tông bề rộng mặt đường dưới 5m | START=Toàn tuyến | END=110 | FLAGS=
ID=NQ28-066-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=88,70,54 | ROAD=Các tuyến đường còn lại chưa được đầu tư mặt | START=Toàn tuyến | END=110 | FLAGS=
ID=NQ28-066-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=88,70,54 | ROAD=nhựa, bê tông có đấu nối 2 điểm Các tuyến đường còn lại chưa được đầu tư mặt nhựa, bê tông chỉ đấu nối 1 điểm | START=Toàn tuyến | END=110 | FLAGS=
