TABLE=067 | AREA=Xã Đồng Tâm | RECORDS=265 | GROUPS=264 | REVIEW=146
ID=NQ28-067-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,64 | ROAD=67. Xã Đồng Tâm Tên đường giao TT thông Giáp Đường Quốc lộ 14 Bình 2) | START=Đoạn đường Hết ranh trang hướng Đăng ranh Phường đường Phước (cầu Hết đường ranh giữa và ấp (bên phải Quốc | END=Giá đất trồng cây lâu năm Nghĩa liệt sĩ tỉnh đi xã Bù (bên trải Quốc lộ 14) 252 B3 - ấp Cầu 2 Đồng Tiến 4 đường lộ 14) | FLAGS=
ID=NQ28-067-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=202,161,64 | ROAD=Giáp trang hướng Trưng đường Đường Quốc lộ 14 Hết đường ranh và ấp (bên Quốc | START=ranh Nghĩa liệt sĩ tỉnh Đường đi xã Nghĩa vào Đội (bên trái dân cư Quốc lộ 14) ấp Đồng B3 - (hết thửa giữa ấp Câu 2 39, tờ Đồng Tiến 4 122) phải đường lộ 14) | END=bê tông đi 4 - Khu kiểu mẫu Tiến 4 252 đất số bản đồ số | FLAGS=
ID=NQ28-067-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=202,161,64 | ROAD=Đường vào Đội dân cư Đường Quốc lộ 14 ấp Đồng (Hết thửa 39, tờ 122) | START=Hết ranh ty TNHH bê tông đi (hết thửa 4 - Khu 51, tờ kiểu mẫu 101) Tiến 4 đất số Hết ranh bản đồ số xăng Phát (hết số 4, 100) | END=đất Công Nam Anh đất số bản đồ số 252 đất cây Cường Đại thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-067-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=202,161,64 | ROAD=Hết ranh ty TNHH (hết thửa 51, tờ Đường Quốc lộ 14 101) Hết ranh xăng Phát số 4, | START=đất Công Nam Anh đất số Đường bản đồ số vào đội Tâm 4 đất cây 238, tờ Cường Đại 241) (hết thửa đất tờ bản đồ số | END=bê tông 5, ấp Đồng (thửa đất số 252 bản đồ số | FLAGS=
ID=NQ28-067-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=202,161,47 | ROAD=100) Hết ranh Tiểu Tâm 298, Đường Quốc lộ 14 229) tông Đồng đất số | START=trường học Đồng (thửa đất số Hết ranh tờ bản đồ số hóa ấp Đường bê 5 (Hết vào đội 5, ấp đất số Tâm 4 (thửa đồ số 238, tờ bản | END=Nhà văn Đồng Tâm ranh thửa 252 105, tờ bản 186) | FLAGS=
ID=NQ28-067-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=202,161,47 | ROAD=đồ số Hết ranh hóa ấp Đường Quốc lộ 14 5 (Hết đất số đồ số | START=241) Nhà văn Đồng Tâm Giáp ranh thửa Nghĩa 105, tờ bản 186) | END=ranh xã 252 Trung | FLAGS=
ID=NQ28-067-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=202,161,54 | ROAD=Giáp Đường ĐT 753 Bình | START=ranh Phường Phước | END=252 | FLAGS=
ID=NQ28-067-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=202,161,54 | ROAD=Đường giáp ranh Đường ĐT 753 Nhật đất số | START=bê tông cây xăng Quang (thửa 63, tờ bản | END=252 | FLAGS=
ID=NQ28-067-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=202,161,47 | ROAD=đồ số Đường ĐT 753B Quốc | START=45) lộ 14 | END=252 | FLAGS=
ID=NQ28-067-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=202,161,47 | ROAD=Đường ĐT 753B Đoạn Đường giao thông nông thôn đấu nối trục đường Quốc lộ 14 đoạn từ giáp | START=còn lại | END=252 | FLAGS=
ID=NQ28-067-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=156,125,64 | ROAD=ranh phường Bình Phước (Cầu 2) đến hết ranh Nghĩa trang liệt sĩ tỉnh hướng đi xã Bù Toàn Đăng (bên trái đường Quốc lộ 14); hết đường B3 - ranh giữa ấp Cầu 2 và ấp Đồng Tiến 4 (bên phải đường | START=tuyến | END=195 | FLAGS=
