TABLE=071 | AREA=Xã Lộc Hưng | RECORDS=30 | GROUPS=27 | REVIEW=0
ID=NQ28-071-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=90,72,44 | ROAD=71. Xã Lộc Hưng Đường liên xã Lộc Điền - Lộc Khánh (cũ) | START=Đoạn đường Giáp ranh xã Lộc Điền - xã Cầu Sóc Lộc Khánh (cũ) | END=Giá đất trồng cây lâu năm Lớn 112 | FLAGS=
ID=NQ28-071-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Điền - Lộc Khánh (cũ) | START=Hết ranh Cầu Sóc Lớn Trường giáo Tuổi | END=đất mẫu 112 Thơ | FLAGS=
ID=NQ28-071-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Khánh - Lộc Thịnh (cũ) | START=Hết ranh Giáp ranh Trường Trường mẫu và Trung giáo Tuổi Thơ sở Lộc | END=đất Tiểu học 112 học cơ Khánh | FLAGS=
ID=NQ28-071-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Khánh - Lộc Thịnh (cũ) | START=Giáp ranh trường Tiểu Giúp học và Trung Thịnh học cơ sở Lộc Khánh | END=ranh xã Lộc 112 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Khánh - Lộc Thái (cũ) | START=Giáp ranh xã Ngã ba Lộc Khánh - nhân xã Lộc Thái Khánh (cũ) | END=ỦY Ban dân xã Lộc 112 (cũ) | FLAGS=
ID=NQ28-071-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=90,72,44 | ROAD=Đường Lộc Khánh đi xã An Khương, thị xã Bình Long (cũ) | START=Ngã ba ấp Sóc Lớn - Ba Cầu Ba Ven | END=Ven 112 | FLAGS=
ID=NQ28-071-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=90,72,44 | ROAD=Đường Lộc Khánh đi xã An Khương, thị xã Bình Long (cũ) | START=Giáp Khương, Cầu Ba Ven Bình | END=ranh xã An thị xã 112 Long (cũ) | FLAGS=
ID=NQ28-071-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thái - Lộc Điền (cũ) | START=Giáp ranh xã Lộc Thái - xã Cầu Ông Lộc Điền | END=Đô 112 | FLAGS=
ID=NQ28-071-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thái - Lộc Điền (cũ) | START=Ngã ba Cầu Ông Đô tiểu học 8) | END=Trường A (Đi ấp 112 | FLAGS=
ID=NQ28-071-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thái - | START=Nhà máy hạt Nhà thờ | END=Lộc 112 | FLAGS=
ID=NQ28-071-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=90,72,44 | ROAD=Lộc Điền (cũ) Đường liên xã Lộc Điền - Lộc Thuận (cũ) | START=điều Lộc Thái Điền Ngã ba nghĩa Giáp địa ấp 2 Lộc Thuận Điền | END=ranh xã Lộc 112 (cũ) | FLAGS=
