TABLE=072 | AREA=Xã Lộc Tấn | RECORDS=36 | GROUPS=34 | REVIEW=0
ID=NQ28-072-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=90,72,44 | ROAD=72. Xã Lộc Tấn Tên đường giao TT thông Thuộc Đường Phan Chu bàn Trinh Thiện | START=Đoạn đường địa xã Lộc (cũ) | END=Giá đất Giá trồng trồng cây lâu hằng năm năm 112 | FLAGS=
ID=NQ28-072-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thửa 6, tờ Thiện - thị trấn Lộc Ninh (cũ) số 106 | START=đất số Thửa đất số bản đồ tờ bản đồ | END=12, 112 số 114 | FLAGS=
ID=NQ28-072-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thửa 12, Thiện - thị trấn Lộc Ninh (cũ) số 114 | START=đất số Thửa đất số tờ bản đồ tờ bản đồ | END=35, 112 số 112 | FLAGS=
ID=NQ28-072-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Thửa 35, Thiện - thị trấn Lộc Ninh (cũ) số 112 | START=đất số Thửa đất số tờ bản đồ tờ bản đồ | END=159, 112 số 116 | FLAGS=
ID=NQ28-072-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=90,72,44 | ROAD=Hết Đường liên xã Lộc ban Thiện - Lộc Thành (cũ) Thiện | START=đất Ủy xã Lộc Ngã ba Lộc (cũ) | END=Bình 112 | FLAGS=
ID=NQ28-072-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Ngã Thiện - Lộc Thái (cũ) Bình | START=ba Lộc Giáp ranh Thái (cũ) | END=xã Lộc 112 | FLAGS=
ID=NQ28-072-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=90,72,44 | ROAD=Đường làng 10 Lộc Ngã Thiện (cũ) Bom | START=ba hố Cổng chào | END=K54 112 | FLAGS=
ID=NQ28-072-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=78,63,44 | ROAD=Cổng Đường ấp K54 K54 | START=chào Nghĩa trang | END=K54 98 | FLAGS=
ID=NQ28-072-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=90,72,44 | ROAD=Giáp Đường liên xã Lộc trấn Thái - Lộc Thiện (cũ) - xã (cũ) | START=ranh thị Lộc Ninh Ngã tư Mũi Lộc Thái | END=Tôn 112 | FLAGS=
ID=NQ28-072-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=78,63,44 | ROAD=Ngã Đường nhựa Bom | START=Thửa đất số ba hố tờ bản đồ | END=96, 98 số 94 | FLAGS=
ID=NQ28-072-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=78,63,44 | ROAD=Nhà Đường nhựa Tài | START=ông Thái Nhà máy điều Hoàng Chuẩn | END=98 | FLAGS=
ID=NQ28-072-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=106,84,44 | ROAD=Đường Quốc lộ 14C Giáp (đường Xuyên Á) Lộc | START=ranh xã Thửa đất số Thành tờ bản đồ | END=308, 132 số 87 | FLAGS=
ID=NQ28-072-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=134,108,44 | ROAD=Thửa Đường Quốc lộ 14C 308, (đường Xuyên Á) đồ số | START=đất số Thửa đất số tờ bản tờ bản đồ 87 | END=198, 168 số 87 | FLAGS=
ID=NQ28-072-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=134,108,44 | ROAD=Thửa Đường Quốc lộ 14C 198, (đường Xuyên Á) đồ số | START=đất số Thửa đất số tờ bản tờ bản đồ 87 | END=72, 168 số 87 | FLAGS=
