TABLE=074 | AREA=Xã Lộc Quang | RECORDS=153 | GROUPS=153 | REVIEW=44
ID=NQ28-074-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=140,112,90,44 | ROAD=74. Xã Lộc Quang Tên đường giao thông TT Đường ĐT 756 | START=Đoạn đường Thửa đất số Thửa 82, tờ bản đồ 150, đồ số 8 | END=Giá đất trồng cây lâu năm đất số tờ bản 140 số 22 | FLAGS=
ID=NQ28-074-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=140,112,90,44 | ROAD=Đường ĐT 756 | START=Thửa đất số Thửa 150, tờ bản 281, đồ số 22 đồ | END=đất số tờ bản 140 số 5 | FLAGS=
ID=NQ28-074-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=140,112,90,44 | ROAD=Đường ĐT 756 | START=Thửa đất số Thửa 281, tờ bản 223, đồ số 5 đồ | END=đất số tờ bản 140 số 68 | FLAGS=
ID=NQ28-074-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=140,112,90,44 | ROAD=Đường ĐT 756 | START=Thửa đất số Thửa 223, tờ bản 24, đồ số 68 số | END=đất số tờ bản đồ 140 83 | FLAGS=
ID=NQ28-074-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 756 | START=Thửa đất số Thửa 385, tờ bản 255, đồ số 54 đồ | END=đất số tờ bản 168 số 54 | FLAGS=
ID=NQ28-074-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=168,134,108,44 | ROAD=Đường ĐT 756 | START=Thửa đất số Thửa 255, tờ bản 82, đồ số 54 số | END=đất số tờ bản đồ 168 8 | FLAGS=
ID=NQ28-074-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=105,84,67,44 | ROAD=Đường liên xã Lộc Phú - Lộc Thuận (cũ) | START=Thửa đất số Thửa 161, tờ bản 51, đồ số 22 số | END=đất số tờ bản đồ 105 20 | FLAGS=
ID=NQ28-074-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=105,84,67,44 | ROAD=Đường nhựa liên ấp Soor Rung, Tân Lợi, Tân Hai | START=Giáp Cổng chào ĐT Tân Hai | END=Đường 105 756 | FLAGS=
ID=NQ28-074-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=112,90,72,44 | ROAD=Đường liên xã Lộc Hiệp - Lộc Thuận (cũ) | START=Thửa đất số Thửa 28, tờ bản đồ 115, đồ số 23 | END=đất số tờ bản 112 số 60 | FLAGS=
ID=NQ28-074-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=105,84,67,44 | ROAD=Đường nhựa liên ấp Tân Hai | START=Thửa đất số Thửa 358, tờ bản 324, đồ số 6 đồ | END=đất số tờ bản 105 số 3 | FLAGS=
ID=NQ28-074-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=105,84,67,44 | ROAD=Đường liên xã Lộc Quang Lộc Phú (cũ) | START=Thửa đất số Thửa - 444, tờ bản 152, đồ số 6 đồ | END=đất số tờ bản 105 số 7 | FLAGS=
