TABLE=076 | AREA=Xã Tân Hưng | RECORDS=35 | GROUPS=35 | REVIEW=0
ID=NQ28-076-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=160,128,102 | ROAD=76. Xã Tân Hưng Ngã Đường ĐT 756 (thửa bản | START=Đoạn đường ba dốc cà phê đất số 105, tờ đồ số 31) | END=Ngã ba giao đường ĐT 758 (thửa đất số 254, tờ bản đồ số 41) | FLAGS=
ID=NQ28-076-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=160,128,102 | ROAD=Cầu số Đường ĐT 756 ranh Quan) | START=suối Cát (thửa đất 8, tờ bản đồ số 4; giới xã Tân | END=Ngã ba dốc cà phê (Thửa đất số 40, tờ bản đồ số 31) | FLAGS=
ID=NQ28-076-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=160,128,102 | ROAD=Ngã ĐT Đường ĐT 756 259, trường Hưng) | START=ba giao đường 758 (thửa đất số tờ bản đồ số 41; THCS Tân | END=Ranh giới xã Nha Bích (thửa đất số 594, tờ bản đồ số 15) | FLAGS=
ID=NQ28-076-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=160,128,102 | ROAD=Giáp Đường ĐT 756 Quang | START=ranh xã Lộc | END=Cầu suối Cát (thửa đất số 326, tờ bản đồ số 81; ranh giới xã Tân Quan) | FLAGS=
ID=NQ28-076-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=110,88,70 | ROAD=Cầu Tân Đường ĐT 757 (thửa đồ | START=Bà Nùng ranh giới Hưng - P. An Lộc đất số 87, tờ bản 68) | END=Giáp đường ĐT 756 | FLAGS=
ID=NQ28-076-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=160,128,102 | ROAD=Giáp Nông Thanh Đường ĐT 757 Bình Hoàng (thửa bản | START=ranh với cao su trường Trà - công ty cao su Long (Hộ ông Giáp Sơn) đất số 137, tờ đồ số 122) | END=số 247, tờ bản đồ số 123 (Đất hộ ông Lê Hoàng Đàn; Đối diện Trường THCS Thanh An) | FLAGS=
ID=NQ28-076-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=160,128,102 | ROAD=Thửa bản Đường ĐT 757 dụng; Dung; THCS | START=đất số 254, tờ đồ số 123 (Chủ sử Phạm Văn đối diện trường Thanh An) | END=số 371, tờ bản đồ số 123 (Chủ sử dụng: Vũ Văn Giỏi) | FLAGS=
ID=NQ28-076-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=160,128,102 | ROAD=Thửa Đường ĐT 757 bản dụng: | START=đất số 369, tờ đồ số 123 (chủ sử Bùi Thị Yến) | END=Ngã tư giao đường bê tông Tổ 6, Trung Sơn (thửa đất số 87, tờ bản đồ số 130) | FLAGS=
ID=NQ28-076-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=160,128,102 | ROAD=Ngã tông Đường ĐT 757 (thửa đồ | START=tư giao đường bê Tổ 6, Trung Sơn đất số 46, tờ bản số 131) | END=Cầu Trà Thanh giáp ranh xã Bình Tân | FLAGS=
ID=NQ28-076-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=160,128,102 | ROAD=Ngã ĐT Đường ĐT 758 249, nhà Tân | START=ba giao đường 756 (thửa đất số tờ bản đồ số 41, Bia tưởng niệm xã Hưng cũ) | END=Giáp ranh đất cao su nhà nước (hết thửa đất số 168, tờ bản đồ số 41) | FLAGS=
ID=NQ28-076-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=160,128,102 | ROAD=Từ Đường ĐT 758 (thửa đồ | START=lô cao su nhà nước đất số 02, tờ bản số 40; đất cao su) | END=Cầu Sông bé giáp ranh xã Thuận Lợi (thửa đất số 135, tờ bản đồ số 16) | FLAGS=
