TABLE=077 | AREA=Xã Tân Quan | RECORDS=43 | GROUPS=42 | REVIEW=0
ID=NQ28-077-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=180,144,115 | ROAD=77. Xã Tân Quan Đường ĐT 758 | START=Đoạn Giáp ranh phường An Lộc (Từ thửa đất số 3, tờ bản đồ số 60) | END=đường Đài Liệt sỹ (Hết thửa đất số 380, tờ bản đồ số 141) | FLAGS=
ID=NQ28-077-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=180,144,115 | ROAD=Đường ĐT 758 | START=sỹ (Từ hết thửa đất số 380, tờ bản đồ số 141) | END=Ngã ba Thác số 4 | FLAGS=
ID=NQ28-077-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=180,144,115 | ROAD=Đường ĐT 758 | START=Ngã ba Thác số 4 | END=Ngã ba đi Thanh An (Hết thửa đất số 9, tờ bản đồ số 61) | FLAGS=
ID=NQ28-077-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=180,144,115 | ROAD=Đường ĐT 756 | START=Ngã ba đi Thạnh An (Từ hết thửa đất số 9, tờ bản đồ số 61) | END=Cầu Suối Cát (Hết thửa đất số 238, tờ bản đồ số 77) | FLAGS=
ID=NQ28-077-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=180,144,115 | ROAD=Đường ĐT 756 | START=Ngã ba đi Thanh An (Từ hết thửa đất số 9, tờ bản đồ số 61) | END=Ngã năm Tân Hưng (Hết thửa đất số 82, tờ bản đồ số 61) | FLAGS=
ID=NQ28-077-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=132,106,84 | ROAD=Đường ĐT 756C | START=Cầu bà Hô giáp ranh xã Tân Khai (Từ thửa đất số 104, tờ bản đồ số 101) | END=Hết thửa đất số 117, tờ bản đồ số 101 | FLAGS=
ID=NQ28-077-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=132,106,84 | ROAD=Đường ĐT 756C | START=Từ hết thửa đất số 117, tờ bản đồ số 101) | END=Hết thửa đất số 184, tờ bản đồ số 92) | FLAGS=
ID=NQ28-077-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=132,106,84 | ROAD=Đường ĐT 756C | START=Từ hết thửa đất số 184, tờ bản đồ số 92) | END=Hết thửa đất số 366, tờ bản đồ số 93 | FLAGS=
ID=NQ28-077-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=132,106,84 | ROAD=Đường ĐT 756B | START=Đường ĐT 756C (Từ thửa đất số 191, tờ bản đồ số 63) | END=Đến hết ranh trường tiểu học Tân Quan ấp Xa Lách (Hết thửa đất số 65, tờ bản đồ số 106) | FLAGS=
ID=NQ28-077-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=132,106,84 | ROAD=Đường ĐT 756B | START=Từ hết ranh trường tiểu học Tân Quan ấp Xa Lách (Từ hết thửa đất số 65, tờ bản đồ số 106) | END=Giáp ranh xã Nha Bích (Hết thửa đất số 7, tờ bản đồ số 107) | FLAGS=
ID=NQ28-077-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=264,211,169 | ROAD=Đường ĐT 756C | START=Từ thửa đất số 78, tờ bản đồ số 115 | END=Hết thửa đất số 1706, tờ bản đồ số 70 | FLAGS=
ID=NQ28-077-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=264,211,169 | ROAD=Đường ĐT 756C | START=Từ hết thửa đất số 1706, tờ bản đồ số 70 | END=Hết thửa đất số 947, tờ bản đồ số 70 | FLAGS=
