TABLE=078 | AREA=Xã Minh Đức | RECORDS=54 | GROUPS=54 | REVIEW=5
ID=NQ28-078-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=96,77,61,42 | ROAD=78. Xã Minh Đức Tên đường TT giao thông Ngã ba T&T Đường ĐH 246 đất số 324, số 66) | START=Đoạn đường Suối (Hết (thửa 191 và thửa tờ bản đồ 106 thuộc số 66) | END=Giá đất trồng cây lâu năm thửa đất số đất số 96 tờ bản đồ | FLAGS=
ID=NQ28-078-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=96,77,61,42 | ROAD=Suối (Đầu số 38 và thửa Đường ĐH 246 51 thuộc tờ số 65) | START=thửa đất Hết ranh đất số 56 thuộc bản đồ số 65 | END=thửa đất số tờ bản đồ 96 | FLAGS=
ID=NQ28-078-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=96,77,61,42 | ROAD=Hết ranh thửa Đường ĐH 246 56 thuộc tờ số 65 | START=đất số Hết ranh bản đồ 17, tờ bản | END=thửa đất số 96 đồ số 53 | FLAGS=
ID=NQ28-078-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=86,69,42 | ROAD=Ngã ba giao Đường ĐH 246 ĐT 752 tới ĐH 246 | START=Phía Đông; bê tông đường trường tiểu đường Tâm Phía ranh thửa | END=Đường hết ranh học Minh 108 Tây: Hết đất số | FLAGS=
ID=NQ28-078-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=86,69,42 | ROAD=Phía Đông: Đường ĐH 246 bê tông hết | START=211, tờ bản Đường Hết thửa và thửa ranh | END=đồ số 11 đất số 331 108 đất số 365 | FLAGS=
ID=NQ28-078-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=86,69,42 | ROAD=Trường tiểu Minh Tâm Hết ranh thửa 210, tờ bản Từ đầu thửa 363 và thửa Đường ĐH 246 386 thuộc số 11 | START=học thuộc tờ Phía Tây: 11 đất số đồ số 11 đất số đất số Giáp ranh tờ bản đồ Đức cũ | END=bản đồ số xã Minh 108 | FLAGS=
ID=NQ28-078-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=70,56,45,42 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Ngã ba Tuấn Minh (thửa đất bản đồ số | END=Thêu số 444, tờ 70 66) | FLAGS=
ID=NQ28-078-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=70,56,45,42 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Hết ranh Minh Tăng (thửa 401, tờ bản | END=đất ông đất số 70 đồ số 66) | FLAGS=
ID=NQ28-078-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=70,56,45,42 | ROAD=Đường bê tông Trường THCS trường THCS ấp Đức 1A | START=Hết ranh Minh Thực (thửa 174, tờ bản | END=đất ông đất số 70 đồ số 65) | FLAGS=
ID=NQ28-078-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=96,77,61,42 | ROAD=Đường liên xã UBND xã (xã Minh Đức và từ thửa cũ) 342, tờ bản | START=Suối (Đến Minh Đức đất số 39 đất số số 51 thuộc đồ số 66 đồ số 73) | END=hết thửa và thửa đất 96 tờ bản | FLAGS=
ID=NQ28-078-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=96,77,61,42 | ROAD=Suối (Từ đầu Đường liên xã đất số 40 (xã Minh Đức số 50 thuộc cũ) đồ số 73) | START=thửa Đến hết và thửa đất đất số 23 tờ bản số 40 thuộc đồ số 64 | END=ranh thửa và thửa đất 96 tờ bản | FLAGS=
