TABLE=079 | AREA=Xã Phước Sơn | RECORDS=71 | GROUPS=71 | REVIEW=1
ID=NQ28-079-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=136,109,25 | ROAD=79. Xã Phước Sơn Tên đường giao TT thông Ranh giới Đường ĐT 755 Thống Phước | START=Đoạn đường xã Hết ranh Nhất - Hà Mỵ thôn Sơn (cũ) | END=Giá Giá đất trồng cây lâu năm Công ty 170 1 | FLAGS=
ID=NQ28-079-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=136,109,25 | ROAD=Giáp ranh Đường ĐT 755 Hà Mỵ | START=Công ty Nhà văn thôn 1 2 | END=hóa thôn 170 | FLAGS=
ID=NQ28-079-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=136,109,25 | ROAD=Nhà văn Đường ĐT 755 2 | START=hóa thôn Hết địa phận 3 | END=thôn 170 | FLAGS=
ID=NQ28-079-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=136,109,25 | ROAD=Hết địa Đường ĐT 755 3 | START=Ngã ba Đường phận thôn vào Trường THCS Võ | END=170 Trường | FLAGS=
ID=NQ28-079-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=136,109,25 | ROAD=Ngã ba vào Trường Đường ĐT 755 THCS Toản | START=Toản Đường Giáp ranh thờ Tin lành Võ Trường Xã thôn | END=Nhà Bù 170 6 | FLAGS=
ID=NQ28-079-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=136,109,25 | ROAD=Giáp ranh Đường ĐT 755 thờ Tin Xa thôn | START=Ngã ba đường Nhà Phước Sơn lành Bù Đồng Nai 6 | END=xã đi xã 170 (cũ) | FLAGS=
ID=NQ28-079-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=136,109,25 | ROAD=Ngã ba Đường ĐT 755 Phước Đồng Nai | START=đường xã Giáp ranh Sơn đi xã Đăng (cũ) | END=xã Bù 170 | FLAGS=
ID=NQ28-079-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=156,125,32 | ROAD=Ngã tư Đường ĐT 755 cụm xã Nhất (cũ) | START=trung tâm Hết ranh Thống điều Trường | END=xương 195 Thủy | FLAGS=
ID=NQ28-079-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=156,125,32 | ROAD=Hết ranh Đường ĐT 755 điều Trường | START=xưởng Ngã ba xã Thủy | END=cũ 195 | FLAGS=
ID=NQ28-079-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=156,125,32 | ROAD=Đường ĐT 755 Ngã ba | START=Ranh xã xã cũ Sơn | END=Phước 195 | FLAGS=
ID=NQ28-079-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=156,125,32 | ROAD=Ngã tư Đường ĐT 755 Nhất đi | START=Ngã tư Thống Thống Nhất đi Lam Lam Sơn + 500m | END=Sơn 195 | FLAGS=
ID=NQ28-079-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=156,125,32 | ROAD=Ngã tư Đường ĐT 755 Nhất đi + 500m | START=Ngã ba ông Thống Hoàng CK Lam Sơn (thôn 4 Thống Nhất) | END=Mắm 195 | FLAGS=
ID=NQ28-079-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=156,125,32 | ROAD=Ngã ba Đường ĐT 755 (thôn 4 Nhất) | START=tô 1, tổ 2 Thống Hết tuyến | END=195 | FLAGS=
ID=NQ28-079-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=83,67,25 | ROAD=Đường Ngã ba bà Hài đi xã Đồng Nai Đường (cũ) (đường liên xã) | START=ĐT 755 Ranh xã | END=Thọ Sơn 104 | FLAGS=
ID=NQ28-079-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=88,71,32 | ROAD=Đường nhà nghỉ Đường (Sao Bọng Cao Nguyên di Thôn 8 Thống Nhất Hà) | START=ĐT 755B Ngã ba nhà - Đăng Triệu Tiến | END=ông 111 Tài | FLAGS=
ID=NQ28-079-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=88,71,32 | ROAD=Đường từ Ngã ba Đường xã cũ đi Bàu Cá Rô | START=Giáp đất ĐT 755 phần | END=lâm 111 | FLAGS=
ID=NQ28-079-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=88,71,32 | ROAD=Đường vào Sóc Ngã ba ông La | START=Ngã ba NVH Tám Láo 11 Thống | END=thôn 111 Nhất | FLAGS=
ID=NQ28-079-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=88,71,32 | ROAD=Đường từ Ngã ba Cây Phượng đi Đường Ngã ba ông Sính | START=Đường ĐT ĐT 755 (Sao Bọng Hà) | END=755B - Đăng 111 | FLAGS=
ID=NQ28-079-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=60,48,32 | ROAD=Tuyến đường tổ 1, Ngã ba tổ 2 thôn 4 Thống thôn 4 Nhất Nhất | START=tổ 1, tổ 2 Ngã ba Đạ Thống thôn 4 Thống Nhất | END=Có 75 | FLAGS=
ID=NQ28-079-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=60,48,32 | ROAD=Tuyến đường Ngã Ngã ba ba thôn 12 Thống Thống Nhất | START=thôn 12 Giáp ranh Đăng Hà Nhất | END=xã 75 (cũ) | FLAGS=
ID=NQ28-079-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=60,48,32 | ROAD=Tuyến đường tổ 4, Đường thôn 3 Thống Nhất Thống | START=tổ 4 thôn 3 Ngã ba tổ Nhất 1 Thống | END=2 thôn 75 Nhất | FLAGS=
ID=NQ28-079-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=60,48,32 | ROAD=Tuyến đường Ngã Ngã ba ba tổ 2 thôn 1 1 Thống Thống Nhất | START=tổ 2 thôn Hết Tuyến Nhất | END=75 | FLAGS=
ID=NQ28-079-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=60,48,32 | ROAD=Đường thôn 8 đến Nhà văn thôn 11 Thống Nhất 8 Thống | START=hóa thôn Tổ 2 thôn Nhất Thống Nhất | END=11 75 | FLAGS=
ID=NQ28-079-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=83,67,25 | ROAD=Đường đi ngã ba Ba Tàu đến Bàu Cá Đường rô | START=ĐT 755 Hết tuyến | END=104 | FLAGS=
ID=NQ28-079-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=83,67,25 | ROAD=Ngã ba Xe Vàng đi Ngã ba Lòng Hồ | START=Hết ranh Xe Vàng Bùi Văn | END=đất ông 104 Biển | FLAGS=
ID=NQ28-079-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=88,71,32 | ROAD=Đường Ngã ba xe Hết ranh Vùng đi Lòng hồ Văn Biển | START=ông Bùi Giáp Suối | END=111 | FLAGS=
ID=NQ28-079-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=88,71,32 | ROAD=Đường Ngã ba xe Giáp Suối Vàng đi Lòng hồ | START=Ngã ba đường vào NVH | END=111 Thôn 8 | FLAGS=
ID=NQ28-079-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=88,71,32 | ROAD=Đường số 1 chợ Đường Thống Nhất | START=ĐT 755 Hết tuyến | END=111 | FLAGS=
ID=NQ28-079-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=88,71,32 | ROAD=Đường số 2 chợ Đường Thống Nhất | START=ĐT 755 Hết tuyến | END=111 | FLAGS=
ID=NQ28-079-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=136,109,25 | ROAD=Ranh xã Đường ĐT 755B Nhất cũ | START=Thống Cầu số 3 | END=170 | FLAGS=
ID=NQ28-079-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=136,109,25 | ROAD=Đường ĐT 755B Cầu số | START=Hết ranh 3 Nguyễn Trường | END=nhà ông Khoa 170 | FLAGS=
ID=NQ28-079-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=136,109,25 | ROAD=Giáp ranh Đường ĐT 755B ông Nguyễn Trường | START=nhà Ngã ba nhà Khoa Thoại | END=ông 170 | FLAGS=
ID=NQ28-079-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=136,109,25 | ROAD=Ngã ba Đường ĐT 755B Thoại | START=Cầu Đăng nhà ông (Giáp ranh Lâm Đồng) | END=Hà tỉnh 170 | FLAGS=
ID=NQ28-079-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=136,109,25 | ROAD=Giáp ranh Đường ĐT 755B Nghĩa Trung | START=Hết ranh tiểu học xã Nguyễn (điểm trường 7 Thống | END=trường Đường Văn Trỗi 170 thôn Nhất) | FLAGS=
ID=NQ28-079-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=136,109,25 | ROAD=Giáp ranh tiểu học Đường ĐT 755B Nguyễn (điểm trường | START=trường Đường Ngã ba Xưởng Văn Trỗi điều ông thôn | END=170 Tân | FLAGS=
ID=NQ28-079-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=136,109,25 | ROAD=7 Thống Ngã ba Đường ĐT 755B điều ông | START=Nhất) Xưởng Ngã ba nhà Tân Tuấn Lợi | END=hàng 170 | FLAGS=
ID=NQ28-079-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=136,109,25 | ROAD=Ngã ba Đường ĐT 755B Tuấn Lợi | START=nhà hàng Ngã ba Tám 9 Thống | END=(thôn 170 Nhất) | FLAGS=
ID=NQ28-079-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=136,109,25 | ROAD=Đường ĐT 755B Ngã ba | START=Tám (thôn Ranh xã | END=Đăng Hà 170 | FLAGS=
ID=NQ28-079-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=60,48,32 | ROAD=9 Thống Đường đi Bàu Tre Đường (DHA.05) | START=(cũ) Nhất) ĐT 755B Lò gạch | END=ông Sử 75 | FLAGS=
ID=NQ28-079-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=60,48,32 | ROAD=Đường đi Bàu Tre Lò gạch (DHA.05) | START=Đường BTXM giáp ranh Ông Sử Bàn Văn ông Lâm | END=ông 75 Minh và Văn Sen | FLAGS=
ID=NQ28-079-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=60,48,32 | ROAD=Đường Ngã ba ông Thoại đi xã Đắk Đường Lua (DHA.11) | START=Giáp ranh ĐT 755B Lua | END=xã Đắk 75 | FLAGS=
ID=NQ28-079-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=60,48,32 | ROAD=Đường Thôn 4 Ngã ba Đăng Hà đi Thôn 2 Lăng Đăng Hà (DHA.13) | START=Bằng Nhà ông Vần | END=Tô Duy 75 | FLAGS=
ID=NQ28-079-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=60,48,32 | ROAD=Đường Thôn 4 Nhà ông Đăng Hà đi Thôn 2 Vần Đăng Hà(DHA.13) | START=Tô Duy Dốc khỉ | END=75 | FLAGS=
ID=NQ28-079-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=60,48,32 | ROAD=Đường Thôn 2 Ngã ba Đăng Hà đi Thôn 1 Xuyến Đăng Hà (DHA.12) | START=Giáp ranh ông Lua | END=xã Đắk 75 | FLAGS=
ID=NQ28-079-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=88,71,32 | ROAD=Đường Thôn 3 đi Ngã ba Dốc Đen (DHA.14) | START=ông Thọ Cầu ông | END=Hiền 111 | FLAGS=
ID=NQ28-079-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=88,71,32 | ROAD=Đường Thôn 3 đi Cầu ông Dốc Đen (DHA.14) | START=Giáp ranh Hiền Lua | END=xã Đắk 111 | FLAGS=
ID=NQ28-079-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=88,71,32 | ROAD=Trường Đường Bù Có Phước trường | START=TH Hết ranh Sơn (Điểm Trịnh Văn Bù Xa) | END=đất ông 111 Phiến | FLAGS=
ID=NQ28-079-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=88,71,32 | ROAD=Đường Thôn 5 đi Đường Thôn 4 | START=ĐT 755 Giáp Suối | END=111 | FLAGS=
ID=NQ28-079-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=88,71,32 | ROAD=Đường Thôn 5 đi Giáp Suối Thôn 4 | START=Ngã ba Đường Thôn 4 đi | END=111 Thôn 7 | FLAGS=
ID=NQ28-079-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=88,71,32 | ROAD=Các tuyến đường Đường thuộc khu QHTTHC Đường xã Phước Sơn (cũ) Vàng | START=ĐT 755 Ngã ba Xe Cuối đường | END=111 | FLAGS=
ID=NQ28-079-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=88,71,32 | ROAD=Đường đi chùa Đường Thanh phước | START=ĐT 755 Ngã tư Bù | END=N'hai 111 | FLAGS=
ID=NQ28-079-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=88,71,32 | ROAD=Đường đi chùa Ngã tư Thanh Phước | START=Ngã ba ông Bù N'hai Dương | END=111 | FLAGS=
ID=NQ28-079-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=88,71,32 | ROAD=Đường đi Bàu Đĩa Đường | START=Giáp suối ĐT 755 ông Hoàng Sùng) | END=(hết đất Văn 111 | FLAGS=
ID=NQ28-079-S01-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=88,71,32 | ROAD=Giáp suối Đường đi Bàu Đĩa ông Hoàng Sùng) | START=(hết đất Văn Ngã ba Láng | END=Dầu 111 | FLAGS=
ID=NQ28-079-S01-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=88,71,32 | ROAD=Đường BTXM đoạn nhà ông Lương Đường Văn Dựng | START=Giáp đất ĐT 755 Hoàng Văn | END=ông 111 Cài | FLAGS=
ID=NQ28-079-S01-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=88,71,32 | ROAD=Đường Thôn 3 di Đường Bàu Cá Rô | START=ĐT 755 Đất Lâm | END=Phần 111 | FLAGS=
ID=NQ28-079-S01-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=88,71,32 | ROAD=Đường từ Ngã ba Tàu đi đường Bàu Đường Cá Rô Thôn 2 Thống Nhất | START=Ngã ba Bàu ĐT 755 Rô | END=Cá 111 | FLAGS=
ID=NQ28-079-S01-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=88,71,32 | ROAD=Đường Đường cạnh cây (Sao Bọng xăng Hoàng Phát Hà) | START=ĐT 755 Giáp đất - Đăng Đình Bé | END=ông Lê 111 | FLAGS=
ID=NQ28-079-S01-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=88,71,32 | ROAD=Đường Đường cạnh NVH (Sao Bọng thôn 8 Thống Nhất Hà) | START=ĐT 755 - Đăng Giáp suối | END=111 | FLAGS=
ID=NQ28-079-S01-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=88,71,32 | ROAD=Đường Làng Thôn Đường | START=Ngã ba nhà ĐT 755 | END=ông 111 | FLAGS=
ID=NQ28-079-S01-TT0001-02 | SEC=agricultural | TT=1 | REL=main | PRICES= | ROAD=Thống Nhất Đường từ nhà ông | START=Nguyễn | END=Văn Hiếu | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-079-S01-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=88,71,32 | ROAD=Linh Văn Hoàng đi Đường Ngã ba ông Phạm Quang Minh | START=Ngã ba ông ĐT 755 Quang Minh | END=Phạm 111 | FLAGS=
ID=NQ28-079-S01-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=88,71,32 | ROAD=Đường NVH thôn 3 Đường Thống Nhất | START=Đường ĐT-755B ĐT 755 (Sao Bọng Hà) | END=- Đăng 111 | FLAGS=
ID=NQ28-079-S01-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=88,71,32 | ROAD=Đường Ngã ba Cây Đường xăng Thiên Bảo | START=Ngã ba ông ĐT755 Tuyến | END=111 | FLAGS=
ID=NQ28-079-S01-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=88,71,32 | ROAD=Đường cạnh trường Nguyễn Văn Đường Trỗi (cũ) | START=Giáp đất ĐT 755 phần | END=lâm 111 | FLAGS=
ID=NQ28-079-S01-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=88,71,32 | ROAD=Đường Ngã ba ông Đường Hoàng Cá Mắm | START=Ngã ba ông ĐT 755 Hoàng Văn | END=111 Bản | FLAGS=
ID=NQ28-079-S01-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=136,109,25 | ROAD=Đường vào nông trường cao su Đường Thống Nhất | START=ĐT 755 Giáp suối | END=170 | FLAGS=
ID=NQ28-079-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=88,71,32 | ROAD=Đường vào trạm Đường Kiểm Lâm Đăng Hà | START=Giáp đất ĐT 755 phần | END=lâm 111 | FLAGS=
ID=NQ28-079-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=88,71,32 | ROAD=Đường cạnh điểm trường tiểu học Đường thôn 10 Thống Nhất | START=Giáp đất ĐT 755 Phan Văn | END=ông 111 Tuấn | FLAGS=
ID=NQ28-079-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=88,71,32 | ROAD=Đường nội ô thôn 3 Thống Nhất, xã Toàn tuyến Phước Sơn | START= | END=111 | FLAGS=
ID=NQ28-079-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=60,48,32 | ROAD=Các tuyến đường Toàn tuyến còn lại | START= | END=75 | FLAGS=
