TABLE=080 | AREA=Xã Nghĩa Trung | RECORDS=41 | GROUPS=41 | REVIEW=5
ID=NQ28-080-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=156,125,32 | ROAD=80. Xã Nghĩa Trung Đoạn Tên đường TT giao thông Đường Quốc Ranh giới thôn lộ 14 thôn Bình Lợi | START=đường 8 - cầu Pan Toong | END=Giá đất Giá trồng cây trồng lâu năm hằng 195 | FLAGS=
ID=NQ28-080-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Cầu Pan Trong lộ 14 | START=Hết ranh trụ sở UBND xã Nghĩa Trung | END=195 | FLAGS=
ID=NQ28-080-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=156,125,32 | ROAD=Hết ranh trụ Đường Quốc UBND xã Nghĩa lộ 14 Trung | START=Hết ranh dự án sở Khu dân cư Trường Thịnh Phát | END=195 | FLAGS=
ID=NQ28-080-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=156,125,32 | ROAD=Hết ranh dự Đường Quốc Khu dân cư Trường Thịnh lộ 14 Phát | START=án Ngã ba đường | END=36 195 | FLAGS=
ID=NQ28-080-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Ngã ba đường lộ 14 | START=36 Cầu 38 | END=195 | FLAGS=
ID=NQ28-080-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=156,125,32 | ROAD=Ranh giữa thôn Đường Quốc 11 - thôn Bình lộ 14 Trung | START=Hết trụ sở Nông trường cao su | END=195 | FLAGS=
ID=NQ28-080-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Hết trụ Sở Nông trường cao su lộ 14 | START=Ranh giữa thôn - thôn Bình Lợi | END=8 195 | FLAGS=
ID=NQ28-080-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Giáp ranh với Đồng Tâm lộ 14 | START=xã Cầu 23 (gần chợ Bù Na) | END=195 | FLAGS=
ID=NQ28-080-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Cầu 23 (gần lộ 14 Bù Na) | START=chợ Thửa đất 305 bản đồ số 116 | END=tờ 195 | FLAGS=
ID=NQ28-080-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Thửa đất 305 bản đồ số 116 lộ 14 | START=Ranh giữa thôn tờ 11 - thôn Bình Trung | END=195 | FLAGS=
ID=NQ28-080-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Ngã ba 32 lộ 14 cũ | START=Ngã ba 33 | END=195 | FLAGS=
ID=NQ28-080-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Ngã ba 33 lộ 14 cũ | START=Ngã ba Đức Liễu | END=195 | FLAGS=
ID=NQ28-080-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=156,125,32 | ROAD=Đường Quốc Ngã ba Đức lộ 14 cũ | START=Liễu Cầu 38 | END=195 | FLAGS=
ID=NQ28-080-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=88,71,32 | ROAD=Đường Sao Bọng - Đăng Ngã ba Sao Hà | START=Ngã ba Đường Bọng vào tổ 7 thôn | END=111 2 | FLAGS=
ID=NQ28-080-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=88,71,32 | ROAD=Đường Sao Ngã ba Đường Bọng - Đăng vào tổ 7 thôn Hà | START=Ranh giữa thôn - xã Phước Sơn 2 | END=9 111 | FLAGS=
ID=NQ28-080-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=88,71,32 | ROAD=Đường bên hông chợ Đức Toàn tuyến Liễu cũ (2 bên) | START= | END=111 | FLAGS=
ID=NQ28-080-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=88,71,32 | ROAD=Đường tổ 3B Bên hông điện | START=Giáp Nhà máy lực tinh bột VeDan | END=111 | FLAGS=
ID=NQ28-080-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=88,71,32 | ROAD=Đường tổ 1 Đường Quốc | START=lộ Đầu ranh đất | END=111 | FLAGS=
ID=NQ28-080-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=88,71,32 | ROAD=14 Đầu ranh đất Ngân hàng Nông Đường tổ 1 nghiệp và Phát triển nông thôn | START=Ngân hàng Nông nghiệp và Phát triển nông thôn Đối diện Nhà tinh bột Vedan | END=máy 111 | FLAGS=
ID=NQ28-080-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=88,71,32 | ROAD=Đường liên xã Đức Liễu - Toàn tuyến Nghĩa Bình (cũ) | START= | END=111 | FLAGS=
ID=NQ28-080-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=88,71,32 | ROAD=Đường nhựa Đường Quốc Nghĩa Bình - 14 Nghĩa Trung | START=lộ Hết đất ông Nguyễn Tuấn | END=111 Anh | FLAGS=
ID=NQ28-080-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=88,71,32 | ROAD=Đường nhựa Hết đất ông Nghĩa Bình - Nguyễn Tuấn Nghĩa Trung | START=Giáp ranh xã Anh Nghĩa Trung (cũ) | END=111 | FLAGS=
ID=NQ28-080-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=88,71,32 | ROAD=Đường liên xã Ranh xã Nghĩa Nghĩa Bình - Bình - Đức Liễu Thống Nhất (cũ) (cũ) | START=Ngã ba Minh Đức | END=111 | FLAGS=
ID=NQ28-080-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=88,71,32 | ROAD=Đường liên xã Nghĩa Bình - Ngã ba Minh Thống Nhất (cũ) | START=Giáp ranh xã Đức Phước Sơn | END=111 | FLAGS=
ID=NQ28-080-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=88,71,32 | ROAD=Đường Sóc Đường Quốc | START=lộ Hết tuyến | END=111 | FLAGS=
ID=NQ28-080-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES= | ROAD=14 | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-080-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=88,71,32 | ROAD=Đường Sóc Đường Quốc | START=lộ Giáp ranh xã Đức | END=111 | FLAGS=
ID=NQ28-080-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES= | ROAD=14 | START=Liễu (cũ) | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-080-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=88,71,32 | ROAD=Đường vào Đường Quốc nhà văn hóa 14 thôn Bình Thọ | START=lộ Giáp ranh thôn Bình Tiến | END=111 | FLAGS=
ID=NQ28-080-S01-TT0028-02 | SEC=agricultural | TT=28 | REL=main | PRICES=88,71,32 | ROAD=Đường vào nông trường Đường Quốc cao su Nghĩa 14 Trung | START=Vườn cao su lộ Nghĩa trang Nghĩa Trung | END=111 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0029-02 | SEC=agricultural | TT=29 | REL=main | PRICES=88,71,32 | ROAD=Đường liên thôn Bình Ngã ba sân bay Trung - Bình Tiến | START=Giáp ranh thôn Bình Tiến | END=111 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-080-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=88,71,32 | ROAD=Đường liên Nhà ông Biện thôn Bình Trung - Bình Hai Tiến | START=Văn Giáp ranh thôn Bình Tiên | END=111 | FLAGS=
ID=NQ28-080-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=88,71,32 | ROAD=Đường hai Hành lang nhà bên chợ lồng chợ chính Nghĩa Trung | START=Hành lang nhà lồng chợ chính vào sâu 15m | END=111 | FLAGS=
ID=NQ28-080-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=156,125,32 | ROAD=Đường ĐT Ngã ba đường | START=Ranh giới xã | END=195 | FLAGS=
ID=NQ28-080-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=156,125,32 | ROAD=759 Quốc lộ 14 Đường ĐT Ngã ba 21 đi Lam Sơn 753B | START=Phước Tân, Huyện Phú Riềng (cũ) Hết thửa đất số qua 27, tờ bản đồ 131 | END=số 195 | FLAGS=
ID=NQ28-080-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=156,125,32 | ROAD=Đường ĐT Từ thửa đất 11, tờ bản đồ 753B | START=số Hết tuyến 131 | END=195 | FLAGS=
