TABLE=081 | AREA=Xã Bù Đăng | RECORDS=111 | GROUPS=111 | REVIEW=2
ID=NQ28-081-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=182,146,116,32 | ROAD=81. Xã Bù Đăng Đường Quốc lộ 14 Ranh | START=Đoạn đường xã Thọ Sơn | END=Ngã ba Vườn chuối đi Đồng Nai | FLAGS=
ID=NQ28-081-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Quốc lộ 14 Đồng | START=ba Vườn chuối đi Nai | END=Ngã ba Nhà văn hóa thôn 2 | FLAGS=
ID=NQ28-081-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Quốc lộ 14 thôn | START=ba Nhà văn hóa 2 | END=Ranh Đoàn Kết - Đức Phong (cũ) Phía Bắc: Hết thửa | FLAGS=
ID=NQ28-081-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=350,280,196,32 | ROAD=Ranh Đường Quốc lộ 14 Phong | START=Đoàn Kết - Đức (cũ) | END=đất số 90, tờ bản đồ số 3 Phía Nam: Hết thửa đất số 133, tờ bản đồ số 3 | FLAGS=
ID=NQ28-081-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=350,280,196,32 | ROAD=Phía số Đường Quốc lộ 14 Phía đất số | START=Bắc: Từ thửa đất 91, tờ bản đồ số 3 Nam: Từ thửa số 21, tờ bản đồ 9 | END=Phía Bắc: Ngã ba nhà ông Năng (Hết thửa đất số 38, tờ bản đồ số 9) Phía Nam: Hết thửa đất số 55, tờ bản đồ số | FLAGS=
ID=NQ28-081-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=350,280,196,32 | ROAD=Phía Đường Quốc lộ 14 nhà thửa | START=Bắc: Từ Ngã ba ông Năng (từ đất số 27, tờ bản | END=9 Phía Bắc: Đường bê tông vào Miếu (hết thửa đất số 27, | FLAGS=
ID=NQ28-081-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=350,280,196,32 | ROAD=đồ Phía đất số Phía tông thửa đồ Đường Quốc lộ 14 Phía Điểu số 43) | START=số 37) Nam: Từ thửa số 66, tờ bản đồ 9 Bắc: Đường bê vào Miếu (từ đất số 12, tờ bản số 43) Nam: Đường Ong (từ thửa đất 52, tờ bản đồ số | END=tờ bản đồ số 43) Phía Nam: Đường Điểu Ong (hết thửa đất số 49, tờ bản đồ số 43) Cầu Bù Đăng | FLAGS=
ID=NQ28-081-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=350,280,196,32 | ROAD=Đường Quốc lộ 14 Cầu | START=Bù Đăng | END=Phía Bắc: Đường Đoàn Đức Thái Phía Nam: Nhà Thờ Bù Đăng (hết thửa đất số 62, tờ bản đồ số 8) | FLAGS=
ID=NQ28-081-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=350,280,196,32 | ROAD=Phía Đoàn Đường Quốc lộ 14 Phía Bù | START=Bắc: Đường Đức Thái Nam: Nhà Thờ Đăng (từ thửa đất | END=Đường 14 tháng 12 | FLAGS=
ID=NQ28-081-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=350,280,196,32 | ROAD=số Đường Quốc lộ 14 Đường | START=76, tờ bản đồ số 8) 14 tháng 12 | END=Ngã tư Đường Lê Quý Đôn Phía Bắc: Đường | FLAGS=
ID=NQ28-081-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=350,280,196,32 | ROAD=Ngã Đường Quốc lộ 14 Đôn | START=tư Đường Lê Quý | END=Nguyễn Thị Minh Khai Phía Nam: Đường Lê Hồng Phong | FLAGS=
ID=NQ28-081-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=350,280,196,32 | ROAD=Phía Nguyễn Đường Quốc lộ 14 Phía Hồng | START=Bắc: Đường Thị Minh Khai Nam: Đường Lê Phong | END=Phía Bắc: Nghĩa trang Liệt sĩ huyện Bù Đăng (cũ) Phía Nam: Đường ra huyện đội (hết thửa đất số 2, tờ bản đồ số 51) | FLAGS=
ID=NQ28-081-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=350,280,196,32 | ROAD=Phía Liệt (cũ) Đường Quốc lộ 14 Phía huyện số | START=Bắc: Nghĩa trang sĩ huyện Bù Đăng Nam: Đường ra đội (từ thửa đất 60, tờ bản đồ số | END=Cổng ngang khu Đức Thiện (nhà Thành - Dung) | FLAGS=
ID=NQ28-081-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=350,280,196,32 | ROAD=51) Cổng Đường Quốc lộ 14 Thiện Dung) | START=ngang khu Đức (nhà Thành - | END=Phía Bắc: Đường vào hội trường khu Đức Thiện | FLAGS=
ID=NQ28-081-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=350,280,196,32 | ROAD=Phía hội Thiện Đường Quốc lộ 14 Phía đất | START=Bắc: Đường vào trường khu Đức Nam: Từ thửa số 118, tờ bản đồ | END=Phía Nam: Hết thửa đất số 117, tờ bản đồ số 10 Ranh giới Đức Phong - Minh Hưng (cũ) | FLAGS=
ID=NQ28-081-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=238,190,152,32 | ROAD=số Ranh Đường Quốc lộ 14 - Minh | START=10 giới Đức Phong Hưng (cũ) | END=Ngã ba Đường vào Thác Đứng thôn 01 | FLAGS=
ID=NQ28-081-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=238,190,152,32 | ROAD=Ngã Đường Quốc lộ 14 Thác | START=ba Đường vào Đứng thôn 01 | END=Ranh xưởng điều Cao Nguyễn thửa đất số 37, tờ bản đồ số 179 | FLAGS=
ID=NQ28-081-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=238,190,152,32 | ROAD=Ranh Đường Quốc [lộ 14 Nguyên 37, | START=xưởng điều Cao thửa đất số tờ bản đồ số 179 | END=Ngã ba Minh Hưng | FLAGS=
ID=NQ28-081-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=238,190,152,32 | ROAD=Đường Quốc lộ 14 Ngã | START=ba Minh Hưng | END=Ranh đất nhà ông Chuẩn thửa đất số 20, tờ bản đồ số 177 | FLAGS=
ID=NQ28-081-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=238,190,152,32 | ROAD=Ranh Đường Quốc lộ 14 Chuẩn tờ | START=đất nhà ông thửa đất số 20, bản đồ số 177 | END=Đường Quốc lộ 14 Ngã ba Đường vào thôn 7 | FLAGS=
ID=NQ28-081-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=238,190,152,32 | ROAD=Đường Đường Quốc lộ 14 Ngã thôn | START=Quốc lộ 14 ba Đường vào 7 | END=Ngã ba Nông trường Minh Hưng | FLAGS=
ID=NQ28-081-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=238,190,152,32 | ROAD=Ngã Đường Quốc lộ 14 Minh | START=ba Nông trường Hưng | END=Hết ranh thửa đất số 98 tờ bản đồ số 166 (cách cầu 38 dài 370m) | FLAGS=
ID=NQ28-081-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=238,190,152,32 | ROAD=Hết 98 Đường Quốc 1ộ 14 (cách 370m) | START=ranh thửa đất số tờ bản đồ số 166 cầu 38 dài | END=Cầu 38 | FLAGS=
ID=NQ28-081-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=238,190,152,32 | ROAD=Ngã Đường Quốc lộ 14 cũ Minh | START=ba Nông trường Hưng | END=Hết ranh đất nông trường bộ Minh Hưng | FLAGS=
ID=NQ28-081-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=182,146,116,32 | ROAD=Đường 14/12 Toàn | START=tuyến | END=Phía Tây: Đường | FLAGS=
ID=NQ28-081-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Hùng Vương lộ | START=ba đường Quốc 14 | END=Võ Thị Sáu Phía Đông: Hết thửa đất số 14, tờ | FLAGS=
ID=NQ28-081-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=182,146,116,32 | ROAD=Phía Đường Hùng Vương Thị | START=Tây: Đường Võ Sáu | END=bản đồ số 49 Ngã tư đường Hai Bà Trưng | FLAGS=
ID=NQ28-081-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=182,146,116,32 | ROAD=Phía đất số Ngã Đường Hùng Vương Trưng | START=Đông: Từ thửa số 15, tờ bản đồ 49 tư đường Hai Bà | END=Phía Tây: Đường Lê Quý Đôn Phía Đông: Hết thửa đất số 172, tờ bản đồ số 13 | FLAGS=
ID=NQ28-081-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=182,146,116,32 | ROAD=Phía Quý Đường Hùng Vương Phía đất | START=Tây: Đường Lê Đôn Đông: Từ thửa số 171, tờ bản đồ | END=Cầu Vĩnh Thiện | FLAGS=
ID=NQ28-081-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=182,146,116,32 | ROAD=số Phía Đường số 1 chính | START=13 bên trái chợ | END= | FLAGS=
ID=NQ28-081-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=182,146,116,32 | ROAD=Phía Đường số 2 chính | START=bên phải chợ | END= | FLAGS=
ID=NQ28-081-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=182,146,116,32 | ROAD=Đường số 3 Phía | START=trái chợ phụ | END= | FLAGS=
ID=NQ28-081-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=main | PRICES=182,146,116,32 | ROAD=Đường số 4 Phía | START=phải chợ phụ | END= | FLAGS=
ID=NQ28-081-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Lê Lợi Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lê Quý Đôn 14 | START=tư đường Quốc lộ | END=Ngã ba đường Hai Bà Trưng | FLAGS=
ID=NQ28-081-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lê Quý Đôn Trưng | START=ba đường Hai Bà | END=Ngã tư giáp đường D1 | FLAGS=
ID=NQ28-081-S01-TT0037-01 | SEC=agricultural | TT=37 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Lê Quý Đôn Ngã | START=tư giáp đường D1 | END=Ngã ba đường Trần Phú | FLAGS=
ID=NQ28-081-S01-TT0038-01 | SEC=agricultural | TT=38 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lê Quý Đôn Phú | START=ba đường Trần | END=Ngã ba đường Hùng Vương | FLAGS=
ID=NQ28-081-S01-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Lê Quý Đôn 14 | START=tư đường Quốc lộ | END=Ngã ba đường Trần Hưng Đạo Phía Tây: Đường | FLAGS=
ID=NQ28-081-S01-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Đoàn Đức Thái lộ | START=ba đường Quốc 14 | END=Trần Hưng Đạo Phía Đông: Hết thửa đất số 47, tờ bản đồ số 8 | FLAGS=
ID=NQ28-081-S01-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=182,146,116,32 | ROAD=Phía Hưng Đường Đoàn Đức Thái Phía đất số | START=Tây: Đường Trần Đạo Đông: Từ thửa số 25, tờ bản đồ 36 | END=Phía Tây: Đường Nơ Trang Long Phía Đông: Hết thửa đất số 6, tờ bản đồ số 36 | FLAGS=
ID=NQ28-081-S01-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=182,146,116,32 | ROAD=Phía Trang Đường Đoàn Đức Thái Phía đất | START=Tây: Đường Nơ Long Đông: Từ thửa số 5, tờ bản đồ số | END=Ngã ba vào nhà ông Ba Tuyên (Phía Tây: Hết thửa đất số 122, tờ bản đồ số 2, Phía | FLAGS=
ID=NQ28-081-S01-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=182,146,116,32 | ROAD=36 Ngã Bà Từ Đường Đoàn Đức Thái bản Nam: 123, | START=ba vào nhà ông Tuyến (Phía Bắc: thửa đất số 87, tờ đồ số 2, Phía Từ thửa đất số tờ bản đồ số 2) | END=Đông: Hết thửa đất số 121, tờ bản đồ 2) Ngã ba đường bê tông giáp ranh xã Đoàn Kết cũ (Phía Tây: Hết thửa đất số 2, tờ bản đồ số 2, Phía Đông: Hết thửa đất số 3, tờ bản đồ số 2) | FLAGS=
ID=NQ28-081-S01-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã giáp Đường Đoàn Đức Thái cũ đất | START=ba đường bê tông ranh xã Đoàn Kết (Phía Tây: Từ thửa số 1, tờ bản đồ số | END=Giáp đường Nguyễn Thị Minh Khai | FLAGS=
ID=NQ28-081-S01-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=182,146,116,32 | ROAD=2) Ngã Đường Nguyễn Huệ Quốc | START=ba giao đường lộ 14 | END=Ngã tư giáp đường Trần Hưng Đạo | FLAGS=
ID=NQ28-081-S01-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Nguyễn Huệ Trần | START=tư giáp đường Hưng Đạo | END=Cuối tuyến | FLAGS=
ID=NQ28-081-S01-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Ngô Gia Tự Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Trần Phú Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Võ Thị Sáu Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Hai Bà Trưng Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-081-S01-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=182,146,116,32 | ROAD=Đường Trần Hưng Đạo Toàn | START=tuyến | END=Phía Đông: Ngã ba | FLAGS=
ID=NQ28-081-S01-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã Đường Điểu Ong Quốc | START=ba giao đường lộ 14 | END=giao đường Hai Bà Trưng Phía Tây: Hết thửa đất số 130, tờ bản đồ số 8 | FLAGS=
ID=NQ28-081-S01-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=182,146,116,32 | ROAD=Phía giao Trưng Đường Điểu Ong Phía số | START=Đông: Ngã ba đường Hai Bà Tây: Từ thửa đất 1, tờ bản đồ số 13 | END=Ngã ba Sóc ông Đố (Phía Tây: Hết thửa đất số 61, tờ bản đồ số 60, Phía Đông: Hết thửa đất số 65, tờ bản đồ số 60) | FLAGS=
ID=NQ28-081-S01-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=182,146,116,32 | ROAD=Ngã (Phía đất Đường Điểu Ong số thửa đồ | START=ba Sóc ông Đồ Tây: Từ thửa số 12, tờ bản đồ 64, Phía Đông: Từ đất số 5, tờ bản số 64) | END=Cuối tuyến (Đập thủy lợi Bù Môn) | FLAGS=
