TABLE=082 | AREA=Xã Thọ Sơn | RECORDS=38 | GROUPS=38 | REVIEW=0
ID=NQ28-082-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=169,135,108 | ROAD=82. Xã Thọ Sơn Ranh Đường Quốc lộ 14 Sơn | START=Đoạn đường giới xã Phú Giáp cũ Duy | END=Giá trồng cây năm ranh cây xăng Kỳ | FLAGS=
ID=NQ28-082-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=169,135,108 | ROAD=Giáp Đường Quốc lộ 14 xăng | START=Hết bà ranh cây Duy Kỳ đất đồ | END=ranh đất nhà Lương (thửa số 48, tờ bản số 95) | FLAGS=
ID=NQ28-082-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=169,135,108 | ROAD=Ranh Nhâm Đường Quốc lộ 14 172, 95) | START=đất nhà ông (thửa đất số Ngã tờ bản đồ số đập | END=ba Đường vào thủy lợi | FLAGS=
ID=NQ28-082-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=169,135,108 | ROAD=Ngã Đường Quốc lộ 14 vào | START=ba Đường Ngã đập thủy lợi cổng | END=ba Đường vào Nông trường | FLAGS=
ID=NQ28-082-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=169,135,108 | ROAD=Ngã Đường Quốc lộ 14 vào trường | START=ba Đường Ranh cổng Nông Đồng | END=giới tỉnh Lâm | FLAGS=
ID=NQ28-082-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=169,135,108,32 | ROAD=Giáp Đường Quốc lộ 14 Sơn 400) | START=ranh xã Phú Chợ cũ (Km 896 + 898+600) | END=Thọ Sơn (Km | FLAGS=
ID=NQ28-082-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=169,135,108,32 | ROAD=Chợ Đường Quốc lộ 14 898 | START=Thọ Sơn (Km Ngã + 600) (Km | END=ba Sơn Hiệp 899 + 800) | FLAGS=
ID=NQ28-082-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=169,135,108,32 | ROAD=Ngã Đường Quốc lộ 14 (Km | START=Giáp ba Sơn Hiệp Đăng 899 + 800) 400) | END=ranh xã Bù (Km 903 + | FLAGS=
ID=NQ28-082-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=169,135,108 | ROAD=Ngã Đường Quốc lộ 14 cũ tránh lộ | START=ba đường Hết đường Quốc Duy 14 cũ | END=ranh cây xăng Kỳ | FLAGS=
ID=NQ28-082-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=104,83,67 | ROAD=Đường hai bên chợ Phú Toàn Sơn cũ | START=tuyến | END= | FLAGS=
ID=NQ28-082-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=104,83,67,32 | ROAD=Đường hai bên chợ Thọ Hành Sơn lồng | START=Hành lang nhà chợ chợ chính 15m | END=lang nhà lồng chính vào sâu | FLAGS=
