TABLE=084 | AREA=Xã Bom Bo | RECORDS=44 | GROUPS=44 | REVIEW=1
ID=NQ28-084-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=135,108,32 | ROAD=84. Xã Bom Bo Tên đường TT giao thông Cầu Sông Lấp Đường ĐT 760 ranh xã Minh | START=Đoạn đường Thửa đất (giáp Hưng) tờ bản đồ | END=Giá đất trồng cây lâu năm số 34, 124 169 số 78 | FLAGS=
ID=NQ28-084-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 78 | START=Thửa đất 34, 124 tờ tờ bản đồ (Nhà Thắng | END=số 54,48 số 77 169 Bền) | FLAGS=
ID=NQ28-084-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 77 | START=Thửa đất 54,48 tờ tờ bản đồ (Nhà Thanh | END=số 73,65 số 75 169 Hương) | FLAGS=
ID=NQ28-084-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 75 | START=73, 65 tờ Ngã ba | END=Tình Nghĩa 169 | FLAGS=
ID=NQ28-084-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=135,108,32 | ROAD=Đường ĐT 760 Ngã ba Tình | START=Thửa đất bản đồ số Nghĩa đất số 1, số 71 (Đường nhà thờ) | END=số 57, tờ 66; thửa tờ bản đồ 169 vào | FLAGS=
ID=NQ28-084-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 đồ số 66; thửa 1, tờ bản đồ | START=Thửa đất 57, tờ bản 177 tờ bản đất số (Cống nhà số 71 Nam) | END=số 178, đồ số 80 169 chú | FLAGS=
ID=NQ28-084-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 tờ bản đồ số nhà chú Nam) | START=178, 177 Thửa đất 80 (Cống tờ bản đồ trường thôn | END=số 66, 67 số 79 (Hội 169 3) | FLAGS=
ID=NQ28-084-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 79 trường thôn | START=Thửa đất 66,67 tờ 308 tờ bản (Hội (Nhà ông 3) hoạch khu thôn 4) | END=số 141, đồ số 58 Cừ - Quy 169 dân cư | FLAGS=
ID=NQ28-084-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số tờ bản đồ số Đường ĐT 760 ông Cừ - Quy khu dân cư | START=141, 308, 58 (Nhà Thửa đất hoạch tờ bản đồ thôn 4) | END=số 97, 82 169 số 55 | FLAGS=
ID=NQ28-084-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 55 | START=97, 82 tờ Thửa đất tờ bản đồ | END=số 74, 64 169 số 55 | FLAGS=
ID=NQ28-084-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 55 | START=74, 64 tờ Thửa đất tờ bản đồ | END=số 26, 197 169 số 55 | FLAGS=
ID=NQ28-084-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=135,108,32 | ROAD=Thửa đất số Đường ĐT 760 bản đồ số 55 | START=26, 197 tờ Cầu Sập | END=169 | FLAGS=
ID=NQ28-084-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=135,108,32 | ROAD=Đường ĐT 760 Cầu Sập | START=Ngã ba | END=cổng chào 169 | FLAGS=
ID=NQ28-084-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=135,108,32 | ROAD=Ngã ba cổng Đường ĐT 760 thôn 8 | START=thôn 8 chào Hết ranh văn hóa | END=Cổng Nhà 169 Bom Bo | FLAGS=
ID=NQ28-084-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=135,108,32 | ROAD=Hết ranh Cổng Đường ĐT 760 văn hóa Bom | START=Nhà Hết ranh Bo Sáu Lực | END=nhà ông 169 | FLAGS=
ID=NQ28-084-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=135,108,32 | ROAD=Giáp ranh nhà Đường ĐT 760 Sáu Lực | START=ông Ngã ba Hùng | END=ông Võ Lý 169 | FLAGS=
ID=NQ28-084-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=135,108,32 | ROAD=Ngã ba ông Đường ĐT 760 Hùng | START=Giáp ranh Võ Lý Nhau | END=xã Đắk 169 | FLAGS=
ID=NQ28-084-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=83,67,32 | ROAD=Các tuyến đường trong Toàn tuyến khu trung tâm hành chính xã | START= | END=104 | FLAGS=
ID=NQ28-084-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=70,56,45,32 | ROAD=Đường từ nhà bà Sâm Mai và Thửa đất số Trần Văn Tửu tờ bản đồ số đến nhà bà Lê Thị Đổi | START=122, 101 Thửa đất 80 bản đồ số | END=số 88, 7 tờ 70 66 | FLAGS=
ID=NQ28-084-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=70,56,45,32 | ROAD=Đường 23 Đường ĐT (đường liên xã) | START=Thửa đất 760 bản đồ số | END=số 185, tờ 70 55 | FLAGS=
