TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=136 | GROUPS=136 | REVIEW=5
ID=NQ28-085-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=350,280,224 | ROAD=85. Xã Thiện Hưng Tên đường giao TT thông Ranh Đường Nguyễn Huệ Hòa | START=Đoạn đường Ngã tư xã Thanh (Thửa (cũ) bản đồ | END=Giá đất trồng cây lâu năm vòng xoay đất số 51, tờ 350 số 74) | FLAGS=
ID=NQ28-085-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=350,280,224 | ROAD=Ngã xoay Đường Nguyễn Huệ số 51, số 74) | START=tư vòng Cây xăng (Thửa đất Thanh tờ bản đồ ranh thửa tờ bản | END=thị trấn Bình (cũ), hết 350 đất số 73, đồ số 09 | FLAGS=
ID=NQ28-085-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=350,280,224 | ROAD=Cây trấn Đường Nguyễn Huệ (cũ), thửa tờ bản | START=xăng thị Thanh Bình Hết ranh hết ranh 33, tờ đất số 73, đồ số 09 | END=thửa đất số 350 bản đồ số 44 | FLAGS=
ID=NQ28-085-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=350,280,224 | ROAD=Hết Đường Nguyễn Huệ đất bản | START=ranh thửa Đường số 33, tờ Trỗi đồ số 44 | END=Nguyễn Văn 350 | FLAGS=
ID=NQ28-085-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=350,280,224 | ROAD=Đường Đường Nguyễn Huệ Văn | START=Nguyễn Ranh xã Trỗi Hưng | END=Thiện 350 cũ | FLAGS=
ID=NQ28-085-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=350,280,224 | ROAD=Ngã Đường Lê Duẩn Chánh | START=Giáp đường Trãi và ba Công số 18, 51 | END=Nguyễn hết thửa đất 350 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=350,280,224 | ROAD=Giáp Nguyễn Đường Lê Duẩn hết 18, 51 | START=đường Giáp đường Trãi và Lương thửa đất số thửa đất tờ bản đồ số bản đồ | END=Nguyễn Bằng và hết 350 số 34, tờ số 46 | FLAGS=
ID=NQ28-085-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=350,280,224 | ROAD=Giáp Nguyễn Đường Lê Duẩn Bằng thửa tờ bản | START=đường Ngã ba Lương (Đường và hết thửa đất đất số 34, bản đồ đồ số 46 | END=Sở Nhỏ D11) và hết 350 số 496, tờ số 10 | FLAGS=
ID=NQ28-085-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=350,280,224 | ROAD=Ngã (Đường Đường Lê Duẩn hết 496, số 10 | START=ba Sở Nhỏ D11) và Hết thửa thửa đất số tờ bản tờ bản đồ | END=đất số 633, 350 đồ số 10 | FLAGS=
ID=NQ28-085-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=350,280,224 | ROAD=Hết Đường Lê Duẩn 633, số 10 | START=thửa đất số Giáp suối tờ bản đồ đất ông | END=(Hết ranh 350 Trần Bù Tỏ) | FLAGS=
ID=NQ28-085-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=350,280,224 | ROAD=Giáp Đường Lê Duẩn ranh Trần | START=Hết ranh suối (Hết đất ông 94 và 91, tờ Bù Tỏ) | END=thửa đất số thửa đất số 350 bản đồ số 20) | FLAGS=
