TABLE=086 | AREA=Xã Tân Tiến | RECORDS=75 | GROUPS=75 | REVIEW=0
ID=NQ28-086-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=134,108,49 | ROAD=86. Xã Tân Tiến Tên đường giao TT thông Giáp Đường ĐT 759B Tấn | START=Đoạn đường ranh xã Lộc Giáp ranh Quang | END=Giá đất trồng cây lâu năm xã Lộc 168 | FLAGS=
ID=NQ28-086-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=134,108,49 | ROAD=Giáp Đường ĐT 759B Hiệp | START=Hết ranh ranh xã Lộc xã Tân (cũ) (cũ) | END=UBND Thành 168 | FLAGS=
ID=NQ28-086-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=134,108,49 | ROAD=Hết Đường ĐT 759B xã Tân (cũ) | START=ranh UBND Giáo xứ Thành Thành | END=Tân 168 | FLAGS=
ID=NQ28-086-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=134,108,49 | ROAD=Giáo Đường ĐT 759B Thành | START=Giáp ranh xứ Tân Võ Đình | END=đất ông 168 Chiết | FLAGS=
ID=NQ28-086-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=134,108,49 | ROAD=Đường ĐT 759B Giáp | START=ranh đất Hết ranh | END=Bưu 168 | FLAGS=
ID=NQ28-086-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=134,108,49 | ROAD=ông Chiết Hết Đường ĐT 759B điện Thành | START=Võ Đình điện xã Thành Ngã ba ranh Bưu xóm, (hết xã Tân thửa đất (cũ) bản đồ | END=Tân (cũ) đường ranh 168 số 51, tờ số 21) | FLAGS=
ID=NQ28-086-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=134,108,49 | ROAD=Ngã xóm Đường ĐT 759B thửa tờ bản | START=ba đường (hết ranh Giáp ranh đất số 51, Tiến cũ đồ số 21) | END=xã Tân 168 | FLAGS=
ID=NQ28-086-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=134,108,49 | ROAD=Giáp Đường ĐT 75913 Thành | START=ranh xã Tân Ngã ba (cũ) nhựa K2 | END=đường 168 | FLAGS=
ID=NQ28-086-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=134,108,49 | ROAD=Ngã Đường ĐT 759B nhựa | START=ba đường Giáp ranh K2 bà Lê | END=đất nhà 168 Bên | FLAGS=
ID=NQ28-086-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=134,108,49 | ROAD=Giáp Đường ĐT 759B nhà | START=ranh đất Cổng chào bà Lê Bên Tân An | END=ấp 168 | FLAGS=
ID=NQ28-086-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=134,108,49 | ROAD=Cổng Đường ĐT 759B Tân Đường giao thông đấu | START=chào ấp Giáp ranh Thanh An | END=xã 168 Hòa (cũ) | FLAGS=
ID=NQ28-086-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=90,72,49 | ROAD=nối từ đường ĐT 759B vào 200m (trừ các Toàn đoạn đã quy định giá đất cụ thể trong phụ | START=tuyến | END=112 | FLAGS=
