TABLE=087 | AREA=Xã Hưng Phước | RECORDS=23 | GROUPS=23 | REVIEW=0
ID=NQ28-087-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=134,108,49 | ROAD=87. Xã Hưng Phước Tên đường giao TT thông Giáp Đường ĐT 759B Thiện | START=Đoạn đường ranh xã Cầu sắt 2 Hưng | END=Giá đất trồng cây lâu năm 168 | FLAGS=
ID=NQ28-087-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=134,108,49 | ROAD=Đường ĐT 759B Cầu | START=Trụ sở UBND sắt 2 Hưng Phước | END=xã 168 | FLAGS=
ID=NQ28-087-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=134,108,49 | ROAD=Trụ sở Đường ĐT 759B xã Hưng Phước | START=UBND Cửa khẩu Diệu | END=Hoàng 168 | FLAGS=
ID=NQ28-087-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=84,67,49 | ROAD=Đường Quy hoạch trung tâm UBND xã Toàn Phước Thiện (cũ) Đường giao thông | START=tuyến | END=105 | FLAGS=
ID=NQ28-087-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=84,67,49 | ROAD=đấu nối từ đường ĐT 75913 vào 200m (trừ Toàn các đoạn đã quy định giá đất cụ thể trong | START=tuyến | END=105 | FLAGS=
ID=NQ28-087-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp Tân Đường Hưng 759B | START=Hết ranh ấp Tân Hưng ĐT bản đồ số đất số 9 đến số 106, tờ 63) | END=nhà văn hóa (Tờ 62, thửa 50 thửa đất bản đồ số | FLAGS=
ID=NQ28-087-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa vào trạm Đường y tế (đối diện cổng 759B chào ấp 6) | START=Ngã ba Nhà ấp Tân Hưng ĐT bản đồ số đất số 19 đồ số 48, 771) | END=văn hóa (Tờ 61, thửa 50 đến tờ bản thửa đất số | FLAGS=
ID=NQ28-087-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=50,40,32,32 | ROAD=Đường vào trường Đường học cũ 759B | START=Vòng ra chợ đất số 104, ĐT số 66 đến số 45, tờ 62) | END=cũ (thửa tờ bản đồ thửa đất 50 bản đồ số | FLAGS=
ID=NQ28-087-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=50,40,32,32 | ROAD=Đường vào nhà văn Đường hóa ấp Tân Trạch 759B | START=Ngã ba nhà ĐT Hương (Tờ số 66, thửa đến thửa | END=bà bản đồ 50 đất số 16 đất số 76) | FLAGS=
ID=NQ28-087-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa ấp Điện Đường Ảnh 759B | START=Nhà Văn Ảnh (Đập ĐT bản đồ số đất số 16 đất số 119, số 49) | END=hóa ấp Điện M16) (Tờ 481, thửa 50 đến thửa tờ bản đồ | FLAGS=
ID=NQ28-087-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=50,40,32,32 | ROAD=Đường DH07 (đường Đường vào ấp Tân Lập) 759B | START=Ban quản phòng hộ ĐT bản đồ số đất số 22 đất số 7) | END=lý rừng Bù Đốp (Tờ 39, thửa 50 đến thửa | FLAGS=
ID=NQ28-087-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=50,40,32,32 | ROAD=Đường vào chùa Đường Phước Thiện (đối diện 759B ấp 4 Hưng Phước) | START=Chùa Phước ĐT (Tờ bản đồ thửa đất số thửa đất số | END=Thiện số 44, 50 101 đến 117) | FLAGS=
