TABLE=088 | AREA=Xã Đắk Ơ | RECORDS=26 | GROUPS=26 | REVIEW=6
ID=NQ28-088-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,49 | ROAD=88. Xã Đắk Ơ Tên đường TT giao thông Giáp ranh Đường ĐT 741 xã Đắk Ơ | START=Đoạn đường Hết xã Phú Nghĩa - đất đất tờ bản | END=Giá đất trồng cây lâu năm ranh thửa số 72, thửa 252 số 55 thuộc đồ số 47 | FLAGS=
ID=NQ28-088-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=202,161,49 | ROAD=Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=Hết đất đất số 72, bản 55 thuộc tờ đến 47 477, | END=ranh thửa số 137, tờ đồ số 44 252 thửa đất số tờ bản đồ | FLAGS=
ID=NQ28-088-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Hết ranh thửa | START=số 48 đất số 137, Hết | END=ranh thửa 252 | FLAGS=
ID=NQ28-088-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=202,161,49 | ROAD=tờ bản đồ đất số 477, 48 Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=số 44 đến thửa đất tờ bản đồ số đất tờ bản đất số 57, Trường 51 thuộc tờ trạm 62 | END=số 57, thửa số 51 thuộc đồ số 62 học, 252 y tế | FLAGS=
ID=NQ28-088-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 741 Trường học, | START=Hết đất trạm y tế đất tờ bản | END=ranh thửa số 58, thửa 252 số 463 thuộc đồ số 46 | FLAGS=
ID=NQ28-088-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=202,161,49 | ROAD=Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=Hết đất số 58, đất 463 thuộc tờ đất 46 tờ bản | END=ranh thửa số 17, thửa 252 số 87 thuộc đồ số 41 | FLAGS=
ID=NQ28-088-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=202,161,49 | ROAD=Hết ranh thửa Đường ĐT 741 thửa đất số bản đồ số | START=đất số 17, Giáp 87 thuộc tờ Gia 41 | END=ranh xã Bù 252 Mập | FLAGS=
ID=NQ28-088-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=90,72,49 | ROAD=Đường huyện 3 (Ngã tư chợ đi Hết ranh thửa thôn 6 xã Đắk tờ bản đồ Ơ) | START=Hết đất đất số 29, bản số 49 đến 561, số 24 | END=ranh thửa số 121, tờ đồ số 50 112 thửa đất số tờ bản đồ | FLAGS=
ID=NQ28-088-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=90,72,49 | ROAD=Đường huyện 3 Hết ranh thửa (Ngã tư chợ đi tờ bản đồ thôn 6 xã Đắk đất số 561, Ơ) 24 | START=đất số 121, số 50 đến thửa Ngã tờ bản đồ số vào | END=ba Đường 112 Mỏ Đá | FLAGS=
ID=NQ28-088-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=90,72,49 | ROAD=Đường huyện 3 (Ngã tư chợ đi Ngã ba Đường thôn 6 xã Đắk Đá Ơ) | START=vào Mỏ Ranh Gia | END=giới xã Bù 112 Mập | FLAGS=
ID=NQ28-088-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES= | ROAD=Đường huyện (Ngã tư chợ Hết ranh thửa | START=Hết đất số 3, tờ đất | END=ranh thửa số 18, thửa | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-088-S01-TT0011-02 | SEC=agricultural | TT=11 | REL=main | PRICES=90,72,49 | ROAD=đi thôn Bù Bưng, bản đồ số thôn 10) | START=59 đất tờ bản | END=112 số 233 thuộc đồ số 39 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0011-03 | SEC=agricultural | TT=11 | REL=main | PRICES= | ROAD=Đường huyện Hết ranh thửa (Ngã tư chợ | START=đất số 18, Giáp | END=đường | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=90,72,49 | ROAD=thửa đất số đi thôn Bù Bưng, bản đồ số thôn 10) | START=233 thuộc tờ tuần 39 | END=112 tra biên giới | FLAGS=
ID=NQ28-088-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=90,72,49 | ROAD=Đường huyện 01 (Đường thôn Giáp đường | START=ĐT 741 Ngã | END=ba thôn 3 112 | FLAGS=
ID=NQ28-088-S01-TT0009-02 | SEC=agricultural | TT=9 | REL=main | PRICES= | ROAD=thôn 3) | START= | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=90,72,49 | ROAD=Đường huyện 01 (Đường thôn Ngã ba thôn | START=Giáp 3 | END=đường 112 | FLAGS=
ID=NQ28-088-S01-TT0009-03 | SEC=agricultural | TT=9 | REL=main | PRICES= | ROAD=thôn 3) | START=tuần | END=tra biên giới | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=90,72,49 | ROAD=Đường Đắk Ơ 06 (thôn Đắk Giáp đường Lim đi thôn 4) | START=Đến ĐT 741 đường 12 | END=ngã ba Đắk Ơ 112 | FLAGS=
ID=NQ28-088-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=90,72,49 | ROAD=Đường Đắk Ơ Giáp đường | START=Đến ĐT 741 đường | END=ngã ba Đắk Ơ 112 | FLAGS=
ID=NQ28-088-S01-TT0014-02 | SEC=agricultural | TT=14 | REL=main | PRICES= | ROAD=Các tuyến | START=12 | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-088-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến đường thuộc thuộc cụm Khu Quy hoạch (Khu Quy chi tiết tỷ lệ lệ 1 /500 trung 1/500 trung tâm Đắk Ơ) xã Đắk Ơ | START=đường nội bộ CT36, CT43 hoạch chi tiết tỷ tâm xã | END=112 | FLAGS=
ID=NQ28-088-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến Các tuyến thuộc cụm đường thuộc CT14, CT15, Khu Quy hoạch CT33, CT34, chi tiết tỷ lệ (Khu Quy 1/500 trung tâm lệ 1/500 trung xã Đắk Ơ Ơ) | START=đường nội bộ CT08, CT09, CT16, CT37, CT39 hoạch chi tiết tỷ tâm xã Đắk | END=112 | FLAGS=
ID=NQ28-088-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến đường thuộc Khu Quy hoạch Các tuyến chi tiết tỷ lệ còn lại 1/500 trung tâm xã Đắk Ơ | START=đường nội bộ | END=112 | FLAGS=
