TABLE=089 | AREA=Xã Phú Nghĩa | RECORDS=115 | GROUPS=115 | REVIEW=0
ID=NQ28-089-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,49 | ROAD=89. Xã Phú Nghĩa Tên đường giao TT thông Ngã ba Đường ĐT 760 Tiền Giang | START=Đoạn đường Tỉnh ủy Suối Tiền | END=Giá đất trồng cây lâu năm Giang 252 | FLAGS=
ID=NQ28-089-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 760 Suối Tiền | START=Giáp ranh ông Tuấn Giang số 1, tờ bản 108) | END=đất nhà (thửa đất 252 đồ số | FLAGS=
ID=NQ28-089-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=202,161,49 | ROAD=Giáp ranh ông Tuấn Đường ĐT 760 đất số 1, số 108) | START=đất nhà (thửa Ngã tư Quốc tờ bản đồ | END=Tế 252 | FLAGS=
ID=NQ28-089-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 760 Ngã tư Quốc | START=Hết ngã tế vào Hội trường thân 2 | END=ba Đường 252 | FLAGS=
ID=NQ28-089-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=202,161,49 | ROAD=Hết ngã Đường ĐT 760 vào Hội | START=ba Đường Chùa Thanh trường hướng Bù | END=Hoa 252 Đăng | FLAGS=
ID=NQ28-089-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=202,161,49 | ROAD=thôn 2 Chùa Thanh Đường ĐT 760 hướng Bù | START=Hết ranh Hoa Văn + 200m Đăng hướng Bù | END=chợ Phú 252 Đăng | FLAGS=
ID=NQ28-089-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=202,161,49 | ROAD=Giáp ranh Đường ĐT 760 Phú Văn hướng Bù | START=chợ + 200m Ranh đất Đăng | END=lâm phần 252 | FLAGS=
ID=NQ28-089-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=202,161,49 | ROAD=Ranh đất Đường ĐT 760 phần | START=lâm Giáp ranh Bù Đăng | END=huyện 252 (cũ) | FLAGS=
ID=NQ28-089-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=202,161 | ROAD=Tiếp giáp Đường ĐT 760 trung tâm | START=Hết ranh đường số 377, tờ xã số 83 | END=thửa đất bản đồ 252 | FLAGS=
ID=NQ28-089-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=202,161 | ROAD=Hết ranh Đường ĐT 760 số 377, số 83 | START=thửa đất Giáp ranh tờ bản đồ Nghĩa cũ | END=xã Phú 252 | FLAGS=
ID=NQ28-089-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 760 Ngã tư | START=Ngã ba NT Phú Nghĩa Tiền Giang | END=Tỉnh ủy 252 | FLAGS=
ID=NQ28-089-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=202,161,49 | ROAD=Đường ĐT 760 Ngã tư | START=Giáp ranh Phú Nghĩa vành đai | END=đường 252 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=90,72,49 | ROAD=Đường thôn 1 xã Ngã tư Phú Văn (cũ) | START=Hết ranh Trần Thị quốc tế (thửa đất bản đồ số | END=đất hộ bà Phẩm 112 số 46, tờ 84) | FLAGS=
ID=NQ28-089-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=90,72,49 | ROAD=Ngã tư Đường thôn 1 xã hóa thôn Phú Văn (cũ) đất số 54, đồ số 108) | START=nhà văn Nhà bà Nguyễn 1 (thửa Thủy (thửa tờ bản 50, tờ bản 108) | END=Thị đất số 112 đồ số | FLAGS=
ID=NQ28-089-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=90,72,49 | ROAD=Đường tổ 15, Giáp đường thôn 3 xã Phú 760 (Lò Vân (cũ) Nam) | START=Nhà ông ĐT Dung (hết rèn ông thửa đất bản đồ số | END=Lê Thanh ranh 112 số 15, tờ 100) | FLAGS=
ID=NQ28-089-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=90,72,49 | ROAD=Đường chợ thôn Giáp đường 2 (Đường bàn cờ 760 khu vực chợ) | START=Ngã ba Nhà ĐT Điền (hết đất số 305, đồ số 99) | END=ông ranh thửa 112 tờ bản | FLAGS=
