TABLE=090 | AREA=Xã Đa Kia | RECORDS=54 | GROUPS=53 | REVIEW=5
ID=NQ28-090-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=210,168,134 | ROAD=90. Xã Đa Kia Tên đường giao thông Đầu thửa I Đường ĐT 759 bản đồ Đa Kia) Hết ranh Đường ĐT 759 Tân | START=Đoạn đường đất số 44 tờ Hết số 119 (phía xã Bình Cầu nghĩa địa Bình đất số | END=Giá cây ranh nghĩa địa Tân Đa Kia hết thửa số 142 tờ bản đồ 106 | FLAGS=
ID=NQ28-090-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=210,168,134 | ROAD=Cầu Đa Đường ĐT 759 số 142 | START=Đầu hóa Kia hết thửa đất thuộc tờ bản đồ số 106 đồ UBND | END=ranh Nhà Văn thôn Bình Tân thửa 116 tờ bản số 106 (Hướng về xã Đa Kia) | FLAGS=
ID=NQ28-090-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=210,168,134 | ROAD=Đầu ranh thôn Bình Đường ĐT 759 thửa 116 106 (Hướng | START=Nhà văn Hóa Tân thuộc Ranh tờ bản đồ số Hưng về UBND | END=giới xã Thiện | FLAGS=
ID=NQ28-090-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=252,202,161 | ROAD=xã Đa Kia) Từ hết Đường ĐT 759 tờ 119 Bình | START=Hết ranh thửa số 44 160, hướng đi Phước ranh 12 | END=ranh thửa đất số tờ số 12 và hết thửa 154 tờ số | FLAGS=
ID=NQ28-090-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=252,202,161 | ROAD=Hết ranh 160, tờ Đường ĐT 759 ranh thửa hướng | START=thửa đất số Hết 553, số 12 và hết và 154 từ số 12 đi Phước Bình bản | END=ranh thửa đất số tờ bản đồ số 29 thửa đất số 761 tờ đồ số 29 | FLAGS=
ID=NQ28-090-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=252,202,161 | ROAD=Hết ranh 553, tờ Đường ĐT 759 thửa đất đồ số 29 Phước | START=thửa đất số Hết bản đồ số 29 và 661, số 761 tờ bản và hướng đi bản Bình | END=ranh thửa đất số tờ bản đồ số 45 thửa đất số 45 tờ đồ số 45 | FLAGS=
ID=NQ28-090-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=252,202,161 | ROAD=Hết ranh 661, tờ Đường ĐT 759 thửa đất đồ số 45 Phước | START=thửa đất số bản đồ số 45 và Hết số 45 tờ bản 374 hướng đi Bình | END=ranh thửa đất số tờ bản đồ số 46 | FLAGS=
ID=NQ28-090-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=252,202,161 | ROAD=Từ ranh Đường ĐT 759 số 53 hướng Bình | START=thửa số 10 tờ Đến đi Phước số | END=hết ranh thửa đất 52, tờ số 53 | FLAGS=
ID=NQ28-090-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=252,202,161 | ROAD=Ngã ba Đường ĐT 760 ĐT 759 | START=Ngã tiếp giáp đường lành đất số | END=tư Nhà thờ tin Bình Hà 1 (thửa số 473, tờ bản đồ 31) | FLAGS=
ID=NQ28-090-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=252,202,161 | ROAD=Ngã tư Đường ĐT 760 Bình Hà 31) | START=Hết Nhà thờ tin lành thôn 1 (thửa 473 tờ đất số | END=ranh Hội trưởng Bình Hà 2 (thửa số 50, tờ bản đồ 22) | FLAGS=
ID=NQ28-090-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=252,202,161 | ROAD=Hết ranh thôn Bình Đ trùng ĐT 760 đất số 50, 22) | START=Hội trường Suối Hà 2 (thửa tờ bản đồ số 53, | END=Tên (thửa đất số tờ bản đồ số 15) | FLAGS=
ID=NQ28-090-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=252,202,161 | ROAD=Suối Tên Đường ĐT 760 53, tờ bản | START=Cầu (thửa đất số đất đồ số 15) số | END=Sông Bé (thửa số 35, tờ bản đồ 03) | FLAGS=
ID=NQ28-090-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=55,44,35 | ROAD=Đường vào thôn Bình Tiến 1 (Đường vào Trung Giáp đường tâm hành chính xã hiện hữu) | START=Đầu 112 ĐT 759 (ông đường | END=ranh thửa đất số tờ bản đồ số 102 Bình) hướng ra ĐT 759 | FLAGS=
ID=NQ28-090-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=55,44,35 | ROAD=Đường vào thôn Đầu ranh Bình Tiến 1 112 tờ (Đường vào Trung (ông Bình) tâm hành chính xã đường | START=Hết thửa đất số 86 bản đồ số 102 Thắng), Hướng ra 102 ĐT 759 Trung | END=ranh thửa đất số (ông Nguyễn Văn tờ bản đồ số (Đường mặt khu tâm hành chính | FLAGS=
ID=NQ28-090-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=55,44,35 | ROAD=hiện hữu) Đường quy hoạch Giáp đường | START=xã) ĐT 759 Khu | END=trung tâm hành | FLAGS=
ID=NQ28-090-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=55,44,35 | ROAD=vào trung tâm hành chính xã cũ Đường thôn Bình Giáp đường Tân | START=chính cũ Ngã trung ĐT 759 xã đất 106) | END=xã Phước Minh ba đường rẽ vào tâm hành chính cũ (hết ranh thửa số 8, tờ bản đồ | FLAGS=
