TABLE=091 | AREA=Xã Bù Gia Mập | RECORDS=15 | GROUPS=15 | REVIEW=1
ID=NQ28-091-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=90,72,49 | ROAD=91. Xã Bù Gia Mập Tên đường TT giao thông Đường ĐT Giáp ranh xã | START=Đoạn đường Giáp ranh tỉnh Đắk Ơ | END=Giá đất Giá trồng trồng cây lâu hằng năm năm Lâm 100 | FLAGS=
ID=NQ28-091-S01-TT0741-01 | SEC=agricultural | TT=741 | REL=main | PRICES= | ROAD= | START=Đồng | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-091-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến Các tuyến đường đường trung nội bộ Trung tâm xã Bù Bù Gia Mập Gia Mập | START=tâm xã | END=100 | FLAGS=
ID=NQ28-091-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến Hết ranh nhà đường trang Chu Văn Dũng (thửa đất số tâm xã Bù bản đồ số 45) Gia Mập | START=ông Ngã ba nhà Đặng Thị Hon 62, tờ đất số 208, tờ đồ số 28) | END=bà (thửa 100 bản | FLAGS=
ID=NQ28-091-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=90,72,49 | ROAD=Đường ĐT Ngã ba tiếp giáp đường ĐT 741 760B | START=Hết ranh nhà Phạm Ngọc (thửa đất số bản đồ số 28) | END=ông Thảo 100 03, tờ | FLAGS=
ID=NQ28-091-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh nhà Đường ĐT Phạm Ngọc Thảo (thửa đất số 760B bản đồ số 28) | START=ông Hết ranh Cổng vườn Quốc 03, tờ Gia Mập | END=gia Bù 100 | FLAGS=
ID=NQ28-091-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh Cổng Đường ĐT vườn Quốc gia 760B Gia Mập | START=Hết ranh đất Bù Ông Điều Khên (thửa đất số | END=nhà 100 62, tờ | FLAGS=
ID=NQ28-091-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh nhà Đường ĐT Điểu Khên (thửa số 62, tờ bản 760B 28) | START=bản đồ số 28) ông Đến nhà ông đất Thơm (thửa đồ số 83, tờ bản đồ 35) | END=Điểu đất số 100 số | FLAGS=
ID=NQ28-091-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=90,72,49 | ROAD=Nhà ông Điểu Đường ĐT (thửa đất số 760B bản đồ số 35) | START=Hết ranh đất Thơm ông Đào Đức 83, tờ (thửa đất số bản đồ số 39) | END=nhà Sơn 100 234, tờ | FLAGS=
ID=NQ28-091-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=90,72,49 | ROAD=Hết ranh nhà Đường ĐT Đào Đức Sơn đất số 234, tờ 760B đồ số 39) | START=Hết ranh đất ông ông Nguyễn (thửa Mùi (thửa đất bản 09, tờ bản đồ 44) | END=nhà công số 100 số | FLAGS=
ID=NQ28-091-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=48,38,38 | ROAD=Đường nhựa nối Đăk Côn, Đường ĐT 741 Bù Rên | START=Suối Đăk Côn | END=60 | FLAGS=
ID=NQ28-091-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=48,38,38 | ROAD=Đường nhựa Đường ĐT 741 thôn Cầu sắt | START=Nhà Lương Tuyến (hết ranh thửa đất số bản đồ số 19) | END=Văn 60 191, tờ | FLAGS=
ID=NQ28-091-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=48,38,38 | ROAD=Từ ngã ba cây Hoàng Duyên Đường nhựa ranh thửa đất đi thôn Đăk Á 440, tờ bản đồ 39) | START=xăng (hết Hết ranh thửa số số 73, tờ bản số 42 | END=đất đồ số 60 | FLAGS=
ID=NQ28-091-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=40,32,32 | ROAD=Các tuyến đường nhựa, Toàn tuyến bê tông còn lại | START= | END=50 | FLAGS=
ID=NQ28-091-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=40,32,32 | ROAD=Các tuyến Toàn tuyến đường còn lại | START= | END=50 | FLAGS=
