TABLE=092 | AREA=Xã Phú Riềng | RECORDS=86 | GROUPS=86 | REVIEW=2
ID=NQ28-092-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=210,168,134 | ROAD=92. Xã Phú Riềng Tên đường giao thông TT Đường ĐT 741 | START=Đoạn Giáp ranh xã Thuận Lợi | END=đường Giá cây Đường vào chùa Pháp Tịnh | FLAGS=
ID=NQ28-092-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Đường vào chùa Pháp Tịnh | END=Trường THCS Nguyễn Du + 200m đi về hướng xã Bình Tân | FLAGS=
ID=NQ28-092-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Trường THCS Nguyễn Du + 200m đi về | END=Ngã ba Đường vào Nhà máy chế biến mũ cao | FLAGS=
ID=NQ28-092-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=hướng xã Bình Tân Ngã ba Đường vào Nhà máy chế biến mủ cao su | END=su Cầu suối Rạt | FLAGS=
ID=NQ28-092-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Cầu suối Rạt | END=Giáp khu quy hoạch chi tiết TTHC huyện Phú Riềng cũ | FLAGS=
ID=NQ28-092-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Giáp khu quy hoạch chi tiết TTHC huyện Phú Riềng cũ | END=Hết khu quy hoạch chi tiết TTHC huyện Phú Riềng cũ | FLAGS=
ID=NQ28-092-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Hết Khu quy hoạch chi tiết TTHC huyện Phú Riềng cũ | END=Ngã ba giao Đường ĐT 741 (Thửa đất số 35, tờ bản đồ số 93) | FLAGS=
ID=NQ28-092-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Ngã ba giao Đường ĐT 741 (thửa đất số 35, tờ bản đồ số 93) | END=Hết ranh đất trạm thu phí | FLAGS=
ID=NQ28-092-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Giáp đất trạm thu phí | END=Ngã ba đi Long Tân cũ | FLAGS=
ID=NQ28-092-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Ngã ba đi Long Tân cũ | END=Ngã ba Bù Nho cũ đi Long Hà + 300m đi về hướng phường Phước Bình | FLAGS=
ID=NQ28-092-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=210,168,134 | ROAD=Đường ĐT 741 | START=Ngã ba Bù Nho cũ đi Lọng Hà + 300m đi về hướng phường Phước Bình | END=Đường vào suối Tân + 200m hướng đi phường Phước Bình | FLAGS=
