TABLE=093 | AREA=Xã Phú Trung | RECORDS=39 | GROUPS=39 | REVIEW=4
ID=NQ28-093-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=182,146,116 | ROAD=93. Xã Phú Trung Tên đường giao TT thông Giáp Đường ĐT 759 Phước | START=Đoạn đường Ngã ranh phường Nhà Long Đồng | END=Giá trồng cây ba Đường vào văn hóa thôn Tiến | FLAGS=
ID=NQ28-093-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=182,146,116 | ROAD=Ngã ba Đường ĐT 759 Nhà văn Đồng | START=Đường vào hóa thôn Ngã Tiến | END=ba đường N7 | FLAGS=
ID=NQ28-093-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=182,146,116 | ROAD=Đường ĐT 759 Ngã ba | START=Giáp đường N7 Trung | END=ranh xã Nghĩa | FLAGS=
ID=NQ28-093-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=182,146,116 | ROAD=Ngã ba Đường ĐT 753B (ĐH và đường | START=Quốc lộ 14 UBND ĐT 753B | END=xã + 500m về | FLAGS=
ID=NQ28-093-S01-TT0312-01 | SEC=agricultural | TT=312 | REL=main | PRICES= | ROAD=cũ) (ĐH 312 | START=hướng cũ) | END=Quốc lộ 14 | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-093-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=182,146,116 | ROAD=Đường ĐT 753B (ĐH UBND | START=xã + 500m về UBND | END=xã 1000m về | FLAGS=
ID=NQ28-093-S01-TT0312-02 | SEC=agricultural | TT=312 | REL=main | PRICES= | ROAD=cũ) hướng | START=Quốc lộ 14 phía | END=xã Phú Riềng | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-093-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=182,146,116 | ROAD=Đường ĐT 753B (ĐH UBND | START=xã 1000m về Giáp | END=ranh giới xã Phú | FLAGS=
ID=NQ28-093-S01-TT0312-03 | SEC=agricultural | TT=312 | REL=main | PRICES= | ROAD=cũ) phía xã | START=Phú Riềng Riềng | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-093-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=182,146,116 | ROAD=Đường Quốc lộ 14 Ranh | START=xã Đồng Tâm Ranh | END=xã Nghĩa Trung | FLAGS=
ID=NQ28-093-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=112,90,72 | ROAD=Đường Thác Đa Giáp | START=Giáp đường ĐT 759 200m | END=đường ĐT 759 + về Thác Ba | FLAGS=
ID=NQ28-093-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=112,90,72 | ROAD=Giáp Đường Thác Ba + 200m | START=Hết ranh đường ĐT 759 Nguyễn về Thác Ba Như tờ bản | END=đất bà Thị Quỳnh (thửa đất số 101, đồ số 101) | FLAGS=
ID=NQ28-093-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=112,90,72 | ROAD=Từ đầu Nguyễn Đường Thác Ba (thửa bản đồ | START=thửa đất ông Như Vàng Đến đất số 27, tờ số 102) | END=Cầu Thác Ba | FLAGS=
ID=NQ28-093-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=112,90,72 | ROAD=Đường Thác Ba Từ cầu | START=Đường Thác Ba đi Nghĩa | END=thôn Đồng Tâm Trung | FLAGS=
ID=NQ28-093-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=112,90,72 | ROAD=Đường thôn Đồng Giáp Tâm đi Nghĩa Trung | START=Đến thôn Bù Tố Nghĩa | END=giáp ranh xã Trung | FLAGS=
ID=NQ28-093-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=112,90,72 | ROAD=Đường Bến Tre Đường | START=Đường ĐT 759 xã Phước | END=xã Phú Trung - Tân (cũ) | FLAGS=
ID=NQ28-093-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=112,90,72 | ROAD=Đường Bù Nho - Đường Phước Tân (cũ) | START=Đường ĐT 759 về xã | END=ĐT 759 + 200m Phú Riềng | FLAGS=
ID=NQ28-093-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=112,90,72 | ROAD=Đường Đường Bù Nho - 200m Phước Tân (cũ) Riềng | START=Ngã ĐT 759 + Phước về xã Phú (cũ) Kết 753B | END=ba đường đi Tân-Phú Trung nối đường ĐT (ĐH 312 cũ) | FLAGS=
ID=NQ28-093-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=112,90,72 | ROAD=Ngã ba Phú Trũng Đường Bù Nho - Phước Phước Tân (cũ) nối đường (ĐH 312 | START=đường xa - xã Giáp Tân (cũ) kết Riềng ĐT 753 B cũ) | END=ranh xã Phú | FLAGS=
ID=NQ28-093-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=112,90,72 | ROAD=Đường xã Phú Trung Đường - xã Phước Tân (cũ) (ĐH 312 | START=Giáp ĐT 753B ranh cũ) 24) | END=lô CS NT (hết thửa đất số 21 tờ | FLAGS=
ID=NQ28-093-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=112,90,72 | ROAD=Giáp Đường xã Phú Trung ranh thửa - xã Phước Tân (cũ) tờ 24) | START=lô CS NT (hết Hết thửa đất số 21 115 của Văn | END=đất 251 tờ ông Phạm Thông | FLAGS=
