TABLE=094 | AREA=Xã Long Hà | RECORDS=26 | GROUPS=26 | REVIEW=0
ID=NQ28-094-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=130,91,15 | ROAD=94. Xã Long Hà Tên đường giao TT thông Giáp Đường ĐT 757 Riềng | START=Đoạn đường Hết ranh xã Phú học | END=Giá cây đất Trường Tiểu Long Hà B | FLAGS=
ID=NQ28-094-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=130,91,15 | ROAD=Hết Đường ĐT 757 học | START=Cách đất Trường Tiểu Hà Long Hà B Phú | END=UBND xã Long 500m hướng xã Riềng | FLAGS=
ID=NQ28-094-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=130,91,15 | ROAD=Cách Đường ĐT 757 Hà Phú | START=UBND xã Long Hết 500m hướng xã UBND Riềng | END=ranh đất trụ sở xã Long Hà | FLAGS=
ID=NQ28-094-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=130,91,15 | ROAD=Hết Đường ĐT 757 UBND | START=Hết ranh đất trụ sở THPT xã Long Hà (điểm | END=ranh Trường Ngô Quyền trường cũ) | FLAGS=
ID=NQ28-094-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=130,91,15 | ROAD=Hết Đường ĐT 757 THPT (điểm | START=ranh Trường Ngô Quyền Cầu trường cũ) | END=Trà Thanh | FLAGS=
ID=NQ28-094-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=130,91,15 | ROAD=Từ Đường ĐT 757 B 757 (cũ) | START=ngã ba đường ĐT Đầu đi xã Long Bình Thôn Thanh | END=đập NT6 thuộc 11 và thôn Long | FLAGS=
ID=NQ28-094-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=130,91,15 | ROAD=Đầu Đường ĐT 75 7B Thôn Thanh | START=đập NT6 thuộc Chòi 11 và thôn Long Long | END=mũ tổ 8, Đội Hà | FLAGS=
ID=NQ28-094-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=130,91,15 | ROAD=Chòi Đường ĐT757B Long | START=mù tổ 8, Đội Giáp Hà Tân | END=ranh xã Bình | FLAGS=
ID=NQ28-094-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=100,70,15 | ROAD=Đường liên xã Long Giấy Tân (cũ) đi Bù Nho Riềng (cũ) | START=Ngã ranh xã Phú tông (Ngã Tính) | END=ba đường bê thôn Long Tân 2 ba Nhà ông | FLAGS=
ID=NQ28-094-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=100,70,15 | ROAD=Đường liên xã Long Ngã Tân (cũ) - Bù Nho (cũ) tông | START=ba đường bê Giáp thôn Long Tân 2 đấu | END=ranh khu QH giá TTHC xã | FLAGS=
ID=NQ28-094-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=100,70,15 | ROAD=(Khu dân cư thôn Long (Ngã Tân 1, thôn Long Tân Tính) 2) Đường liên xã Long Giáp Tân (cũ) - Bù Nho (cũ) đấu (Đoạn UBND xã - (góc TTTM) | START=ba Nhà ông (góc ranh khu QH Ngã giá TTHC xã đường phía Tây Nam) (TTTM) | END=phía Bắc) ba tiếp giáp QH số 2 | FLAGS=
ID=NQ28-094-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=100,70,15 | ROAD=Đường liên xã Long Ngã Tân (cũ) - Bù Nho (cũ) đường (Khu dân cư thôn 4, (TTTM) thôn 5) | START=Ngã ba tiếp giáp Kiều QH số 2 235, 118) | END=ba tạp hóa Hùng (thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-094-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=100,70,15 | ROAD=Ngã Hưng Trung tâm xã Long Tân (cũ) (kéo dài) số 235, 118) | START=ba tạp hóa Kiều (thửa đất Ngã tờ bản đồ số Cần | END=ba khu đất Hậu Quân Sự | FLAGS=
ID=NQ28-094-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=100,70,15 | ROAD=Tiếp Đường quy hoạch số 2 xã Long (trung tâm thương mại Bù Long Tân cũ) đất số 118) | START=giáp đường liên Ngã Tân (cũ) - trường Nho (cũ) (thửa Tân số 97, tờ bản đồ đất số | END=ba Đường vào THCS Long (hết ranh thửa số 527, tờ bản đồ 118) | FLAGS=
ID=NQ28-094-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=100,70,15 | ROAD=Đường QH số 3,4 (Trung tâm thương Toàn mại Long Tân (cũ) | START=tuyến | END= | FLAGS=
ID=NQ28-094-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=100,70,15 | ROAD=Đường QH số 5, 6, 7 (Trung tâm thương Toàn mại Long Tân (cũ) | START=tuyến | END= | FLAGS=
ID=NQ28-094-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=100,70,15 | ROAD=Đường liên huyện Phú Riềng (cũ) - cầu Long Ngã Tân đi Tân Hưng (Hớn đường Quản (cũ)) | START=ba tiếp giáp Cầu 327 | END=Long Tân | FLAGS=
ID=NQ28-094-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=80,55,15 | ROAD=Đường giao thông đấu nối trục đường ĐT 757 Toàn và ĐT 757B phạm vi 200m | START=tuyến | END= | FLAGS=
