TABLE=095 | AREA=Xã Bình Tân | RECORDS=37 | GROUPS=37 | REVIEW=1
ID=NQ28-095-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=182,146,116 | ROAD=95. Xã Bình Tân Tên đường giao TT thông Giáp Đường ĐT 741 Phước | START=Đoạn đường Ranh ranh phường Tân Bình hướng | END=Giá trồng cây UBND xã Bình cũ + 500m về Đồng Xoài | FLAGS=
ID=NQ28-095-S01-TT0002-01 | SEC=agricultural | TT=2 | REL=main | PRICES=182,146,116 | ROAD=Ranh Đường ĐT 741 Tân cũ hưởng | START=UBND xã Bình Giáp + 500m về Hưng Đồng Xoài | END=ranh xã Long cũ | FLAGS=
ID=NQ28-095-S01-TT0003-01 | SEC=agricultural | TT=3 | REL=main | PRICES=182,146,116 | ROAD=Giáp Đường ĐT 741 Hưng | START=Ngã Long ranh xã Long cũ về Phước | END=ba Bình Tân (xã Hưng cũ) 300m phía phường Bình | FLAGS=
ID=NQ28-095-S01-TT0004-01 | SEC=agricultural | TT=4 | REL=main | PRICES=182,146,116 | ROAD=Ngã ba Long Đường ĐT 741 về phía Phước | START=Bình Tân (xã Ngã Hưng cũ) 300m Long phường về Bình | END=ba Bình Tân (xã Hưng cũ) 300m phía Phú Riềng | FLAGS=
ID=NQ28-095-S01-TT0005-01 | SEC=agricultural | TT=5 | REL=main | PRICES=182,146,116 | ROAD=Ngã ba Đường ĐT 741 Long về phía | START=Bình Tân (xã Giáp Hưng cũ) 300m Phú Phú Riềng | END=ranh giới xã Riềng | FLAGS=
ID=NQ28-095-S01-TT0006-01 | SEC=agricultural | TT=6 | REL=main | PRICES=182,146,116 | ROAD=Giáp Đường ĐT 757B Hà (tính đường) | START=ranh với xã Long Cách xã dọc 2 bên xã | END=trụ sở UBND 500m về hướng Long Hà | FLAGS=
ID=NQ28-095-S01-TT0007-01 | SEC=agricultural | TT=7 | REL=main | PRICES=182,146,116 | ROAD=Cách Đường ĐT 757B 500m Long | START=trụ sở UBND xã Cầu về hướng xã (thôn Hà | END=xã Bình Tân Bình Tân 4) | FLAGS=
ID=NQ28-095-S01-TT0008-01 | SEC=agricultural | TT=8 | REL=main | PRICES=182,146,116 | ROAD=Cầu xã Đường ĐT 757B (thôn | START=Cầu Bình Tân (thôn 400m Bình Tân 4) Quang | END=xã Bình Tân Bình Tân 4) + hướng Lộc | FLAGS=
ID=NQ28-095-S01-TT0009-01 | SEC=agricultural | TT=9 | REL=main | PRICES=182,146,116 | ROAD=Cầu xã Đường ĐT 757 B (thôn 400m | START=Đầu Bình Tân nhà Bình Tân 4) + hướng Lộc Khang | END=Lô 53 - NT3, đất ông Hoàng Văn (thửa số 98, | FLAGS=
ID=NQ28-095-S01-TT0010-01 | SEC=agricultural | TT=10 | REL=main | PRICES=182,146,116 | ROAD=Quang Đầu lô nhà ông Đường ĐT 757B Khang 98, tờ | START=(cũ) tờ 53 - NT3 đất Ranh Hoàng vạn Thị (thửa đất số 41, bản đồ số 66) | END=bản đồ số 66) thửa đất bà Lê Lý (thửa đất số tờ bản đồ số 66) | FLAGS=
ID=NQ28-095-S01-TT0011-01 | SEC=agricultural | TT=11 | REL=main | PRICES=182,146,116 | ROAD=Ranh Đường ĐT 757B Thị Lý 41, tờ | START=thửa đất bà Lê cầu (thửa đất số đất bản đồ số 66) số | END=Lộc Quang (thửa số 42, tờ bản đồ 58) | FLAGS=
ID=NQ28-095-S01-TT0012-01 | SEC=agricultural | TT=12 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Long Hưng (cũ) - Long Đường Bình (cũ) | START=Cách giáo ĐT 741 đi về (cũ) | END=trường Mẫu Long Hưng (cũ) phía Long Bình 1000m | FLAGS=
ID=NQ28-095-S01-TT0013-01 | SEC=agricultural | TT=13 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Long Đầu lô Hưng (cũ) - Long trường Bình (cũ) | START=Hết 81 - Nông Thiều Long Hưng thửa bản | END=ranh đất ông Đình Kỳ tại đất số 17, tờ đồ số 7 | FLAGS=
ID=NQ28-095-S01-TT0014-01 | SEC=agricultural | TT=14 | REL=main | PRICES=112,90,72 | ROAD=Đường Liên xã Long Trưởng Hưng (cũ) - Bình Hưng Sơn (cũ) | START=Hết Tiểu học Long Đình (Điểm thôn 7) số 13 | END=ranh đất ông Lê Bốn tại thửa đất 19, tờ bản đồ số | FLAGS=
ID=NQ28-095-S01-TT0015-01 | SEC=agricultural | TT=15 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Bình Ngã ba Tân đi Phường Vĩnh Phước Bình 89, tờ | START=Đất nhà ông Phù Phường Pầu (thửa đất số (thửa bản đồ số 62) bản | END=tiếp giáp ranh Phước Bình đất số 132, tờ đồ số 64) | FLAGS=
ID=NQ28-095-S01-TT0016-01 | SEC=agricultural | TT=16 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Bình Ngã ba Tân đi xã Phước Tân Giáp (cũ) | START=Bình Hiếu - Nhà Đường ĐT 741 200m | END=ông Bùi Mót + hướng về NT8 | FLAGS=
ID=NQ28-095-S01-TT0017-01 | SEC=agricultural | TT=17 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Bình Ngã ba Tân đi Phường Hiếu Phước Bình | START=Ngã Bưu điện Bình Bình hướng Phước | END=ba Bưu điện Hiếu + 200m về phường Bình | FLAGS=
ID=NQ28-095-S01-TT0018-01 | SEC=agricultural | TT=18 | REL=main | PRICES=112,90,72 | ROAD=Đường liên xã Bình Giáp Tân đi xã Bình Sơn Phước (cũ) | START=Hết ranh Phường Nguyễn Long (thửa bản | END=ranh đất nhà ông Viết Khương đất số 40, tờ đồ số 138) | FLAGS=
ID=NQ28-095-S01-TT0019-01 | SEC=agricultural | TT=19 | REL=main | PRICES=112,90,72 | ROAD=Ngã ba Đường Liên xã Trình | START=cây xăng ông Cầu | END=Cửu Long | FLAGS=
ID=NQ28-095-S01-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=112,90,72 | ROAD=Cầu Cửu Đường liên xã bên đường) | START=Hết Long (tính 2 Lý tờ giáp | END=ranh bà Lê Thị (thửa đất số 41, bản đồ số 66) tiếp đường ĐT 757B | FLAGS=
ID=NQ28-095-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=112,90,72 | ROAD=Đường QH 12m Đường | START=Cuối ĐH QH đất | END=tuyến đường 12m, đến ranh nhà ông Nhị | FLAGS=
ID=NQ28-095-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=112,90,72 | ROAD=Đường QH 17m Đường | START=Cuối ĐH QH17 đất | END=tuyến đường m, đến ranh nhà ông Tều | FLAGS=
ID=NQ28-095-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=112,90,72 | ROAD=Đường QH 15m Đường | START=QH 12m Đường | END=QH 17m | FLAGS=
ID=NQ28-095-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=112,90,72 | ROAD=Ranh Đường giao thông ông Nguyễn đấu nối đường trung tính dọc (Thửa tâm xã bản đồ | START=thửa đất của Hết Văn Thập Nguyễn 2 bên đường tính đất số 50, tờ đường số 125) 96, | END=ranh đất ông Như Hưng dọc 2 bên (thửa đất số tờ bản đồ số 107) | FLAGS=
ID=NQ28-095-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=112,90,72 | ROAD=Ngã ba Đường quanh chợ Trình | START=Cuối cây xăng ông quanh đất Đức | END=tuyến đường chợ, hết ranh nhà ông Nguyễn Thọ | FLAGS=
ID=NQ28-095-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=112,90,72 | ROAD=Đầu ranh Đường quanh chợ xăng | START=đất Cây Ngã Thành Long hóa | END=ba vào Nhà văn Thốn Bình Tân 2 | FLAGS=
ID=NQ28-095-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=112,90,72 | ROAD=Trung tâm Long Bình Ngã ba (cũ) Đức Long | START=nhà ông Trần Hết Ngọc | END=ranh ông Nguyễn Mai | FLAGS=
ID=NQ28-095-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=112,90,72 | ROAD=Đường từ Trường Giáp cấp II-III Long Phú đi Bình Tân (cũ) xã Bình Tân | START=Đường liên xã Giáp Tân -xã Phước Trung | END=ranh xã Phú | FLAGS=
ID=NQ28-095-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=112,90,72 | ROAD=Đường từ đường ĐT Giáp 741 đến Đường vòng Bình Tân (cũ) quanh núi Bà Rá | START=Đường liên xã Giáp Tân - xã Phước Phước | END=ranh phường Bình | FLAGS=
