TABLE=001 | AREA=Phường Biên Hòa | SECTION=agricultural | SEGMENTS=1
--- PAGES=6-20 | LINES=873 | HEADING=1. Phường Biên Hòa ---
P=0006 | X=0090.020-0186.790 | Y=0550.010-0561.250 | 1. Phường Biên Hòa
P=0006 | X=0434.810-0468.890 | Y=0568.010-0579.250 | Giá đất
P=0006 | X=0480.890-0514.990 | Y=0573.770-0585.010 | Giá đất
P=0006 | X=0439.130-0464.730 | Y=0581.410-0590.730 | trồng
P=0006 | X=0485.230-0510.830 | Y=0587.170-0596.490 | trồng
P=0006 | X=0434.810-0468.810 | Y=0592.930-0602.250 | cây lâu
P=0006 | X=0476.330-0519.950 | Y=0598.690-0608.010 | rừng sản
P=0006 | X=0431.210-0472.490 | Y=0602.570-0613.810 | năm, đất
P=0006 | X=0093.380-0216.640 | Y=0608.330-0619.570 | TT Tên đường giao thông
P=0006 | X=0265.060-0310.360 | Y=0608.330-0619.570 | Điểm đầu
P=0006 | X=0357.260-0405.180 | Y=0608.330-0619.570 | Điểm cuối
P=0006 | X=0480.650-0515.310 | Y=0610.210-0619.530 | xuất và
P=0006 | X=0439.130-0464.730 | Y=0615.970-0625.290 | trồng
P=0006 | X=0487.390-0508.650 | Y=0621.750-0631.070 | nuôi
P=0006 | X=0443.690-0460.330 | Y=0627.510-0636.830 | cây
P=0006 | X=0485.230-0510.830 | Y=0633.270-0642.590 | trồng
P=0006 | X=0439.850-0464.000 | Y=0639.030-0648.350 | hằng
P=0006 | X=0477.530-0518.750 | Y=0644.790-0654.110 | thủy sản
P=0006 | X=0441.530-0462.240 | Y=0648.670-0659.910 | năm
P=0006 | X=0243.460-0306.920 | Y=0668.790-0678.110 | Giáp ranh giới
P=0006 | X=0332.520-0415.890 | Y=0672.670-0683.910 | Đường Nguyễn Tri
P=0006 | X=0096.770-0210.390 | Y=0678.430-0689.670 | 1 Đường Bùi Hữu Nghĩa
P=0006 | X=0243.460-0321.880 | Y=0680.310-0689.630 | thành phố Hồ Chí
P=0006 | X=0448.490-0473.540 | Y=0680.310-0689.630 | 1.500
P=0006 | X=0505.390-0522.030 | Y=0680.310-0689.630 | 970
P=0006 | X=0332.520-0369.310 | Y=0684.190-0695.430 | Phương
P=0006 | X=0243.460-0265.370 | Y=0691.830-0701.150 | Minh
P=0006 | X=0096.770-0426.930 | Y=0707.970-0719.210 | 2 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0006 | X=0448.490-0473.540 | Y=0709.860-0719.180 | 1.030
P=0006 | X=0505.390-0522.030 | Y=0709.860-0719.180 | 680
P=0007 | X=0109.490-0421.170 | Y=0072.740-0083.980 | đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường Nguyễn Tri
P=0007 | X=0109.490-0355.700 | Y=0084.260-0095.500 | Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=0007 | X=0109.490-0332.400 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0007 | X=0109.490-0386.700 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0007 | X=0109.490-0426.930 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0007 | X=0109.490-0421.170 | Y=0148.850-0160.090 | đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường Nguyễn Tri
P=0007 | X=0109.490-0355.700 | Y=0160.370-0171.610 | Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=0007 | X=0096.770-0332.680 | Y=0177.650-0191.970 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0007 | X=0456.650-0473.290 | Y=0182.650-0191.970 | 860
P=0007 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 570
P=0007 | X=0109.490-0415.910 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0007 | X=0109.490-0143.010 | Y=0206.710-0217.950 | ≤600m.
P=0007 | X=0109.490-0332.660 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0007 | X=0109.490-0426.930 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0007 | X=0109.490-0421.170 | Y=0253.750-0264.990 | đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến Đường Nguyễn Tri
P=0007 | X=0109.490-0355.700 | Y=0265.270-0276.510 | Phương có hiện trạng là đường nhựa, bê tông xi măng:
P=0007 | X=0096.770-0102.370 | Y=0273.150-0282.470 | 4
P=0007 | X=0456.650-0473.290 | Y=0273.150-0282.470 | 670
P=0007 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 450
P=0007 | X=0109.490-0386.920 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0007 | X=0109.490-0333.130 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0007 | X=0109.490-0429.100 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0007 | X=0109.490-0404.150 | Y=0329.860-0341.100 | Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến
P=0007 | X=0109.490-0411.340 | Y=0341.380-0352.620 | Đường Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi
P=0007 | X=0096.770-0137.490 | Y=0352.900-0364.340 | 5 măng:
P=0007 | X=0448.490-0473.540 | Y=0355.020-0364.340 | 1.030
P=0007 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 680
P=0007 | X=0109.490-0332.400 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0007 | X=0109.490-0386.680 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0007 | X=0109.490-0429.100 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0007 | X=0109.490-0404.150 | Y=0417.240-0428.480 | Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến
P=0007 | X=0109.490-0411.340 | Y=0428.760-0440.000 | Đường Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi
P=0007 | X=0109.490-0137.490 | Y=0440.280-0451.520 | măng:
P=0007 | X=0096.770-0332.660 | Y=0457.060-0469.060 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0007 | X=0456.650-0473.290 | Y=0457.060-0466.380 | 860
P=0007 | X=0505.390-0522.030 | Y=0457.060-0466.380 | 570
P=0007 | X=0109.490-0415.910 | Y=0475.340-0486.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0007 | X=0109.490-0143.010 | Y=0486.860-0498.100 | ≤600m.
P=0007 | X=0109.490-0332.660 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0007 | X=0109.490-0429.100 | Y=0522.380-0533.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0007 | X=0109.490-0404.150 | Y=0533.930-0545.170 | Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí Minh đến
P=0007 | X=0109.490-0411.340 | Y=0545.450-0556.690 | Đường Nguyễn Tri Phương có hiện trạng là đường nhựa, bê tông xi
P=0007 | X=0096.770-0137.490 | Y=0556.970-0568.410 | 7 măng:
P=0007 | X=0456.650-0473.290 | Y=0559.090-0568.410 | 670
P=0007 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 450
P=0007 | X=0109.490-0386.920 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0007 | X=0109.490-0335.780 | Y=0591.770-0603.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0007 | X=0243.460-0408.700 | Y=0609.770-0621.010 | Đường Nguyễn Tri Công an phường
P=0007 | X=0096.770-0210.390 | Y=0615.530-0626.770 | 8 Đường Bùi Hữu Nghĩa
P=0007 | X=0448.490-0473.540 | Y=0617.410-0626.730 | 1.500
P=0007 | X=0505.390-0522.030 | Y=0617.410-0626.730 | 970
P=0007 | X=0243.460-0280.250 | Y=0621.310-0632.550 | Phương
P=0007 | X=0332.520-0392.750 | Y=0621.310-0632.550 | Bửu Hòa (cũ)
P=0007 | X=0109.490-0426.930 | Y=0639.310-0650.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0007 | X=0109.490-0410.870 | Y=0650.830-0662.070 | đoạn từ Đường Nguyễn Tri Phương đến Công an phường Bửu Hòa
P=0007 | X=0109.490-0336.490 | Y=0662.350-0673.590 | (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0007 | X=0096.770-0102.370 | Y=0670.230-0679.550 | 9
P=0007 | X=0448.490-0473.540 | Y=0670.230-0679.550 | 1.030
P=0007 | X=0505.390-0522.030 | Y=0670.230-0679.550 | 680
P=0007 | X=0112.370-0335.060 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0007 | X=0112.370-0389.320 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0008 | X=0109.490-0426.930 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0008 | X=0109.490-0410.870 | Y=0090.260-0101.500 | đoạn từ Đường Nguyễn Tri Phương đến Công an phường Bửu Hòa
P=0008 | X=0109.490-0336.490 | Y=0101.780-0113.020 | (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0332.670 | Y=0119.330-0133.410 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0008 | X=0456.650-0473.290 | Y=0124.090-0133.410 | 860
P=0008 | X=0505.390-0522.030 | Y=0124.090-0133.410 | 570
P=0008 | X=0109.490-0415.910 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0008 | X=0109.490-0143.010 | Y=0148.370-0159.610 | ≤600m.
P=0008 | X=0109.490-0332.660 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0008 | X=0109.490-0426.930 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0008 | X=0109.490-0410.870 | Y=0195.170-0206.410 | đoạn từ Đường Nguyễn Tri Phương đến Công an phường Bửu Hòa
P=0008 | X=0109.490-0336.490 | Y=0206.710-0217.950 | (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0104.980 | Y=0214.590-0223.910 | 11
P=0008 | X=0456.650-0473.290 | Y=0214.590-0223.910 | 670
P=0008 | X=0505.390-0522.030 | Y=0214.590-0223.910 | 450
P=0008 | X=0109.490-0386.920 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0008 | X=0109.490-0333.130 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0008 | X=0109.490-0429.100 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0008 | X=0109.490-0398.370 | Y=0271.270-0282.510 | Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an
P=0008 | X=0109.490-0417.630 | Y=0282.820-0294.060 | phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0008 | X=0093.860-0104.980 | Y=0290.700-0300.020 | 12
P=0008 | X=0448.490-0473.540 | Y=0290.700-0300.020 | 1.030
P=0008 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 680
