TABLE=002 | AREA=Phường Trấn Biên | SECTION=agricultural | SEGMENTS=1
--- PAGES=20-92 | LINES=4734 | HEADING=2. Phường Trấn Biên ---
P=0020 | X=0090.020-0189.540 | Y=0132.530-0143.770 | 2. Phường Trấn Biên
P=0020 | X=0450.410-0520.990 | Y=0150.290-0161.530 | Giá đất Giá đất
P=0020 | X=0454.490-0516.830 | Y=0163.690-0173.010 | trồng trồng
P=0020 | X=0450.410-0515.630 | Y=0175.210-0184.530 | cây lâu rừng
P=0020 | X=0455.690-0479.130 | Y=0184.850-0196.090 | năm,
P=0020 | X=0495.310-0512.510 | Y=0186.730-0196.050 | sản
P=0020 | X=0459.770-0521.310 | Y=0196.370-0207.610 | đất xuất và
P=0020 | X=0113.090-0220.240 | Y=0202.150-0213.390 | Tên đường giao thông
P=0020 | X=0252.580-0297.880 | Y=0202.150-0213.390 | Điểm đầu
P=0020 | X=0346.680-0394.620 | Y=0202.150-0213.390 | Điểm cuối
P=0020 | X=0090.020-0102.420 | Y=0204.030-0213.350 | TT
P=0020 | X=0454.490-0514.650 | Y=0209.790-0219.110 | trồng nuôi
P=0020 | X=0459.050-0475.690 | Y=0221.070-0230.390 | cây
P=0020 | X=0491.230-0516.830 | Y=0221.070-0230.390 | trồng
P=0020 | X=0455.450-0514.830 | Y=0232.590-0241.910 | hằng thủy
P=0020 | X=0449.930-0520.110 | Y=0242.230-0253.470 | năm đề sản đề
P=0020 | X=0457.130-0477.770 | Y=0255.630-0264.950 | xuất
P=0020 | X=0493.630-0514.270 | Y=0255.630-0264.950 | xuất
P=0020 | X=0098.690-0236.040 | Y=0271.750-0282.990 | 1 Đường Nguyễn Tri Phương
P=0020 | X=0252.580-0315.380 | Y=0273.630-0282.950 | Cầu Rạch Cát
P=0020 | X=0346.680-0397.910 | Y=0273.630-0282.950 | Cầu Ghềnh
P=0020 | X=0460.730-0485.780 | Y=0273.630-0282.950 | 1.500
P=0020 | X=0505.390-0522.030 | Y=0273.630-0282.950 | 970
P=0020 | X=0113.090-0413.010 | Y=0289.540-0300.780 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0020 | X=0113.090-0430.330 | Y=0301.060-0312.300 | Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là đường
P=0020 | X=0113.090-0216.200 | Y=0312.580-0323.820 | nhựa, bê tông xi măng:
P=0020 | X=0098.690-0104.290 | Y=0320.460-0329.780 | 2
P=0020 | X=0460.730-0485.780 | Y=0320.460-0329.780 | 1.030
P=0020 | X=0505.390-0522.030 | Y=0320.460-0329.780 | 680
P=0020 | X=0113.090-0336.010 | Y=0330.100-0341.340 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0020 | X=0113.090-0390.280 | Y=0347.620-0358.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0020 | X=0113.090-0413.010 | Y=0365.400-0376.640 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0020 | X=0113.090-0430.330 | Y=0376.920-0388.160 | Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là đường
P=0020 | X=0113.090-0216.200 | Y=0388.200-0399.440 | nhựa, bê tông xi măng:
P=0020 | X=0098.690-0104.290 | Y=0401.840-0411.160 | 3
P=0020 | X=0468.890-0485.530 | Y=0401.840-0411.160 | 860
P=0020 | X=0505.390-0522.030 | Y=0401.840-0411.160 | 570
P=0020 | X=0113.090-0336.260 | Y=0405.720-0416.960 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0020 | X=0113.090-0419.510 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0020 | X=0113.090-0146.610 | Y=0434.760-0446.000 | ≤600m.
P=0020 | X=0113.090-0413.010 | Y=0452.540-0463.780 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0020 | X=0113.090-0430.330 | Y=0464.060-0475.300 | Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là đường
P=0020 | X=0113.090-0216.240 | Y=0477.460-0486.780 | nhựa, bê tông xi măng:
P=0020 | X=0098.690-0104.290 | Y=0483.460-0492.780 | 4
P=0020 | X=0468.890-0485.530 | Y=0483.460-0492.780 | 670
P=0020 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 450
P=0020 | X=0113.090-0390.520 | Y=0493.100-0504.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0020 | X=0113.090-0336.730 | Y=0510.620-0521.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0020 | X=0113.090-0432.730 | Y=0528.380-0539.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0020 | X=0113.090-0449.040 | Y=0539.930-0551.170 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là
P=0020 | X=0113.090-0248.860 | Y=0551.450-0562.690 | đường nhựa, bê tông xi măng:
P=0020 | X=0098.690-0104.290 | Y=0559.330-0568.650 | 5
P=0020 | X=0460.730-0485.780 | Y=0559.330-0568.650 | 1.030
P=0020 | X=0505.390-0522.030 | Y=0559.330-0568.650 | 680
P=0020 | X=0113.090-0336.000 | Y=0568.970-0580.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0020 | X=0113.090-0390.280 | Y=0586.250-0597.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0020 | X=0113.090-0432.730 | Y=0604.010-0615.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0020 | X=0113.090-0449.050 | Y=0615.530-0626.770 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến Cầu Ghềnh có hiện trạng là
P=0020 | X=0113.090-0248.860 | Y=0627.070-0638.310 | đường nhựa, bê tông xi măng:
