TABLE=004 | AREA=Phường Long Bình | SECTION=agricultural | SEGMENTS=1
--- PAGES=138-163 | LINES=1630 | HEADING=4. Phường Long Bình ---
P=0138 | X=0090.020-0192.870 | Y=0444.840-0456.080 | 4. Phường Long Bình
P=0138 | X=0420.890-0454.970 | Y=0462.620-0473.860 | Giá đất
P=0138 | X=0477.050-0511.150 | Y=0468.380-0479.620 | Giá đất
P=0138 | X=0415.340-0460.560 | Y=0476.020-0485.340 | trồng cây
P=0138 | X=0472.250-0515.870 | Y=0481.780-0491.100 | rừng sản
P=0138 | X=0417.500-0458.210 | Y=0485.660-0496.900 | lâu năm,
P=0138 | X=0097.490-0226.000 | Y=0491.420-0502.660 | TT Tên đường giao thông
P=0138 | X=0249.700-0294.980 | Y=0491.420-0502.660 | Điểm đầu
P=0138 | X=0339.240-0387.180 | Y=0491.420-0502.660 | Điểm cuối
P=0138 | X=0473.450-0514.750 | Y=0491.420-0502.660 | xuất, đất
P=0138 | X=0416.060-0459.450 | Y=0497.180-0508.420 | đất trồng
P=0138 | X=0469.370-0518.980 | Y=0504.820-0514.140 | nuôi trồng
P=0138 | X=0416.060-0459.670 | Y=0510.580-0519.900 | cây hằng
P=0138 | X=0473.450-0514.670 | Y=0516.100-0525.420 | thủy sản
P=0138 | X=0427.610-0448.320 | Y=0519.980-0531.220 | năm
P=0138 | X=0117.410-0223.120 | Y=0538.010-0549.250 | Đường Nguyễn Trường
P=0138 | X=0316.920-0401.490 | Y=0538.010-0549.250 | Đường Hoàng Văn
P=0138 | X=0100.850-0106.450 | Y=0545.650-0554.970 | 1
P=0138 | X=0227.860-0270.900 | Y=0545.650-0554.970 | Quốc lộ 1
P=0138 | X=0441.050-0466.090 | Y=0545.650-0554.970 | 1.500
P=0138 | X=0505.390-0522.030 | Y=0545.650-0554.970 | 970
P=0138 | X=0117.410-0129.250 | Y=0551.410-0560.730 | Tộ
P=0138 | X=0316.920-0334.760 | Y=0551.410-0560.730 | Bổn
P=0138 | X=0117.410-0402.950 | Y=0567.290-0578.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0138 | X=0117.410-0389.260 | Y=0578.810-0590.050 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0138 | X=0117.410-0311.050 | Y=0590.330-0601.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0138 | X=0100.850-0106.450 | Y=0598.210-0607.530 | 2
P=0138 | X=0441.050-0466.100 | Y=0598.210-0607.530 | 1.030
P=0138 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 680
P=0138 | X=0117.410-0340.320 | Y=0607.850-0619.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0138 | X=0117.410-0394.600 | Y=0625.390-0636.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0138 | X=0117.410-0402.950 | Y=0643.150-0654.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0138 | X=0117.410-0389.260 | Y=0654.670-0665.910 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0138 | X=0117.410-0311.050 | Y=0666.190-0677.430 | hiện trạng là đường nhựa, bê tông xi măng:
P=0138 | X=0100.850-0106.450 | Y=0674.070-0683.390 | 3
P=0138 | X=0449.210-0465.850 | Y=0674.070-0683.390 | 860
P=0138 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 570
P=0138 | X=0117.410-0340.580 | Y=0683.710-0694.950 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0138 | X=0117.410-0404.300 | Y=0701.250-0712.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0139 | X=0117.410-0170.370 | Y=0072.500-0083.740 | đến ≤600m.
P=0139 | X=0117.410-0340.580 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0139 | X=0117.410-0402.950 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0139 | X=0117.410-0389.260 | Y=0119.330-0130.570 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có
P=0139 | X=0117.410-0311.060 | Y=0130.850-0142.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=0139 | X=0100.850-0106.450 | Y=0138.730-0148.050 | 4
P=0139 | X=0449.210-0465.850 | Y=0138.730-0148.050 | 670
P=0139 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 450
P=0139 | X=0117.410-0394.840 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0139 | X=0117.410-0341.050 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0139 | X=0117.410-0402.670 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0139 | X=0117.410-0406.310 | Y=0194.930-0206.170 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0139 | X=0117.410-0365.290 | Y=0206.470-0217.710 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0139 | X=0100.850-0106.450 | Y=0214.350-0223.670 | 5
P=0139 | X=0441.050-0466.100 | Y=0214.350-0223.670 | 1.030
P=0139 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 680
P=0139 | X=0117.410-0340.320 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0139 | X=0117.410-0394.600 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0139 | X=0117.410-0402.670 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0139 | X=0117.410-0406.310 | Y=0270.790-0282.030 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0139 | X=0117.410-0365.290 | Y=0282.340-0293.580 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0139 | X=0117.410-0340.580 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0139 | X=0100.850-0106.450 | Y=0304.620-0313.940 | 6
P=0139 | X=0449.210-0465.850 | Y=0304.620-0313.940 | 860
P=0139 | X=0505.390-0522.030 | Y=0304.620-0313.940 | 570
P=0139 | X=0117.410-0404.300 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0139 | X=0117.410-0170.370 | Y=0328.900-0340.140 | đến ≤600m.
P=0139 | X=0117.410-0340.580 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0139 | X=0117.410-0402.670 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0139 | X=0117.410-0406.310 | Y=0375.480-0386.720 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0139 | X=0117.410-0365.290 | Y=0387.000-0398.240 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0139 | X=0100.850-0106.450 | Y=0394.880-0404.200 | 7
P=0139 | X=0449.210-0465.850 | Y=0394.880-0404.200 | 670
P=0139 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 450
P=0139 | X=0117.410-0394.840 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
