TABLE=005 | AREA=Phường Trảng Dài | SECTION=agricultural | SEGMENTS=1
--- PAGES=163-199 | LINES=2311 | HEADING=5. Phường Trảng Dài ---
P=0163 | X=0090.020-0189.550 | Y=0671.910-0681.230 | 5. Phường Trảng Dài
P=0163 | X=0120.530-0173.970 | Y=0688.030-0699.270 | Tên đường
P=0163 | X=0426.170-0460.250 | Y=0688.030-0699.270 | Giá đất
P=0163 | X=0475.610-0509.710 | Y=0688.030-0699.270 | Giá đất
P=0163 | X=0220.390-0265.700 | Y=0693.790-0705.030 | Điểm đầu
P=0163 | X=0341.160-0389.100 | Y=0693.790-0705.030 | Điểm cuối
P=0163 | X=0096.290-0108.690 | Y=0695.670-0704.990 | TT
P=0163 | X=0121.490-0172.740 | Y=0701.430-0710.750 | giao thông
P=0163 | X=0430.250-0455.850 | Y=0701.430-0710.750 | trồng
P=0163 | X=0470.810-0514.430 | Y=0701.430-0710.750 | rừng sản
P=0164 | X=0426.170-0513.310 | Y=0072.500-0083.740 | cây lâu xuất, đất
P=0164 | X=0431.450-0517.540 | Y=0084.020-0095.260 | năm, nuôi trồng
P=0164 | X=0435.530-0450.650 | Y=0095.540-0106.780 | đất
P=0164 | X=0472.010-0513.230 | Y=0097.420-0106.740 | thủy sản
P=0164 | X=0430.250-0455.850 | Y=0108.940-0118.260 | trồng
P=0164 | X=0434.810-0451.450 | Y=0120.490-0129.810 | cây
P=0164 | X=0431.210-0455.360 | Y=0132.010-0141.330 | hằng
P=0164 | X=0432.890-0453.600 | Y=0141.410-0152.650 | năm
P=0164 | X=0115.490-0147.250 | Y=0159.650-0170.890 | Đường
P=0164 | X=0306.840-0412.550 | Y=0165.410-0176.650 | Hết ranh phường Trảng
P=0164 | X=0179.590-0261.990 | Y=0171.170-0182.410 | Ngã tư Tân Phong
P=0164 | X=0099.650-0105.250 | Y=0173.050-0182.370 | 1
P=0164 | X=0115.490-0161.650 | Y=0173.050-0182.370 | Nguyễn Ái
P=0164 | X=0437.450-0462.500 | Y=0173.050-0182.370 | 1.200
P=0164 | X=0505.390-0522.030 | Y=0173.050-0182.370 | 770
P=0164 | X=0306.840-0321.800 | Y=0178.810-0188.130 | Dài
P=0164 | X=0115.490-0139.490 | Y=0184.570-0193.890 | Quốc
P=0164 | X=0115.490-0412.780 | Y=0200.710-0211.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0164 | X=0115.490-0420.920 | Y=0212.230-0223.470 | Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng Dài có
P=0164 | X=0115.490-0309.100 | Y=0223.750-0234.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0099.650-0105.250 | Y=0231.630-0240.950 | 2
P=0164 | X=0445.610-0462.250 | Y=0231.630-0240.950 | 780
P=0164 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 510
P=0164 | X=0115.490-0338.400 | Y=0241.270-0252.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0164 | X=0115.490-0392.680 | Y=0258.790-0270.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0164 | X=0115.490-0412.780 | Y=0276.790-0288.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0164 | X=0115.490-0420.920 | Y=0288.340-0299.580 | Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng Dài có
P=0164 | X=0115.490-0309.100 | Y=0299.860-0311.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0115.490-0338.660 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0164 | X=0099.650-0105.250 | Y=0322.140-0331.460 | 3
P=0164 | X=0445.610-0462.250 | Y=0322.140-0331.460 | 660
P=0164 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 440
P=0164 | X=0115.490-0421.910 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0164 | X=0115.490-0149.010 | Y=0346.180-0357.420 | ≤600m.
P=0164 | X=0115.490-0338.660 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0164 | X=0115.490-0412.780 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0164 | X=0115.490-0420.920 | Y=0393.240-0404.480 | Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng Dài có
P=0164 | X=0115.490-0309.100 | Y=0404.760-0416.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0099.650-0105.250 | Y=0412.640-0421.960 | 4
P=0164 | X=0445.610-0462.250 | Y=0412.640-0421.960 | 520
P=0164 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 350
P=0164 | X=0115.490-0392.920 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0164 | X=0115.490-0339.130 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0164 | X=0115.490-0400.750 | Y=0457.820-0469.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0164 | X=0115.490-0404.140 | Y=0469.340-0480.580 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến hết ranh
P=0164 | X=0115.490-0407.310 | Y=0480.860-0492.100 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0099.650-0105.250 | Y=0488.740-0498.060 | 5
P=0164 | X=0445.610-0462.250 | Y=0488.740-0498.060 | 780
P=0164 | X=0505.390-0522.030 | Y=0488.740-0498.060 | 510
P=0164 | X=0115.490-0338.400 | Y=0498.380-0509.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0164 | X=0115.490-0392.680 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0164 | X=0115.490-0400.750 | Y=0533.930-0545.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0164 | X=0115.490-0405.820 | Y=0545.450-0556.690 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh
P=0164 | X=0115.490-0407.310 | Y=0556.970-0568.210 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0115.490-0338.660 | Y=0574.250-0585.490 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0164 | X=0099.650-0105.250 | Y=0579.250-0588.570 | 6
P=0164 | X=0445.610-0462.250 | Y=0579.250-0588.570 | 660
P=0164 | X=0505.390-0522.030 | Y=0579.250-0588.570 | 440
P=0164 | X=0115.490-0421.910 | Y=0591.770-0603.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0164 | X=0115.490-0149.010 | Y=0603.290-0614.530 | ≤600m.
P=0164 | X=0115.490-0338.660 | Y=0620.830-0632.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0164 | X=0115.490-0400.750 | Y=0638.830-0650.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0164 | X=0115.490-0405.820 | Y=0650.350-0661.590 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh
P=0164 | X=0115.490-0407.310 | Y=0661.870-0673.110 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0164 | X=0099.650-0105.250 | Y=0669.750-0679.070 | 7
P=0164 | X=0445.610-0462.250 | Y=0669.750-0679.070 | 520
P=0164 | X=0505.390-0522.030 | Y=0669.750-0679.070 | 350
P=0164 | X=0115.490-0392.920 | Y=0679.390-0690.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0164 | X=0115.490-0341.780 | Y=0696.910-0708.150 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0165 | X=0218.470-0298.980 | Y=0078.740-0089.980 | Đường Nguyễn Ái
P=0165 | X=0115.490-0197.670 | Y=0084.500-0095.740 | Đường Đồng Khởi
P=0165 | X=0321.240-0390.220 | Y=0084.500-0095.740 | Cầu Đồng Khởi
P=0165 | X=0099.650-0105.250 | Y=0086.380-0095.700 | 8
P=0165 | X=0437.450-0462.500 | Y=0086.380-0095.700 | 1.200
P=0165 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 770
P=0165 | X=0218.470-0242.500 | Y=0092.140-0101.460 | Quốc
P=0165 | X=0115.490-0414.220 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0165 | X=0115.490-0422.620 | Y=0119.810-0131.050 | đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có hiện trạng là
P=0165 | X=0115.490-0251.260 | Y=0131.330-0142.570 | đường nhựa, bê tông xi măng:
P=0165 | X=0099.650-0105.250 | Y=0139.210-0148.530 | 9
P=0165 | X=0445.610-0462.250 | Y=0139.210-0148.530 | 780
P=0165 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 510
P=0165 | X=0115.490-0338.400 | Y=0148.850-0160.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0165 | X=0115.490-0392.680 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0165 | X=0115.490-0414.220 | Y=0184.370-0195.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0165 | X=0115.490-0420.220 | Y=0195.650-0206.890 | đoạn từ Đường Nguyễn Ái Quốc đến cầu Đồng Khởi có hiện trạng là
P=0165 | X=0115.490-0251.260 | Y=0207.190-0218.430 | đường nhựa, bê tông xi măng:
P=0165 | X=0097.010-0338.660 | Y=0224.710-0239.030 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0165 | X=0445.610-0462.250 | Y=0229.710-0239.030 | 660
P=0165 | X=0505.390-0522.030 | Y=0229.710-0239.030 | 440
P=0165 | X=0115.490-0421.910 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0165 | X=0115.490-0149.010 | Y=0253.750-0264.990 | ≤600m.
P=0165 | X=0115.490-0338.660 | Y=0271.270-0282.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0165 | X=0115.490-0414.220 | Y=0289.300-0300.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0165 | X=0115.490-0420.220 | Y=0300.820-0312.060 | đoạn từ Đường Nguyễn Ái Quốc đến cầu Đồng Khởi có hiện trạng là
P=0165 | X=0115.490-0251.260 | Y=0312.340-0323.580 | đường nhựa, bê tông xi măng:
P=0165 | X=0097.010-0108.130 | Y=0320.220-0329.540 | 11
P=0165 | X=0445.610-0462.250 | Y=0320.220-0329.540 | 520
P=0165 | X=0505.390-0522.030 | Y=0320.220-0329.540 | 350
P=0165 | X=0115.490-0392.920 | Y=0329.860-0341.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0165 | X=0115.490-0339.130 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0165 | X=0115.490-0400.750 | Y=0365.400-0376.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0165 | X=0115.490-0409.910 | Y=0376.920-0388.160 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến cầu Đồng
P=0165 | X=0115.490-0346.100 | Y=0388.200-0399.440 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0165 | X=0097.010-0108.130 | Y=0396.080-0405.400 | 12
P=0165 | X=0445.610-0462.250 | Y=0396.080-0405.400 | 780
P=0165 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 510
P=0165 | X=0115.490-0338.400 | Y=0405.720-0416.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0165 | X=0115.490-0392.680 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0165 | X=0115.490-0400.750 | Y=0441.240-0452.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0165 | X=0115.490-0409.910 | Y=0452.780-0464.020 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến cầu Đồng
P=0165 | X=0115.490-0346.100 | Y=0464.300-0475.540 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0165 | X=0097.010-0338.660 | Y=0481.820-0496.140 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0165 | X=0445.610-0462.250 | Y=0486.820-0496.140 | 660
P=0165 | X=0505.390-0522.030 | Y=0486.820-0496.140 | 440
P=0165 | X=0115.490-0421.910 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0165 | X=0115.490-0149.010 | Y=0510.860-0522.100 | ≤600m.
P=0165 | X=0115.490-0338.660 | Y=0528.380-0539.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0165 | X=0115.490-0400.750 | Y=0546.410-0557.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0165 | X=0115.490-0412.070 | Y=0557.930-0569.170 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng
P=0165 | X=0115.490-0346.100 | Y=0569.450-0580.690 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0165 | X=0097.010-0108.130 | Y=0577.330-0586.650 | 14
P=0165 | X=0445.610-0462.250 | Y=0577.330-0586.650 | 520
P=0165 | X=0505.390-0522.030 | Y=0577.330-0586.650 | 350
P=0165 | X=0115.490-0392.920 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0165 | X=0115.490-0341.780 | Y=0604.250-0615.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0165 | X=0115.490-0173.910 | Y=0622.270-0633.510 | Đường Đồng
P=0165 | X=0179.590-0248.580 | Y=0628.030-0639.270 | Cầu Đồng Khởi
P=0165 | X=0306.840-0418.760 | Y=0628.030-0639.270 | Đường Nguyễn Văn Tiên
P=0165 | X=0097.010-0108.130 | Y=0629.910-0639.230 | 15
P=0165 | X=0437.450-0462.500 | Y=0629.910-0639.230 | 1.200
P=0165 | X=0505.390-0522.030 | Y=0629.910-0639.230 | 770
P=0165 | X=0115.490-0136.690 | Y=0635.670-0644.990 | Khởi
P=0165 | X=0115.490-0414.220 | Y=0651.790-0663.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0165 | X=0115.490-0414.230 | Y=0663.310-0674.550 | đoạn từ cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có hiện trạng
P=0165 | X=0097.010-0261.820 | Y=0674.070-0686.070 | 16 là đường nhựa, bê tông xi măng:
P=0165 | X=0445.610-0462.250 | Y=0674.070-0683.390 | 780
P=0165 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 510
P=0165 | X=0115.490-0338.400 | Y=0692.350-0703.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0166 | X=0115.490-0392.680 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0166 | X=0115.490-0414.220 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0166 | X=0115.490-0414.230 | Y=0108.260-0119.500 | đoạn từ cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có hiện trạng
P=0166 | X=0115.490-0261.820 | Y=0119.810-0131.050 | là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0338.660 | Y=0137.330-0151.410 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0166 | X=0445.610-0462.250 | Y=0142.090-0151.410 | 660
P=0166 | X=0505.390-0522.030 | Y=0142.090-0151.410 | 440
P=0166 | X=0115.490-0421.910 | Y=0154.850-0166.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0166 | X=0115.490-0149.010 | Y=0166.370-0177.610 | ≤600m.
P=0166 | X=0115.490-0338.660 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0166 | X=0115.490-0414.220 | Y=0201.670-0212.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng Khởi
P=0166 | X=0115.490-0416.140 | Y=0213.190-0224.430 | đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có hiện trạng
P=0166 | X=0115.490-0261.820 | Y=0224.710-0235.950 | là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0108.130 | Y=0232.590-0241.910 | 18
P=0166 | X=0445.610-0462.250 | Y=0232.590-0241.910 | 520
P=0166 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 350
P=0166 | X=0115.490-0392.920 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0166 | X=0115.490-0339.150 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0166 | X=0115.490-0400.750 | Y=0277.750-0288.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0166 | X=0115.490-0415.900 | Y=0289.300-0300.540 | Đường Đồng Khởi đoạn từ cầu Đồng Khởi đến Đường Nguyễn Văn
P=0166 | X=0115.490-0344.650 | Y=0300.820-0312.060 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0108.130 | Y=0308.700-0318.020 | 19
P=0166 | X=0445.610-0462.250 | Y=0308.700-0318.020 | 780
P=0166 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 510
P=0166 | X=0115.490-0338.400 | Y=0318.340-0329.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0166 | X=0115.490-0392.680 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0166 | X=0115.490-0400.750 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0166 | X=0115.490-0415.900 | Y=0365.400-0376.640 | Đường Đồng Khởi đoạn từ cầu Đồng Khởi đến Đường Nguyễn Văn
P=0166 | X=0115.490-0344.650 | Y=0376.920-0388.160 | Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0166 | X=0097.010-0338.670 | Y=0394.200-0408.520 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0166 | X=0445.610-0462.250 | Y=0399.200-0408.520 | 660
P=0166 | X=0505.390-0522.030 | Y=0399.200-0408.520 | 440
P=0166 | X=0115.490-0421.910 | Y=0411.720-0422.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0166 | X=0115.490-0149.010 | Y=0423.240-0434.480 | ≤600m.
