TABLE=006 | AREA=Phường Hố Nai | SECTION=agricultural | SEGMENTS=1
--- PAGES=199-236 | LINES=2407 | HEADING=6. Phường Hố Nai ---
P=0199 | X=0090.020-0175.180 | Y=0300.580-0311.820 | 6. Phường Hố Nai
P=0199 | X=0436.970-0517.150 | Y=0318.580-0329.820 | Giá đất Giá đất
P=0199 | X=0431.450-0522.110 | Y=0331.980-0341.300 | trồng cây rừng sản
P=0199 | X=0116.690-0193.380 | Y=0341.620-0352.860 | Tên đường giao
P=0199 | X=0433.610-0520.750 | Y=0341.620-0352.860 | lâu năm, xuất, đất
P=0199 | X=0215.110-0260.420 | Y=0347.380-0358.620 | Điểm đầu
P=0199 | X=0326.760-0374.700 | Y=0347.380-0358.620 | Điểm cuối
P=0199 | X=0092.180-0104.580 | Y=0349.260-0358.580 | TT
P=0199 | X=0432.170-0510.810 | Y=0353.140-0364.380 | đất trồng nuôi
P=0199 | X=0141.170-0169.140 | Y=0355.020-0364.340 | thông
P=0199 | X=0432.170-0512.990 | Y=0366.540-0375.860 | cây hằng trồng
P=0199 | X=0443.690-0464.400 | Y=0375.960-0387.200 | năm
P=0199 | X=0479.690-0520.910 | Y=0377.840-0387.160 | thủy sản
P=0199 | X=0203.830-0266.100 | Y=0394.200-0405.440 | Ranh phường
P=0199 | X=0095.570-0185.190 | Y=0399.960-0411.200 | 1 Đường Điểu Xiển
P=0199 | X=0272.020-0407.760 | Y=0399.960-0411.200 | Đường Bắc Sơn - Long Thành
P=0199 | X=0453.050-0478.100 | Y=0401.840-0411.160 | 1.200
P=0199 | X=0505.390-0522.030 | Y=0401.840-0411.160 | 770
P=0199 | X=0203.830-0234.390 | Y=0407.600-0416.920 | Hố Nai
P=0199 | X=0107.330-0426.980 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển đoạn
P=0199 | X=0107.330-0407.990 | Y=0435.240-0446.480 | từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có hiện
P=0199 | X=0107.330-0279.110 | Y=0446.760-0458.000 | trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0095.570-0101.170 | Y=0454.660-0463.980 | 2
P=0199 | X=0461.210-0477.850 | Y=0454.660-0463.980 | 780
P=0199 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 510
P=0199 | X=0107.330-0330.240 | Y=0464.300-0475.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0199 | X=0107.330-0384.520 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0199 | X=0107.330-0426.980 | Y=0499.820-0511.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển đoạn
P=0199 | X=0107.330-0407.990 | Y=0511.340-0522.580 | từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có hiện
P=0199 | X=0107.330-0279.110 | Y=0522.860-0534.100 | trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0095.570-0330.500 | Y=0540.410-0554.490 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0199 | X=0461.210-0477.850 | Y=0545.170-0554.490 | 660
P=0199 | X=0505.390-0522.030 | Y=0545.170-0554.490 | 440
P=0199 | X=0107.330-0413.750 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0199 | X=0107.330-0140.850 | Y=0569.450-0580.690 | ≤600m.
P=0199 | X=0107.330-0330.500 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0199 | X=0107.330-0426.980 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển đoạn
P=0199 | X=0107.330-0407.990 | Y=0616.270-0627.510 | từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có hiện
P=0199 | X=0107.330-0279.110 | Y=0627.790-0639.030 | trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0095.570-0101.170 | Y=0635.670-0644.990 | 4
P=0199 | X=0461.210-0477.850 | Y=0635.670-0644.990 | 520
