TABLE=007 | AREA=Phường Long Hưng | SECTION=agricultural | SEGMENTS=1
--- PAGES=236-255 | LINES=1254 | HEADING=7. Phường Long Hưng ---
P=0236 | X=0090.020-0197.250 | Y=0241.990-0253.230 | 7. Phường Long Hưng
P=0236 | X=0424.250-0458.330 | Y=0259.990-0271.230 | Giá đất
P=0236 | X=0478.730-0512.830 | Y=0265.750-0276.990 | Giá đất
P=0236 | X=0418.700-0463.920 | Y=0273.390-0282.710 | trồng cây
P=0236 | X=0474.170-0517.790 | Y=0279.150-0288.470 | rừng sản
P=0236 | X=0126.530-0203.240 | Y=0283.060-0294.300 | Tên đường giao
P=0236 | X=0420.890-0461.600 | Y=0283.060-0294.300 | lâu năm,
P=0236 | X=0234.580-0279.860 | Y=0288.820-0300.060 | Điểm đầu
P=0236 | X=0333.240-0381.180 | Y=0288.820-0300.060 | Điểm cuối
P=0236 | X=0475.130-0516.430 | Y=0288.820-0300.060 | xuất, đất
P=0236 | X=0097.250-0109.650 | Y=0290.700-0300.020 | TT
P=0236 | X=0419.450-0462.810 | Y=0294.580-0305.820 | đất trồng
P=0236 | X=0151.010-0178.980 | Y=0296.460-0305.780 | thông
P=0236 | X=0471.050-0520.660 | Y=0302.220-0311.540 | nuôi trồng
P=0236 | X=0419.450-0463.030 | Y=0307.980-0317.300 | cây hằng
P=0236 | X=0475.370-0516.590 | Y=0313.740-0323.060 | thủy sản
P=0236 | X=0430.970-0451.680 | Y=0317.620-0328.860 | năm
P=0236 | X=0301.320-0404.860 | Y=0335.860-0347.100 | Hết ranh giới tỉnh Đồng
P=0236 | X=0213.430-0285.180 | Y=0337.740-0347.060 | Vòng Xoay Tam
P=0236 | X=0100.610-0106.210 | Y=0343.500-0352.820 | 1
P=0236 | X=0117.170-0173.420 | Y=0343.500-0352.820 | Xa lộ Hà Nội
P=0236 | X=0444.170-0469.220 | Y=0343.500-0352.820 | 1.050
P=0236 | X=0505.390-0522.030 | Y=0343.500-0352.820 | 680
P=0236 | X=0213.430-0234.180 | Y=0349.260-0358.580 | Hiệp
P=0236 | X=0301.320-0316.280 | Y=0349.260-0358.580 | Nai
P=0236 | X=0117.170-0389.970 | Y=0365.400-0376.640 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0236 | X=0117.170-0406.520 | Y=0376.920-0388.160 | đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai có
P=0236 | X=0117.170-0330.250 | Y=0388.200-0399.440 | hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0236 | X=0100.610-0106.210 | Y=0396.080-0405.400 | 2
P=0236 | X=0452.330-0468.970 | Y=0396.080-0405.400 | 700
P=0236 | X=0505.390-0522.030 | Y=0396.080-0405.400 | 460
P=0236 | X=0117.170-0345.640 | Y=0405.720-0416.960 | - Có bề rộng ≥ 5m, cách đường giao thông ≤ 600m.
P=0236 | X=0117.170-0394.360 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0236 | X=0117.170-0389.970 | Y=0441.240-0452.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0236 | X=0117.170-0406.520 | Y=0452.780-0464.020 | đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai có
P=0236 | X=0117.170-0310.810 | Y=0464.300-0475.540 | hiện trạng là đường nhựa, bê tông xi măng:
P=0236 | X=0117.170-0345.890 | Y=0481.820-0493.060 | - Có bề rộng ≥ 5m, cách đường giao thông > 600m.
P=0236 | X=0100.610-0106.210 | Y=0486.820-0496.140 | 3
P=0236 | X=0452.330-0468.970 | Y=0486.820-0496.140 | 590
P=0236 | X=0505.390-0522.030 | Y=0486.820-0496.140 | 390
P=0236 | X=0117.170-0406.690 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến < 5m, cách đường giao thông từ >400m
P=0236 | X=0117.170-0170.130 | Y=0510.860-0522.100 | đến ≤600m.
P=0236 | X=0117.170-0340.340 | Y=0528.380-0539.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0236 | X=0117.170-0389.970 | Y=0546.410-0557.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Xa lộ Hà Nội
P=0236 | X=0117.170-0406.520 | Y=0557.930-0569.170 | đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh Đồng Nai có
P=0236 | X=0117.170-0310.810 | Y=0569.450-0580.690 | hiện trạng là đường nhựa, bê tông xi măng:
P=0236 | X=0100.610-0106.210 | Y=0577.330-0586.650 | 4
P=0236 | X=0452.330-0468.970 | Y=0577.330-0586.650 | 480
P=0236 | X=0505.390-0522.030 | Y=0577.330-0586.650 | 330
P=0236 | X=0117.170-0394.600 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0236 | X=0117.170-0340.810 | Y=0604.250-0615.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0236 | X=0117.170-0402.430 | Y=0622.270-0633.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0236 | X=0117.170-0407.500 | Y=0633.790-0645.030 | Xa lộ Hà Nội đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh
P=0236 | X=0117.170-0368.400 | Y=0645.310-0656.550 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0236 | X=0100.610-0106.210 | Y=0653.190-0662.510 | 5
P=0236 | X=0452.330-0468.970 | Y=0653.190-0662.510 | 700
P=0236 | X=0505.390-0522.030 | Y=0653.190-0662.510 | 460
P=0236 | X=0117.170-0340.340 | Y=0662.830-0674.070 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0236 | X=0117.170-0394.360 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0236 | X=0117.170-0402.430 | Y=0698.350-0709.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0236 | X=0100.610-0106.210 | Y=0700.230-0709.550 | 6
P=0236 | X=0452.330-0468.970 | Y=0700.230-0709.550 | 590
P=0236 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 390
P=0237 | X=0117.170-0407.500 | Y=0072.740-0083.980 | Xa lộ Hà Nội đoạn từ Vòng Xoay Tam Hiệp đến Hết ranh giới tỉnh
P=0237 | X=0117.170-0368.400 | Y=0084.260-0095.500 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0237 | X=0117.170-0340.340 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0237 | X=0117.170-0404.060 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0237 | X=0117.170-0170.130 | Y=0130.850-0142.090 | đến ≤600m.
P=0237 | X=0117.170-0340.340 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
