TABLE=008 | AREA=Phường Tân Triều | SECTION=agricultural | SEGMENTS=1
--- PAGES=255-305 | LINES=3263 | HEADING=8. Phường Tân Triều ---
P=0255 | X=0090.020-0188.390 | Y=0387.960-0399.200 | 8. Phường Tân Triều
P=0255 | X=0416.060-0450.170 | Y=0405.720-0416.960 | Giá đất
P=0255 | X=0475.610-0509.710 | Y=0405.720-0416.960 | Giá đất
P=0255 | X=0410.540-0514.430 | Y=0419.120-0428.440 | trồng cây rừng sản
P=0255 | X=0121.490-0228.700 | Y=0428.760-0440.000 | Tên đường giao thông
P=0255 | X=0254.260-0299.560 | Y=0428.760-0440.000 | Điểm đầu
P=0255 | X=0338.280-0386.220 | Y=0428.760-0440.000 | Điểm cuối
P=0255 | X=0403.820-0513.310 | Y=0428.760-0440.000 | lâu năm, đất xuất, đất
P=0255 | X=0097.250-0109.650 | Y=0430.640-0439.960 | TT
P=0255 | X=0410.540-0517.540 | Y=0442.160-0451.480 | trồng cây nuôi trồng
P=0255 | X=0409.580-0513.230 | Y=0451.820-0463.060 | hằng năm thủy sản
P=0255 | X=0233.140-0315.560 | Y=0469.820-0481.060 | Giáp ranh phường
P=0255 | X=0117.170-0224.470 | Y=0475.580-0486.820 | Đường Nguyễn Ái Quốc
P=0255 | X=0321.000-0403.180 | Y=0475.580-0486.820 | Đường Đồng Khởi
P=0255 | X=0100.610-0106.210 | Y=0477.460-0486.780 | 1
P=0255 | X=0437.690-0462.740 | Y=0477.460-0486.780 | 1.200
P=0255 | X=0505.390-0522.030 | Y=0477.460-0486.780 | 770
P=0255 | X=0233.140-0276.660 | Y=0483.220-0492.540 | Trấn Biên
P=0255 | X=0117.170-0402.710 | Y=0499.100-0510.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0255 | X=0117.170-0401.740 | Y=0510.620-0521.860 | Ái Quốc đoạn từ Giáp ranh phường Trấn Biên đến Đường Đồng
P=0255 | X=0117.170-0347.780 | Y=0522.140-0533.380 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0255 | X=0100.610-0106.210 | Y=0530.020-0539.340 | 2
P=0255 | X=0445.850-0462.490 | Y=0530.020-0539.340 | 780
P=0255 | X=0505.390-0522.030 | Y=0530.020-0539.340 | 510
P=0255 | X=0117.170-0340.120 | Y=0539.690-0550.930 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0255 | X=0117.170-0394.380 | Y=0557.210-0568.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0255 | X=0117.170-0402.710 | Y=0574.970-0586.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0255 | X=0117.170-0401.740 | Y=0586.250-0597.490 | Ái Quốc đoạn từ Giáp ranh phường Trấn Biên đến Đường Đồng
P=0255 | X=0117.170-0347.780 | Y=0597.770-0609.010 | Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0255 | X=0117.170-0340.340 | Y=0615.290-0626.530 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0255 | X=0100.610-0106.210 | Y=0620.310-0629.630 | 3
P=0255 | X=0445.850-0462.490 | Y=0620.310-0629.630 | 660
P=0255 | X=0505.390-0522.030 | Y=0620.310-0629.630 | 440
P=0255 | X=0117.170-0370.480 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0255 | X=0117.170-0203.740 | Y=0644.350-0655.590 | >400m đến ≤600m.
