TABLE=009 | AREA=Phường Phước Tân | SECTION=agricultural | SEGMENTS=1
--- PAGES=305-325 | LINES=1252 | HEADING=9. Phường Phước Tân ---
P=0305 | X=0090.020-0196.780 | Y=0555.050-0566.290 | 9. Phường Phước Tân
P=0305 | X=0415.340-0449.450 | Y=0573.050-0584.290 | Giá đất
P=0305 | X=0475.610-0509.710 | Y=0573.050-0584.290 | Giá đất
P=0305 | X=0409.820-0455.040 | Y=0586.450-0595.770 | trồng cây
P=0305 | X=0471.050-0514.670 | Y=0586.450-0595.770 | rừng sản
P=0305 | X=0121.010-0197.720 | Y=0590.330-0601.570 | Tên đường giao
P=0305 | X=0228.340-0273.620 | Y=0596.090-0607.330 | Điểm đầu
P=0305 | X=0325.320-0373.260 | Y=0596.090-0607.330 | Điểm cuối
P=0305 | X=0403.100-0513.310 | Y=0596.090-0607.330 | lâu năm, đất xuất, đất
P=0305 | X=0095.570-0107.970 | Y=0597.970-0607.290 | TT
P=0305 | X=0145.490-0173.460 | Y=0603.730-0613.050 | thông
P=0305 | X=0409.820-0517.540 | Y=0609.490-0618.810 | trồng cây nuôi trồng
P=0305 | X=0408.860-0456.460 | Y=0619.150-0630.390 | hằng năm
P=0305 | X=0472.250-0513.470 | Y=0621.030-0630.350 | thủy sản
P=0305 | X=0113.810-0287.940 | Y=0637.390-0648.630 | Đường Võ Nguyên Giáp ranh phường
P=0305 | X=0296.760-0355.640 | Y=0643.150-0654.390 | Đầu cầu số 3
P=0305 | X=0098.930-0104.530 | Y=0645.030-0654.350 | 1
P=0305 | X=0437.690-0462.740 | Y=0645.030-0654.350 | 1.000
P=0305 | X=0505.390-0522.030 | Y=0645.030-0654.350 | 630
P=0305 | X=0205.510-0255.520 | Y=0648.910-0660.150 | Long Hưng
P=0305 | X=0113.810-0135.240 | Y=0650.790-0660.110 | Giáp
P=0305 | X=0113.810-0377.250 | Y=0666.910-0678.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0305 | X=0113.810-0387.830 | Y=0678.430-0689.670 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến Đầu
P=0305 | X=0098.930-0361.220 | Y=0688.950-0701.190 | 2 cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0305 | X=0445.850-0462.490 | Y=0688.950-0698.270 | 660
P=0305 | X=0505.390-0522.030 | Y=0688.950-0698.270 | 440
P=0305 | X=0113.810-0336.720 | Y=0707.490-0718.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0306 | X=0113.810-0391.000 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0306 | X=0113.810-0377.250 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0306 | X=0113.810-0387.830 | Y=0108.260-0119.500 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến Đầu
P=0306 | X=0113.810-0361.220 | Y=0119.810-0131.050 | cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0336.980 | Y=0137.330-0151.410 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0306 | X=0445.850-0462.490 | Y=0142.090-0151.410 | 560
P=0306 | X=0505.390-0522.030 | Y=0142.090-0151.410 | 380
P=0306 | X=0113.810-0370.000 | Y=0154.850-0166.090 | - Có bề rộng từ ≥ 3m đến <5m, cách đường giao thông từ
P=0306 | X=0113.810-0200.360 | Y=0166.370-0177.610 | >400m đến ≤600m.
P=0306 | X=0113.810-0336.980 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0306 | X=0113.810-0377.250 | Y=0201.670-0212.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0306 | X=0113.810-0387.830 | Y=0213.190-0224.430 | Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng đến Đầu
P=0306 | X=0113.810-0361.220 | Y=0224.710-0235.950 | cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0104.530 | Y=0232.590-0241.910 | 4
P=0306 | X=0445.850-0462.490 | Y=0232.590-0241.910 | 460
P=0306 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 310
P=0306 | X=0113.810-0391.240 | Y=0242.230-0253.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0306 | X=0113.810-0337.450 | Y=0259.750-0270.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0306 | X=0113.810-0399.070 | Y=0277.750-0288.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0306 | X=0113.810-0396.690 | Y=0289.300-0300.540 | Đường Võ Nguyên Giáp đoạn từ Giáp ranh phường Long Hưng
P=0306 | X=0113.810-0401.790 | Y=0300.820-0312.060 | đến Đầu cầu số 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0306 | X=0098.930-0104.530 | Y=0308.700-0318.020 | 5
P=0306 | X=0445.850-0462.490 | Y=0308.700-0318.020 | 660
P=0306 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 440
P=0306 | X=0113.810-0336.720 | Y=0318.340-0329.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0306 | X=0113.810-0391.000 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0306 | X=0113.810-0399.070 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
