TABLE=010 | AREA=Phường Tam Phước | SECTION=agricultural | SEGMENTS=1
--- PAGES=325-398 | LINES=4771 | HEADING=10. Phường Tam Phước ---
P=0325 | X=0090.020-0205.110 | Y=0114.050-0125.290 | 10. Phường Tam Phước
P=0325 | X=0429.050-0463.130 | Y=0132.050-0143.290 | Giá đất
P=0325 | X=0480.650-0514.750 | Y=0132.050-0143.290 | Giá đất
P=0325 | X=0423.530-0519.710 | Y=0145.450-0154.770 | trồng cây rừng sản
P=0325 | X=0128.450-0205.170 | Y=0155.090-0166.330 | Tên đường giao
P=0325 | X=0425.690-0518.350 | Y=0155.090-0166.330 | lâu năm, xuất, đất
P=0325 | X=0244.180-0289.460 | Y=0160.850-0172.090 | Điểm đầu
P=0325 | X=0342.120-0390.060 | Y=0160.850-0172.090 | Điểm cuối
P=0325 | X=0095.570-0107.970 | Y=0162.730-0172.050 | TT
P=0325 | X=0424.490-0467.850 | Y=0166.610-0177.850 | đất trồng
P=0325 | X=0152.930-0180.900 | Y=0168.490-0177.810 | thông
P=0325 | X=0487.150-0508.410 | Y=0168.490-0177.810 | nuôi
P=0325 | X=0424.490-0468.070 | Y=0180.010-0189.330 | cây hằng
P=0325 | X=0484.990-0510.590 | Y=0180.010-0189.330 | trồng
P=0325 | X=0435.770-0456.480 | Y=0189.410-0200.650 | năm
P=0325 | X=0477.290-0518.510 | Y=0191.290-0200.610 | thủy sản
P=0325 | X=0113.810-0203.380 | Y=0207.670-0218.910 | Đường Dương Diên
P=0325 | X=0313.560-0414.130 | Y=0207.670-0218.910 | Hết ranh Phường Tam
P=0325 | X=0098.930-0104.530 | Y=0215.310-0224.630 | 1
P=0325 | X=0220.390-0268.980 | Y=0215.310-0224.630 | Quốc lộ 51
P=0325 | X=0448.010-0473.060 | Y=0215.310-0224.630 | 1.000
P=0325 | X=0505.390-0522.030 | Y=0215.310-0224.630 | 630
P=0325 | X=0313.560-0344.280 | Y=0219.190-0230.430 | Phước
P=0325 | X=0113.810-0137.650 | Y=0221.070-0230.390 | Nghệ
P=0325 | X=0113.810-0396.670 | Y=0237.190-0248.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0325 | X=0113.810-0405.740 | Y=0248.710-0259.950 | Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường Tam Phước
P=0325 | X=0113.810-0320.660 | Y=0260.230-0271.470 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0098.930-0104.530 | Y=0268.110-0277.430 | 2
P=0325 | X=0456.170-0472.810 | Y=0268.110-0277.430 | 660
P=0325 | X=0505.390-0522.030 | Y=0268.110-0277.430 | 440
P=0325 | X=0113.810-0336.720 | Y=0277.750-0288.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
