TABLE=012 | AREA=Xã Bình An | SECTION=agricultural | SEGMENTS=1
--- PAGES=398-420 | LINES=1467 | HEADING=12. Xã Bình An ---
P=0398 | X=0090.020-0160.050 | Y=0127.450-0136.770 | 12. Xã Bình An
P=0398 | X=0426.650-0460.730 | Y=0143.330-0154.570 | Giá đất
P=0398 | X=0479.930-0514.030 | Y=0149.090-0160.330 | Giá đất
P=0398 | X=0421.130-0466.320 | Y=0156.730-0166.050 | trồng cây
P=0398 | X=0475.370-0518.990 | Y=0162.490-0171.810 | rừng sản
P=0398 | X=0127.970-0204.680 | Y=0166.370-0177.610 | Tên đường giao
P=0398 | X=0423.290-0464.000 | Y=0166.370-0177.610 | lâu năm,
P=0398 | X=0252.820-0298.120 | Y=0172.130-0183.370 | Điểm đầu
P=0398 | X=0350.760-0398.700 | Y=0172.130-0183.370 | Điểm cuối
P=0398 | X=0476.330-0517.630 | Y=0172.130-0183.370 | xuất, đất
P=0398 | X=0096.770-0109.170 | Y=0174.010-0183.330 | TT
P=0398 | X=0421.850-0465.210 | Y=0177.890-0189.130 | đất trồng
P=0398 | X=0152.450-0180.420 | Y=0179.770-0189.090 | thông
P=0398 | X=0472.250-0521.860 | Y=0185.290-0194.610 | nuôi trồng
P=0398 | X=0421.850-0465.430 | Y=0191.050-0200.370 | cây hằng
P=0398 | X=0476.570-0517.790 | Y=0196.810-0206.130 | thủy sản
P=0398 | X=0433.370-0454.080 | Y=0200.710-0211.950 | năm
P=0398 | X=0217.270-0333.810 | Y=0220.590-0229.910 | Trung tâm huấn luyện chó
P=0398 | X=0333.960-0366.910 | Y=0224.470-0235.710 | Mũi tàu
P=0398 | X=0100.130-0105.730 | Y=0226.350-0235.670 | 1
P=0398 | X=0115.970-0164.530 | Y=0226.350-0235.670 | Quốc lộ 51
P=0398 | X=0454.970-0471.610 | Y=0226.350-0235.670 | 730
P=0398 | X=0505.390-0522.030 | Y=0226.350-0235.670 | 600
P=0398 | X=0217.270-0324.930 | Y=0232.110-0241.430 | nghiệp vụ Quân Khuyển
P=0398 | X=0115.970-0406.060 | Y=0247.990-0259.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0398 | X=0115.970-0409.650 | Y=0259.510-0270.750 | từ Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi tàu
P=0398 | X=0115.970-0322.820 | Y=0271.030-0282.270 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0398 | X=0100.130-0105.730 | Y=0278.910-0288.230 | 2
P=0398 | X=0454.970-0471.610 | Y=0278.910-0288.230 | 500
P=0398 | X=0505.390-0522.030 | Y=0278.910-0288.230 | 430
P=0398 | X=0115.970-0347.050 | Y=0288.580-0299.820 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0398 | X=0115.970-0393.160 | Y=0306.100-0317.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0398 | X=0115.970-0406.060 | Y=0323.860-0335.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0398 | X=0115.970-0409.650 | Y=0335.380-0346.620 | từ Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi tàu
P=0398 | X=0115.970-0322.820 | Y=0346.900-0358.140 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0398 | X=0115.970-0350.170 | Y=0364.180-0375.420 | - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0398 | X=0100.130-0105.730 | Y=0369.200-0378.520 | 3
P=0398 | X=0454.970-0471.610 | Y=0369.200-0378.520 | 400
P=0398 | X=0505.390-0522.030 | Y=0369.200-0378.520 | 350
P=0398 | X=0115.970-0402.860 | Y=0381.720-0392.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0398 | X=0115.970-0177.090 | Y=0393.240-0404.480 | đến ≤1.000m.
P=0398 | X=0115.970-0339.140 | Y=0410.760-0422.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0398 | X=0115.970-0406.060 | Y=0428.520-0439.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0398 | X=0115.970-0409.650 | Y=0440.040-0451.280 | từ Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi tàu
P=0398 | X=0115.970-0322.820 | Y=0451.580-0462.820 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0398 | X=0100.130-0105.730 | Y=0459.460-0468.780 | 4
P=0398 | X=0454.970-0471.610 | Y=0459.460-0468.780 | 270
P=0398 | X=0505.390-0522.030 | Y=0459.460-0468.780 | 270
P=0398 | X=0115.970-0404.430 | Y=0469.100-0480.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0398 | X=0115.970-0339.620 | Y=0486.620-0497.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0398 | X=0115.970-0401.230 | Y=0504.380-0515.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0398 | X=0115.970-0394.060 | Y=0515.900-0527.140 | Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0398 | X=0115.970-0414.750 | Y=0527.420-0538.660 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0398 | X=0100.130-0105.730 | Y=0535.330-0544.650 | 5
P=0398 | X=0454.970-0471.610 | Y=0535.330-0544.650 | 500
P=0398 | X=0505.390-0522.030 | Y=0535.330-0544.650 | 430
P=0398 | X=0115.970-0347.090 | Y=0544.970-0556.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0398 | X=0115.970-0393.160 | Y=0562.250-0573.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0398 | X=0115.970-0401.230 | Y=0580.010-0591.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0398 | X=0115.970-0394.060 | Y=0591.530-0602.770 | Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0398 | X=0115.970-0414.780 | Y=0603.050-0614.290 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0398 | X=0115.970-0350.170 | Y=0620.590-0631.830 | - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0398 | X=0100.130-0105.730 | Y=0625.590-0634.910 | 6
P=0398 | X=0454.970-0471.610 | Y=0625.590-0634.910 | 400
P=0398 | X=0505.390-0522.030 | Y=0625.590-0634.910 | 350
P=0398 | X=0115.970-0402.860 | Y=0638.110-0649.350 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0398 | X=0115.970-0177.090 | Y=0649.630-0660.870 | đến ≤1.000m.
P=0398 | X=0115.970-0339.140 | Y=0667.150-0678.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0398 | X=0115.970-0401.230 | Y=0684.910-0696.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0398 | X=0115.970-0394.060 | Y=0696.430-0707.670 | Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó nghiệp vụ Quân
P=0398 | X=0100.130-0105.730 | Y=0698.310-0707.630 | 7
P=0398 | X=0454.970-0471.610 | Y=0698.310-0707.630 | 270
P=0398 | X=0505.390-0522.030 | Y=0698.310-0707.630 | 270
P=0398 | X=0115.970-0414.750 | Y=0707.970-0719.210 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0115.970-0401.780 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0399 | X=0115.970-0339.610 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0399 | X=0115.970-0215.110 | Y=0115.660-0124.980 | Lê Duẩn (Quốc lộ 51A
P=0399 | X=0333.960-0391.400 | Y=0115.660-0124.980 | Giáp ranh xã
P=0399 | X=0217.270-0250.220 | Y=0119.570-0130.810 | Mũi tàu
P=0399 | X=0100.130-0105.730 | Y=0121.450-0130.770 | 8
P=0399 | X=0454.970-0471.610 | Y=0121.450-0130.770 | 730
P=0399 | X=0505.390-0522.030 | Y=0121.450-0130.770 | 600
P=0399 | X=0115.970-0129.890 | Y=0125.330-0136.570 | cũ)
P=0399 | X=0333.960-0387.340 | Y=0127.210-0136.530 | Long Thành
P=0399 | X=0115.970-0411.340 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0399 | X=0115.970-0394.300 | Y=0154.610-0165.850 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long Thành có hiện
P=0399 | X=0115.970-0287.750 | Y=0166.130-0177.370 | trạng là đường nhựa, bê tông xi măng:
P=0399 | X=0100.130-0105.730 | Y=0174.010-0183.330 | 9
P=0399 | X=0454.970-0471.610 | Y=0174.010-0183.330 | 500
P=0399 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 430
P=0399 | X=0115.970-0347.080 | Y=0183.410-0194.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0399 | X=0115.970-0393.160 | Y=0200.950-0212.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0399 | X=0115.970-0411.340 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn (Quốc lộ
P=0399 | X=0115.970-0394.300 | Y=0230.230-0241.470 | 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long Thành có hiện
