TABLE=013 | AREA=Xã An Phước | SECTION=agricultural | SEGMENTS=1
--- PAGES=420-432 | LINES=773 | HEADING=13. Xã An Phước ---
P=0420 | X=0090.020-0170.790 | Y=0381.240-0392.480 | 13. Xã An Phước
P=0420 | X=0423.530-0457.610 | Y=0399.240-0410.480 | Giá đất
P=0420 | X=0478.730-0512.830 | Y=0405.000-0416.240 | Giá đất
P=0420 | X=0417.980-0463.200 | Y=0412.640-0421.960 | trồng cây
P=0420 | X=0474.170-0517.790 | Y=0418.400-0427.720 | rừng sản
P=0420 | X=0126.050-0202.760 | Y=0422.280-0433.520 | Tên đường giao
P=0420 | X=0420.170-0460.880 | Y=0422.280-0433.520 | lâu năm,
P=0420 | X=0239.380-0284.660 | Y=0428.040-0439.280 | Điểm đầu
P=0420 | X=0335.640-0383.580 | Y=0428.040-0439.280 | Điểm cuối
P=0420 | X=0475.130-0516.430 | Y=0428.040-0439.280 | xuất, đất
P=0420 | X=0094.820-0107.220 | Y=0429.920-0439.240 | TT
P=0420 | X=0418.940-0462.330 | Y=0433.800-0445.040 | đất trồng
P=0420 | X=0150.530-0178.500 | Y=0435.680-0445.000 | thông
P=0420 | X=0471.050-0520.660 | Y=0441.440-0450.760 | nuôi trồng
P=0420 | X=0418.940-0462.550 | Y=0447.200-0456.520 | cây hằng
P=0420 | X=0475.370-0516.590 | Y=0452.980-0462.300 | thủy sản
P=0420 | X=0430.250-0450.970 | Y=0458.740-0468.060 | năm
P=0420 | X=0307.560-0393.820 | Y=0476.980-0486.300 | Hết ranh giới xã An
P=0420 | X=0098.210-0163.330 | Y=0480.860-0492.100 | 1 Hương lộ 2
P=0420 | X=0217.030-0273.300 | Y=0480.860-0492.100 | Hương lộ 21
P=0420 | X=0452.330-0468.970 | Y=0482.740-0492.060 | 700
P=0420 | X=0505.390-0522.030 | Y=0482.740-0492.060 | 570
P=0420 | X=0307.560-0338.280 | Y=0486.620-0497.860 | Phước
P=0420 | X=0112.610-0404.860 | Y=0504.620-0515.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn
P=0420 | X=0112.610-0393.820 | Y=0516.140-0527.380 | từ Hương lộ 21 đến Hết ranh giới xã An Phước có hiện trạng là
P=0420 | X=0112.610-0248.390 | Y=0527.660-0538.900 | đường nhựa, bê tông xi măng:
P=0420 | X=0098.210-0103.810 | Y=0535.570-0544.890 | 2
P=0420 | X=0452.330-0468.970 | Y=0535.570-0544.890 | 480
P=0420 | X=0505.390-0522.030 | Y=0535.570-0544.890 | 400
P=0420 | X=0112.610-0343.690 | Y=0545.210-0556.450 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0420 | X=0112.610-0389.800 | Y=0562.490-0573.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0420 | X=0112.610-0404.860 | Y=0580.490-0591.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2 đoạn
P=0420 | X=0112.610-0393.820 | Y=0592.010-0603.250 | từ Hương lộ 21 đến Hết ranh giới xã An Phước có hiện trạng là
P=0420 | X=0112.610-0248.380 | Y=0603.530-0614.770 | đường nhựa, bê tông xi măng:
P=0420 | X=0098.210-0346.810 | Y=0621.070-0635.390 | 3 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0420 | X=0452.330-0468.970 | Y=0626.070-0635.390 | 370
P=0420 | X=0505.390-0522.030 | Y=0626.070-0635.390 | 330
P=0420 | X=0112.610-0399.500 | Y=0638.590-0649.830 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0420 | X=0112.610-0173.730 | Y=0650.110-0661.350 | đến ≤1.000m.
