TABLE=015 | AREA=Xã Phước Thái | SECTION=agricultural | SEGMENTS=1
--- PAGES=444-517 | LINES=4767 | HEADING=15. Xã Phước Thái ---
P=0444 | X=0090.020-0177.790 | Y=0288.100-0299.340 | 15. Xã Phước Thái
P=0444 | X=0423.530-0457.610 | Y=0305.860-0317.100 | Giá đất
P=0444 | X=0478.730-0512.830 | Y=0311.620-0322.860 | Giá đất
P=0444 | X=0417.980-0463.200 | Y=0319.260-0328.580 | trồng cây
P=0444 | X=0473.930-0517.550 | Y=0325.020-0334.340 | rừng sản
P=0444 | X=0123.890-0200.600 | Y=0328.900-0340.140 | Tên đường giao
P=0444 | X=0420.170-0460.880 | Y=0328.900-0340.140 | lâu năm,
P=0444 | X=0236.260-0281.540 | Y=0334.660-0345.900 | Điểm đầu
P=0444 | X=0336.120-0384.060 | Y=0334.660-0345.900 | Điểm cuối
P=0444 | X=0475.130-0516.430 | Y=0334.660-0345.900 | xuất, đất
P=0444 | X=0096.290-0108.690 | Y=0336.540-0345.860 | TT
P=0444 | X=0418.700-0462.090 | Y=0340.420-0351.660 | đất trồng
P=0444 | X=0148.370-0176.340 | Y=0342.300-0351.620 | thông
P=0444 | X=0471.050-0520.660 | Y=0347.820-0357.140 | nuôi trồng
P=0444 | X=0418.700-0462.310 | Y=0353.580-0362.900 | cây hằng
P=0444 | X=0475.130-0516.350 | Y=0359.340-0368.660 | thủy sản
P=0444 | X=0430.250-0450.960 | Y=0363.220-0374.460 | năm
P=0444 | X=0209.590-0292.000 | Y=0383.120-0392.440 | Giáp ranh xã Long
P=0444 | X=0099.650-0163.810 | Y=0388.880-0398.200 | 1 Quốc lộ 51
P=0444 | X=0308.280-0376.780 | Y=0388.880-0398.200 | Cầu Thái Thiện
P=0444 | X=0452.330-0468.970 | Y=0388.880-0398.200 | 730
P=0444 | X=0505.390-0522.030 | Y=0388.880-0398.200 | 600
P=0444 | X=0209.590-0240.340 | Y=0392.760-0404.000 | Phước
P=0444 | X=0115.250-0405.340 | Y=0410.520-0421.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0444 | X=0115.250-0402.930 | Y=0422.040-0433.280 | từ Giáp ranh xã Long Phước đến cầu Thái Thiện có hiện trạng là
P=0444 | X=0115.250-0251.020 | Y=0433.560-0444.800 | đường nhựa, bê tông xi măng:
P=0444 | X=0099.650-0105.250 | Y=0441.440-0450.760 | 2
P=0444 | X=0452.330-0468.970 | Y=0441.440-0450.760 | 500
P=0444 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 430
P=0444 | X=0115.250-0349.200 | Y=0451.100-0462.340 | - Có bề rộng ≥5m, cách đường giao thông ≤ 1.000m.
