TABLE=017 | AREA=Xã Đại Phước | SECTION=agricultural | SEGMENTS=1
--- PAGES=517-547 | LINES=2003 | HEADING=17. Xã Đại Phước ---
P=0517 | X=0090.020-0172.950 | Y=0445.320-0456.560 | 17. Xã Đại Phước
P=0517 | X=0425.930-0460.010 | Y=0463.340-0474.580 | Giá đất
P=0517 | X=0479.450-0513.550 | Y=0469.100-0480.340 | Giá đất
P=0517 | X=0420.410-0465.600 | Y=0476.740-0486.060 | trồng cây
P=0517 | X=0474.650-0518.270 | Y=0482.500-0491.820 | rừng sản
P=0517 | X=0136.370-0213.080 | Y=0486.380-0497.620 | Tên đường giao
P=0517 | X=0422.570-0463.280 | Y=0486.380-0497.620 | lâu năm,
P=0517 | X=0245.620-0290.900 | Y=0492.140-0503.380 | Điểm đầu
P=0517 | X=0339.960-0387.900 | Y=0492.140-0503.380 | Điểm cuối
P=0517 | X=0475.850-0517.150 | Y=0492.140-0503.380 | xuất, đất
P=0517 | X=0101.570-0113.970 | Y=0494.020-0503.340 | TT
P=0517 | X=0421.370-0464.730 | Y=0497.900-0509.140 | đất trồng
P=0517 | X=0160.870-0188.840 | Y=0499.780-0509.100 | thông
P=0517 | X=0471.770-0521.370 | Y=0505.540-0514.860 | nuôi trồng
P=0517 | X=0421.370-0464.950 | Y=0511.060-0520.380 | cây hằng
P=0517 | X=0475.850-0517.070 | Y=0516.820-0526.140 | thủy sản
P=0517 | X=0432.650-0453.360 | Y=0520.700-0531.940 | năm
P=0517 | X=0312.360-0401.020 | Y=0538.970-0550.210 | Ngã ba đường Trần
P=0517 | X=0126.050-0207.990 | Y=0544.730-0555.970 | Đường Lý Thái Tổ
P=0517 | X=0224.470-0309.740 | Y=0544.730-0555.970 | Giáp ranh xã Nhơn
P=0517 | X=0312.360-0407.660 | Y=0550.490-0561.730 | Văn Trà và đường Lý
P=0517 | X=0104.930-0110.530 | Y=0552.370-0561.690 | 1
P=0517 | X=0453.530-0470.170 | Y=0552.370-0561.690 | 730
P=0517 | X=0505.390-0522.030 | Y=0552.370-0561.690 | 670
P=0517 | X=0126.050-0250.260 | Y=0556.250-0567.490 | (Đường tỉnh 769 cũ) Trạch
P=0517 | X=0312.360-0346.530 | Y=0563.890-0573.210 | Thái Tổ
P=0517 | X=0126.050-0409.890 | Y=0580.010-0591.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0517 | X=0126.050-0403.430 | Y=0591.530-0602.770 | Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0517 | X=0126.050-0409.670 | Y=0603.050-0614.290 | Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng
P=0517 | X=0126.050-0272.380 | Y=0614.570-0625.810 | là đường nhựa, bê tông xi măng:
P=0517 | X=0104.930-0110.530 | Y=0616.690-0626.010 | 2
P=0517 | X=0453.530-0470.170 | Y=0616.690-0626.010 | 500
P=0517 | X=0505.390-0522.030 | Y=0616.690-0626.010 | 450
P=0517 | X=0126.050-0357.130 | Y=0632.110-0643.350 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0517 | X=0126.050-0403.240 | Y=0649.630-0660.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0517 | X=0126.050-0409.890 | Y=0667.630-0678.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái
P=0517 | X=0126.050-0403.430 | Y=0679.150-0690.390 | Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến
P=0517 | X=0104.930-0110.530 | Y=0686.790-0696.110 | 3
P=0517 | X=0453.530-0470.170 | Y=0686.790-0696.110 | 370
P=0517 | X=0505.390-0522.030 | Y=0686.790-0696.110 | 330
P=0517 | X=0126.050-0409.670 | Y=0690.670-0701.910 | Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng
P=0517 | X=0126.050-0272.380 | Y=0701.970-0713.210 | là đường nhựa, bê tông xi măng:
P=0518 | X=0126.050-0357.620 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
