TABLE=019 | AREA=Phường Long Khánh | SECTION=agricultural | SEGMENTS=1
--- PAGES=572-662 | LINES=5842 | HEADING=19. Phường Long Khánh ---
P=0572 | X=0090.020-0207.260 | Y=0644.110-0655.350 | 19. Phường Long Khánh
P=0572 | X=0482.090-0516.190 | Y=0662.110-0673.350 | Giá đất
P=0572 | X=0412.460-0474.810 | Y=0667.870-0679.110 | Giá đất trồng
P=0572 | X=0477.530-0521.150 | Y=0675.510-0684.830 | rừng sản
P=0572 | X=0125.090-0201.800 | Y=0679.390-0690.630 | Tên đường giao
P=0572 | X=0413.420-0473.570 | Y=0679.390-0690.630 | cây lâu năm,
P=0572 | X=0241.300-0286.580 | Y=0685.150-0696.390 | Điểm đầu
P=0572 | X=0339.720-0387.660 | Y=0685.150-0696.390 | Điểm cuối
P=0572 | X=0478.490-0519.790 | Y=0685.150-0696.390 | xuất, đất
P=0572 | X=0096.770-0109.170 | Y=0687.030-0696.350 | TT
P=0572 | X=0412.220-0475.200 | Y=0690.910-0702.150 | đất trồng cây
P=0572 | X=0149.570-0177.540 | Y=0692.790-0702.110 | thông
P=0572 | X=0488.590-0509.850 | Y=0698.550-0707.870 | nuôi
P=0572 | X=0419.930-0467.500 | Y=0702.450-0713.690 | hằng năm
P=0572 | X=0486.430-0512.030 | Y=0710.100-0719.420 | trồng
P=0573 | X=0478.730-0519.950 | Y=0074.380-0083.700 | thủy sản
P=0573 | X=0211.510-0314.010 | Y=0090.740-0101.980 | Ngã ba Đường Võ Duy
P=0573 | X=0116.210-0200.310 | Y=0096.500-0107.740 | Đường Hồng Thập
P=0573 | X=0211.510-0291.060 | Y=0102.260-0113.500 | Dương và Đường
P=0573 | X=0316.680-0398.600 | Y=0102.260-0113.500 | Đường 21 tháng 4
P=0573 | X=0100.130-0105.730 | Y=0104.140-0113.460 | 1
P=0573 | X=0459.290-0475.930 | Y=0104.140-0113.460 | 800
P=0573 | X=0505.390-0522.030 | Y=0104.140-0113.460 | 540
P=0573 | X=0116.210-0129.190 | Y=0109.900-0119.220 | Tự
P=0573 | X=0211.510-0286.740 | Y=0113.780-0125.020 | Lương Đình Của
P=0573 | X=0116.210-0391.190 | Y=0131.810-0143.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0573 | X=0116.210-0379.180 | Y=0143.330-0154.570 | Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và Đường
P=0573 | X=0116.210-0399.100 | Y=0154.850-0166.090 | Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là đường
P=0573 | X=0116.210-0219.320 | Y=0166.370-0177.610 | nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0168.490-0177.810 | 2
P=0573 | X=0459.290-0475.930 | Y=0168.490-0177.810 | 510
P=0573 | X=0505.390-0522.030 | Y=0168.490-0177.810 | 360
P=0573 | X=0116.210-0341.780 | Y=0183.650-0194.890 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0573 | X=0116.210-0393.400 | Y=0201.190-0212.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0573 | X=0116.210-0391.190 | Y=0219.190-0230.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0573 | X=0116.210-0379.180 | Y=0230.710-0241.950 | Thập Tự đoạn từ Nga ba Đường Võ Duy Dương và Đường
P=0573 | X=0116.210-0399.100 | Y=0242.230-0253.470 | Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là đường
P=0573 | X=0116.210-0219.320 | Y=0253.750-0264.990 | nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0270.510-0279.830 | 3
P=0573 | X=0459.290-0475.930 | Y=0270.510-0279.830 | 420
P=0573 | X=0505.390-0522.030 | Y=0270.510-0279.830 | 310
P=0573 | X=0116.210-0342.250 | Y=0271.270-0282.510 | - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0573 | X=0116.210-0403.100 | Y=0288.820-0300.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0573 | X=0116.210-0169.170 | Y=0300.340-0311.580 | đến ≤600m.
P=0573 | X=0116.210-0339.380 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0573 | X=0116.210-0391.190 | Y=0335.860-0347.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng
P=0573 | X=0116.210-0379.180 | Y=0347.380-0358.620 | Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và Đường
P=0573 | X=0116.210-0399.100 | Y=0358.900-0370.140 | Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là đường
P=0573 | X=0116.210-0219.320 | Y=0370.200-0381.440 | nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0372.560-0381.880 | 4
P=0573 | X=0459.290-0475.930 | Y=0372.560-0381.880 | 340
P=0573 | X=0505.390-0522.030 | Y=0372.560-0381.880 | 250
P=0573 | X=0116.210-0393.640 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0573 | X=0116.210-0339.850 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0573 | X=0116.210-0401.470 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0573 | X=0116.210-0405.780 | Y=0434.760-0446.000 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0573 | X=0116.210-0401.010 | Y=0446.280-0457.520 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0573 | X=0116.210-0251.980 | Y=0457.820-0469.060 | đường nhựa, bê tông xi măng:
P=0573 | X=0100.130-0105.730 | Y=0459.940-0469.260 | 5
P=0573 | X=0459.290-0475.930 | Y=0459.940-0469.260 | 510
P=0573 | X=0505.390-0522.030 | Y=0459.940-0469.260 | 360
P=0573 | X=0116.210-0341.780 | Y=0475.340-0486.580 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0573 | X=0116.210-0393.400 | Y=0492.860-0504.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0573 | X=0116.210-0401.470 | Y=0510.860-0522.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
