TABLE=020 | AREA=Phường Bảo Vinh | SECTION=agricultural | SEGMENTS=1
--- PAGES=662-686 | LINES=1600 | HEADING=20. Phường Bảo Vinh ---
P=0662 | X=0090.020-0192.450 | Y=0335.620-0346.860 | 20. Phường Bảo Vinh
P=0662 | X=0433.850-0514.990 | Y=0353.380-0364.620 | Giá đất Giá đất
P=0662 | X=0428.330-0519.710 | Y=0366.780-0376.100 | trồng cây rừng sản
P=0662 | X=0430.490-0518.590 | Y=0376.440-0387.680 | lâu năm, xuất, đất
P=0662 | X=0121.730-0228.900 | Y=0381.960-0393.200 | Tên đường giao thông
P=0662 | X=0264.100-0309.400 | Y=0381.960-0393.200 | Điểm đầu
P=0662 | X=0355.820-0403.740 | Y=0381.960-0393.200 | Điểm cuối
P=0662 | X=0093.140-0105.540 | Y=0383.840-0393.160 | TT
P=0662 | X=0429.050-0508.650 | Y=0387.720-0398.960 | đất trồng nuôi
P=0662 | X=0429.050-0510.590 | Y=0401.120-0410.440 | cây hằng trồng
P=0662 | X=0440.570-0461.280 | Y=0410.760-0422.000 | năm
P=0662 | X=0477.290-0518.510 | Y=0412.640-0421.960 | thủy sản
P=0662 | X=0242.260-0311.250 | Y=0428.760-0440.000 | Đường Nguyễn
P=0662 | X=0096.530-0234.420 | Y=0434.520-0445.760 | 1 Đường Suối Chồn - Bàu Cối
P=0662 | X=0331.320-0413.260 | Y=0436.400-0445.720 | Ngã ba Suối Chồn
P=0662 | X=0456.650-0473.290 | Y=0436.400-0445.720 | 700
P=0662 | X=0505.390-0522.030 | Y=0436.400-0445.720 | 580
P=0662 | X=0242.260-0292.420 | Y=0442.160-0451.480 | Trung Trực
P=0662 | X=0108.770-0412.940 | Y=0458.060-0469.300 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0662 | X=0108.770-0423.820 | Y=0469.580-0480.820 | Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã ba Suối Chồn có
P=0662 | X=0108.770-0302.380 | Y=0481.100-0492.340 | hiện trạng là đường nhựa, bê tông xi măng:
P=0662 | X=0096.530-0102.130 | Y=0488.980-0498.300 | 2
P=0662 | X=0456.650-0473.290 | Y=0488.980-0498.300 | 470
P=0662 | X=0505.390-0522.030 | Y=0488.980-0498.300 | 340
P=0662 | X=0108.770-0331.700 | Y=0498.620-0509.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0662 | X=0108.770-0385.940 | Y=0516.140-0527.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0662 | X=0108.770-0412.940 | Y=0533.930-0545.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0662 | X=0108.770-0423.820 | Y=0545.450-0556.690 | Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã ba Suối Chồn có
P=0662 | X=0108.770-0302.380 | Y=0556.970-0568.210 | hiện trạng là đường nhựa, bê tông xi măng:
P=0662 | X=0096.530-0331.940 | Y=0574.250-0588.570 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0662 | X=0456.650-0473.290 | Y=0579.250-0588.570 | 370
P=0662 | X=0505.390-0522.030 | Y=0579.250-0588.570 | 270
P=0662 | X=0108.770-0415.190 | Y=0591.770-0603.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0662 | X=0108.770-0142.290 | Y=0603.290-0614.530 | ≤600m.
P=0662 | X=0108.770-0331.940 | Y=0620.830-0632.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0662 | X=0108.770-0412.940 | Y=0638.590-0649.830 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối Chồn -
P=0662 | X=0108.770-0423.820 | Y=0650.110-0661.350 | Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã ba Suối Chồn có
P=0662 | X=0108.770-0302.380 | Y=0661.630-0672.870 | hiện trạng là đường nhựa, bê tông xi măng:
P=0662 | X=0096.530-0102.130 | Y=0669.510-0678.830 | 4
P=0662 | X=0456.650-0473.290 | Y=0669.510-0678.830 | 310
P=0662 | X=0505.390-0522.030 | Y=0669.510-0678.830 | 210
P=0662 | X=0108.770-0386.180 | Y=0679.150-0690.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0662 | X=0108.770-0332.410 | Y=0696.670-0707.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0663 | X=0108.770-0394.030 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
