TABLE=021 | AREA=Phường Xuân Lập | SECTION=agricultural | SEGMENTS=1
--- PAGES=686-702 | LINES=1027 | HEADING=21. Phường Xuân Lập ---
P=0686 | X=0090.020-0193.900 | Y=0486.140-0497.380 | 21. Phường Xuân Lập
P=0686 | X=0428.570-0508.990 | Y=0503.900-0515.140 | Giá đất Giá đất
P=0686 | X=0428.570-0518.510 | Y=0517.300-0526.620 | trồng cây rừng sản
P=0686 | X=0428.570-0516.190 | Y=0526.940-0538.180 | lâu năm, xuất, đất
P=0686 | X=0092.180-0214.310 | Y=0532.730-0543.970 | TT Tên đường giao thông
P=0686 | X=0234.340-0279.620 | Y=0532.730-0543.970 | Điểm đầu
P=0686 | X=0327.480-0374.940 | Y=0532.730-0543.970 | Điểm cuối
P=0686 | X=0428.570-0496.150 | Y=0538.250-0549.490 | đất trồng nuôi
P=0686 | X=0428.570-0500.510 | Y=0551.650-0560.970 | cây hằng trồng
P=0686 | X=0428.570-0449.280 | Y=0561.290-0572.530 | năm
P=0686 | X=0474.890-0516.110 | Y=0563.170-0572.490 | thủy sản
P=0686 | X=0234.340-0409.900 | Y=0579.290-0590.530 | Đường Hồng Thập Giáp ranh phường
P=0686 | X=0095.570-0216.390 | Y=0585.050-0596.290 | 1 Đường Lương Đình Của
P=0686 | X=0457.850-0474.490 | Y=0586.930-0596.250 | 600
P=0686 | X=0505.390-0522.030 | Y=0586.930-0596.250 | 490
P=0686 | X=0234.340-0247.320 | Y=0592.690-0602.010 | Tự
P=0686 | X=0327.480-0381.340 | Y=0592.690-0602.010 | Long Khánh
P=0686 | X=0107.090-0412.270 | Y=0608.570-0619.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lương Đình
P=0686 | X=0107.090-0426.240 | Y=0620.110-0631.350 | Của đoạn từ Đường Hồng Thập Tự đến Giáp ranh phường Long Khánh
P=0686 | X=0107.090-0313.940 | Y=0631.630-0642.870 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0686 | X=0095.570-0101.170 | Y=0639.510-0648.830 | 2
P=0686 | X=0457.850-0474.490 | Y=0639.510-0648.830 | 400
P=0686 | X=0505.390-0522.030 | Y=0639.510-0648.830 | 320
P=0686 | X=0107.090-0329.560 | Y=0649.150-0660.390 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
