TABLE=022 | AREA=Phường Hàng Gòn | SECTION=agricultural | SEGMENTS=1
--- PAGES=702-714 | LINES=839 | HEADING=22. Phường Hàng Gòn ---
P=0702 | X=0090.020-0201.180 | Y=0125.090-0136.330 | 22. Phường Hàng Gòn
P=0702 | X=0425.930-0460.010 | Y=0142.850-0154.090 | Giá đất
P=0702 | X=0478.250-0512.350 | Y=0148.610-0159.850 | Giá đất
P=0702 | X=0420.410-0465.600 | Y=0156.250-0165.570 | trồng cây
P=0702 | X=0473.450-0517.070 | Y=0162.010-0171.330 | rừng sản
P=0702 | X=0422.570-0463.280 | Y=0165.890-0177.130 | lâu năm,
P=0702 | X=0091.220-0225.400 | Y=0171.410-0182.650 | TT Tên đường giao thông
P=0702 | X=0255.460-0301.060 | Y=0171.410-0182.650 | Điểm đầu
P=0702 | X=0345.720-0394.060 | Y=0171.410-0182.650 | Điểm cuối
P=0702 | X=0474.650-0515.950 | Y=0171.410-0182.650 | xuất, đất
P=0702 | X=0421.130-0464.490 | Y=0177.170-0188.410 | đất trồng
P=0702 | X=0470.570-0520.180 | Y=0184.810-0194.130 | nuôi trồng
P=0702 | X=0421.130-0464.710 | Y=0190.570-0199.890 | cây hằng
P=0702 | X=0474.650-0515.870 | Y=0196.330-0205.650 | thủy sản
P=0702 | X=0432.650-0453.360 | Y=0200.230-0211.470 | năm
P=0702 | X=0322.440-0399.800 | Y=0220.110-0229.430 | Giáp ngã ba Tân
P=0702 | X=0094.340-0189.750 | Y=0223.990-0235.230 | 1 Đường 21 tháng 4
P=0702 | X=0234.340-0316.280 | Y=0223.990-0235.230 | Đầu Cầu Gia Liêu
P=0702 | X=0451.370-0468.010 | Y=0225.870-0235.190 | 600
P=0702 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 490
P=0702 | X=0322.440-0352.230 | Y=0231.630-0240.950 | Phong
P=0702 | X=0104.930-0414.700 | Y=0247.510-0258.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0702 | X=0104.930-0395.950 | Y=0259.030-0270.270 | đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân Phong có hiện
P=0702 | X=0104.930-0284.480 | Y=0270.550-0281.790 | trạng là đường nhựa, bê tông xi măng:
P=0702 | X=0094.340-0099.940 | Y=0278.430-0287.750 | 2
P=0702 | X=0451.370-0468.010 | Y=0278.430-0287.750 | 400
P=0702 | X=0505.390-0522.030 | Y=0278.430-0287.750 | 320
P=0702 | X=0104.930-0336.470 | Y=0288.100-0299.340 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0702 | X=0104.930-0392.890 | Y=0305.620-0316.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0702 | X=0104.930-0414.700 | Y=0323.380-0334.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0702 | X=0104.930-0395.950 | Y=0334.900-0346.140 | đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân Phong có hiện
P=0702 | X=0104.930-0284.680 | Y=0346.420-0357.660 | trạng là đường nhựa, bê tông xi măng:
P=0702 | X=0094.340-0336.730 | Y=0363.700-0378.040 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0702 | X=0451.370-0468.010 | Y=0368.720-0378.040 | 320
P=0702 | X=0505.390-0522.030 | Y=0368.720-0378.040 | 260
P=0702 | X=0104.930-0403.280 | Y=0381.240-0392.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0702 | X=0104.930-0159.280 | Y=0392.760-0404.000 | đến ≤600m.
P=0702 | X=0104.930-0336.710 | Y=0410.280-0421.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0702 | X=0104.930-0414.700 | Y=0428.040-0439.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21 tháng 4
P=0702 | X=0104.930-0395.950 | Y=0439.560-0450.800 | đoạn từ Đầu Cầu Gia Liêu đến Giáp ngã ba Tân Phong có hiện
P=0702 | X=0104.930-0284.480 | Y=0451.100-0462.340 | trạng là đường nhựa, bê tông xi măng:
P=0702 | X=0094.340-0099.940 | Y=0458.980-0468.300 | 4
P=0702 | X=0451.370-0468.010 | Y=0458.980-0468.300 | 240
P=0702 | X=0505.390-0522.030 | Y=0458.980-0468.300 | 210
