TABLE=023 | AREA=Phường Bình Lộc | SECTION=agricultural | SEGMENTS=1
--- PAGES=714-892 | LINES=11588 | HEADING=23. Phường Bình Lộc ---
P=0714 | X=0090.020-0192.100 | Y=0584.810-0596.050 | 23. Phường Bình Lộc
P=0714 | X=0433.130-0514.990 | Y=0602.570-0613.810 | Giá đất Giá đất
P=0714 | X=0427.610-0519.950 | Y=0615.970-0625.290 | trồng cây rừng sản
P=0714 | X=0429.770-0518.590 | Y=0625.630-0636.870 | lâu năm, xuất, đất
P=0714 | X=0121.970-0229.430 | Y=0631.390-0642.630 | Tên đường giao thông
P=0714 | X=0269.140-0313.960 | Y=0631.390-0642.630 | Điểm đầu
P=0714 | X=0358.940-0406.380 | Y=0631.390-0642.630 | Điểm cuối
P=0714 | X=0092.420-0104.580 | Y=0633.270-0642.590 | TT
P=0714 | X=0428.570-0471.930 | Y=0637.150-0648.390 | đất trồng
P=0714 | X=0487.390-0508.650 | Y=0639.030-0648.350 | nuôi
P=0714 | X=0428.570-0510.830 | Y=0650.550-0659.870 | cây hằng trồng
P=0714 | X=0439.850-0460.560 | Y=0660.190-0671.430 | năm
P=0714 | X=0477.530-0518.750 | Y=0662.070-0671.390 | thủy sản
P=0714 | X=0244.900-0324.210 | Y=0678.190-0689.430 | Giáp ranh xã Dầu
P=0714 | X=0338.520-0421.180 | Y=0678.190-0689.430 | Giáp ranh phường
P=0714 | X=0095.330-0150.130 | Y=0683.950-0695.190 | 1 Quốc lộ 1
P=0714 | X=0457.850-0474.020 | Y=0685.830-0695.150 | 600
P=0714 | X=0506.350-0522.520 | Y=0685.830-0695.150 | 490
P=0714 | X=0338.520-0378.120 | Y=0689.710-0700.950 | Bình Lộc
P=0714 | X=0244.900-0265.060 | Y=0691.590-0700.910 | Giây
P=0714 | X=0095.330-0403.480 | Y=0707.490-0718.730 | 2 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0714 | X=0457.850-0474.020 | Y=0709.380-0718.700 | 400
P=0714 | X=0506.350-0522.520 | Y=0709.380-0718.700 | 320
P=0715 | X=0106.610-0426.300 | Y=0072.500-0083.740 | Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình Lộc có hiện trạng là
P=0715 | X=0106.610-0242.360 | Y=0084.020-0095.260 | đường nhựa, bê tông xi măng:
P=0715 | X=0106.610-0330.520 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0715 | X=0106.610-0385.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0715 | X=0106.610-0403.480 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
