TABLE=025 | AREA=Xã Xuân Hòa | SECTION=agricultural | SEGMENTS=1
--- PAGES=892-913 | LINES=1438 | HEADING=25. Xã Xuân Hòa ---
P=0892 | X=0090.020-0168.060 | Y=0181.450-0190.770 | 25. Xã Xuân Hòa
P=0892 | X=0427.610-0461.690 | Y=0197.330-0208.570 | Giá đất
P=0892 | X=0479.930-0514.030 | Y=0203.110-0214.350 | Giá đất
P=0892 | X=0422.090-0467.280 | Y=0210.750-0220.070 | trồng cây
P=0892 | X=0475.370-0518.990 | Y=0216.510-0225.830 | rừng sản
P=0892 | X=0424.250-0464.960 | Y=0220.390-0231.630 | lâu năm,
P=0892 | X=0120.290-0227.460 | Y=0226.150-0237.390 | Tên đường giao thông
P=0892 | X=0259.540-0304.840 | Y=0226.150-0237.390 | Điểm đầu
P=0892 | X=0348.360-0396.300 | Y=0226.150-0237.390 | Điểm cuối
P=0892 | X=0476.330-0517.630 | Y=0226.150-0237.390 | xuất, đất
P=0892 | X=0094.100-0106.500 | Y=0228.030-0237.350 | TT
P=0892 | X=0422.810-0466.170 | Y=0231.670-0242.910 | đất trồng
P=0892 | X=0472.250-0521.860 | Y=0239.310-0248.630 | nuôi trồng
P=0892 | X=0422.810-0466.390 | Y=0245.070-0254.390 | cây hằng
P=0892 | X=0476.570-0517.790 | Y=0250.830-0260.150 | thủy sản
P=0892 | X=0434.330-0455.040 | Y=0254.710-0265.950 | năm
P=0892 | X=0110.930-0221.670 | Y=0272.710-0283.950 | Đường Huỳnh Văn Nghệ
P=0892 | X=0327.240-0405.070 | Y=0274.590-0283.910 | Hết ranh xã Xuân
P=0892 | X=0237.220-0314.580 | Y=0278.470-0289.710 | Đường hồ Núi Le
P=0892 | X=0097.490-0103.090 | Y=0280.350-0289.670 | 1
P=0892 | X=0454.730-0471.370 | Y=0280.350-0289.670 | 470
P=0892 | X=0505.390-0522.030 | Y=0280.350-0289.670 | 330
P=0892 | X=0110.930-0220.930 | Y=0284.260-0295.500 | đoạn thuộc xã Xuân Hòa
P=0892 | X=0327.240-0345.570 | Y=0286.140-0295.460 | Hòa
P=0892 | X=0110.930-0411.580 | Y=0302.020-0313.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0892 | X=0110.930-0402.790 | Y=0313.540-0324.780 | Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ Núi Le đến Hết
P=0892 | X=0110.930-0401.310 | Y=0325.060-0336.300 | ranh xã Xuân Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0892 | X=0097.490-0103.090 | Y=0332.940-0342.260 | 2
P=0892 | X=0454.730-0471.370 | Y=0332.940-0342.260 | 330
P=0892 | X=0505.390-0522.030 | Y=0332.940-0342.260 | 200
P=0892 | X=0110.930-0342.010 | Y=0342.580-0353.820 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0892 | X=0110.930-0388.120 | Y=0360.100-0371.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0892 | X=0110.930-0411.580 | Y=0377.880-0389.120 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0892 | X=0110.930-0402.790 | Y=0389.400-0400.640 | Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ Núi Le đến Hết
P=0892 | X=0110.930-0401.310 | Y=0400.920-0412.160 | ranh xã Xuân Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0892 | X=0097.490-0342.480 | Y=0418.200-0432.520 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0892 | X=0454.730-0471.370 | Y=0423.200-0432.520 | 260
P=0892 | X=0505.390-0522.030 | Y=0423.200-0432.520 | 150
P=0892 | X=0110.930-0417.350 | Y=0435.720-0446.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0892 | X=0110.930-0152.610 | Y=0447.240-0458.480 | ≤1.000m.
P=0892 | X=0110.930-0334.100 | Y=0464.780-0476.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0892 | X=0110.930-0411.580 | Y=0482.540-0493.780 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0892 | X=0110.930-0402.790 | Y=0494.060-0505.300 | Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường hồ Núi Le đến Hết
P=0892 | X=0110.930-0401.310 | Y=0505.580-0516.820 | ranh xã Xuân Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0892 | X=0097.490-0103.090 | Y=0513.460-0522.780 | 4
P=0892 | X=0454.730-0471.370 | Y=0513.460-0522.780 | 180
P=0892 | X=0505.390-0522.030 | Y=0513.460-0522.780 | 110
P=0892 | X=0110.930-0396.740 | Y=0523.100-0534.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0892 | X=0110.930-0334.570 | Y=0540.650-0551.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0892 | X=0110.930-0396.190 | Y=0558.410-0569.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0892 | X=0110.930-0406.300 | Y=0569.930-0581.170 | Đường Huỳnh Văn Nghệ đoạn thuộc xã Xuân Hòa đoạn từ Đường
P=0892 | X=0110.930-0407.830 | Y=0581.450-0592.690 | hồ Núi Le đến Hết ranh xã Xuân Hòa có hiện trạng là đường nhựa,
P=0892 | X=0097.490-0185.010 | Y=0592.970-0604.410 | 5 bê tông xi măng:
P=0892 | X=0454.730-0471.370 | Y=0595.090-0604.410 | 330
P=0892 | X=0505.390-0522.030 | Y=0595.090-0604.410 | 200
