TABLE=027 | AREA=Xã Xuân Bắc | SECTION=agricultural | SEGMENTS=1
--- PAGES=938-961 | LINES=1551 | HEADING=27. Xã Xuân Bắc ---
P=0938 | X=0090.020-0167.430 | Y=0231.630-0240.950 | 27. Xã Xuân Bắc
P=0938 | X=0432.890-0515.710 | Y=0247.510-0258.750 | Giá đất Giá đất
P=0938 | X=0427.370-0520.430 | Y=0260.910-0270.230 | trồng cây rừng sản
P=0938 | X=0429.530-0519.310 | Y=0270.550-0281.790 | lâu năm, xuất, đất
P=0938 | X=0124.370-0231.540 | Y=0276.310-0287.550 | Tên đường giao thông
P=0938 | X=0267.220-0312.520 | Y=0276.310-0287.550 | Điểm đầu
P=0938 | X=0355.820-0403.740 | Y=0276.310-0287.550 | Điểm cuối
P=0938 | X=0094.340-0106.740 | Y=0278.190-0287.510 | TT
P=0938 | X=0428.090-0471.450 | Y=0282.100-0293.340 | đất trồng
P=0938 | X=0488.110-0509.370 | Y=0283.980-0293.300 | nuôi
P=0938 | X=0428.090-0511.310 | Y=0295.500-0304.820 | cây hằng trồng
P=0938 | X=0439.610-0460.320 | Y=0305.140-0316.380 | năm
P=0938 | X=0478.010-0519.230 | Y=0307.020-0316.340 | thủy sản
P=0938 | X=0245.140-0414.950 | Y=0323.140-0334.380 | Giáp ranh xã Thống Giáp Trường Tiểu
P=0938 | X=0097.730-0181.340 | Y=0328.900-0340.140 | 1 Đường tỉnh 763
P=0938 | X=0458.090-0474.730 | Y=0330.780-0340.100 | 270
P=0938 | X=0505.390-0522.030 | Y=0330.780-0340.100 | 230
P=0938 | X=0245.140-0266.180 | Y=0336.540-0345.860 | Nhất
P=0938 | X=0334.680-0403.420 | Y=0336.540-0345.860 | học Võ Thị Sáu
P=0938 | X=0111.170-0422.860 | Y=0352.420-0363.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0938 | X=0111.170-0422.610 | Y=0363.700-0374.940 | từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu học Võ Thị Sáu có
P=0938 | X=0111.170-0304.780 | Y=0375.240-0386.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0938 | X=0097.730-0103.330 | Y=0383.120-0392.440 | 2
P=0938 | X=0458.090-0474.730 | Y=0383.120-0392.440 | 160
P=0938 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 150
P=0938 | X=0111.170-0342.250 | Y=0392.760-0404.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0938 | X=0111.170-0388.360 | Y=0410.280-0421.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0938 | X=0111.170-0422.860 | Y=0428.040-0439.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0938 | X=0111.170-0422.610 | Y=0439.560-0450.800 | từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu học Võ Thị Sáu có
P=0938 | X=0111.170-0304.780 | Y=0451.100-0462.340 | hiện trạng là đường nhựa, bê tông xi măng:
P=0938 | X=0097.730-0342.720 | Y=0468.620-0482.700 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0938 | X=0458.090-0474.730 | Y=0473.380-0482.700 | 130
P=0938 | X=0505.390-0522.030 | Y=0473.380-0482.700 | 100
P=0938 | X=0111.170-0417.590 | Y=0486.140-0497.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0938 | X=0111.170-0152.850 | Y=0497.660-0508.900 | ≤1.000m.
P=0938 | X=0111.170-0334.350 | Y=0515.180-0526.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0938 | X=0111.170-0422.860 | Y=0532.970-0544.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=0938 | X=0111.170-0422.610 | Y=0544.250-0555.490 | từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu học Võ Thị Sáu có
P=0938 | X=0111.170-0304.780 | Y=0555.770-0567.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=0938 | X=0097.730-0103.330 | Y=0563.650-0572.970 | 4
P=0938 | X=0463.850-0474.970 | Y=0563.650-0572.970 | 90
P=0938 | X=0511.150-0522.270 | Y=0563.650-0572.970 | 50
P=0938 | X=0111.170-0397.020 | Y=0573.290-0584.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0938 | X=0111.170-0334.810 | Y=0590.810-0602.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0938 | X=0111.170-0396.430 | Y=0608.570-0619.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0938 | X=0111.170-0413.750 | Y=0620.110-0631.350 | Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0938 | X=0111.170-0411.630 | Y=0631.630-0642.870 | Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0938 | X=0097.730-0103.330 | Y=0639.510-0648.830 | 5
P=0938 | X=0458.090-0474.730 | Y=0639.510-0648.830 | 160
P=0938 | X=0505.390-0522.030 | Y=0639.510-0648.830 | 150
P=0938 | X=0111.170-0342.250 | Y=0649.150-0660.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0938 | X=0111.170-0388.360 | Y=0666.670-0677.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0938 | X=0111.170-0396.430 | Y=0684.430-0695.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0938 | X=0097.730-0413.750 | Y=0695.950-0707.190 | 6 Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường
P=0938 | X=0458.090-0474.730 | Y=0697.830-0707.150 | 130
P=0938 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 100
