TABLE=028 | AREA=Xã Xuân Phú | SECTION=agricultural | SEGMENTS=1
--- PAGES=961-999 | LINES=2456 | HEADING=28. Xã Xuân Phú ---
P=0961 | X=0090.020-0167.730 | Y=0639.750-0649.070 | 28. Xã Xuân Phú
P=0961 | X=0424.250-0458.310 | Y=0655.630-0666.870 | Giá đất
P=0961 | X=0478.250-0512.310 | Y=0655.630-0666.870 | Giá đất
P=0961 | X=0418.700-0516.830 | Y=0667.150-0678.390 | trồng cây rừng sản
P=0961 | X=0122.450-0229.670 | Y=0678.670-0689.910 | Tên đường giao thông
P=0961 | X=0259.300-0303.860 | Y=0678.670-0689.910 | Điểm đầu
P=0961 | X=0347.640-0395.100 | Y=0678.670-0689.910 | Điểm cuối
P=0961 | X=0421.130-0515.910 | Y=0678.670-0689.910 | lâu năm, xuất, đất
P=0961 | X=0097.490-0109.650 | Y=0680.550-0689.870 | TT
P=0961 | X=0419.690-0520.120 | Y=0690.190-0701.430 | đất trồng nuôi trồng
P=0961 | X=0419.690-0516.060 | Y=0701.730-0712.970 | cây hằng thủy sản
P=0962 | X=0430.970-0451.680 | Y=0072.260-0083.500 | năm
P=0962 | X=0235.300-0406.300 | Y=0090.260-0101.500 | Giáp ranh xã Xuân Đường Xuân Phú
P=0962 | X=0117.170-0160.450 | Y=0096.020-0107.260 | Quốc lộ 1
P=0962 | X=0100.610-0106.210 | Y=0097.900-0107.220 | 1
P=0962 | X=0452.330-0468.500 | Y=0097.900-0107.220 | 570
P=0962 | X=0506.350-0522.520 | Y=0097.900-0107.220 | 400
P=0962 | X=0235.300-0255.300 | Y=0101.780-0113.020 | Định
P=0962 | X=0327.960-0338.840 | Y=0103.660-0112.980 | 16
P=0962 | X=0117.170-0414.040 | Y=0119.570-0130.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0962 | X=0117.170-0409.760 | Y=0131.090-0142.330 | Giáp ranh xã Xuân Định đến Đường Xuân Phú 16 có hiện trạng là
P=0962 | X=0117.170-0254.870 | Y=0142.610-0153.850 | đường nhựa, bê tông xi măng:
P=0962 | X=0100.610-0106.210 | Y=0150.490-0159.810 | 2
P=0962 | X=0452.330-0468.500 | Y=0150.490-0159.810 | 380
P=0962 | X=0506.350-0522.520 | Y=0150.490-0159.810 | 250
P=0962 | X=0117.170-0347.560 | Y=0160.130-0171.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0962 | X=0117.170-0394.140 | Y=0177.410-0188.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0962 | X=0117.170-0414.160 | Y=0195.170-0206.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0962 | X=0117.170-0409.860 | Y=0206.710-0217.950 | Giáp ranh xã Xuân Định đến Đường Xuân Phú 16 có hiện trạng là
P=0962 | X=0117.170-0251.760 | Y=0218.230-0229.470 | đường nhựa, bê tông xi măng:
P=0962 | X=0117.170-0348.040 | Y=0235.750-0246.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0962 | X=0100.610-0106.210 | Y=0240.750-0250.070 | 3
P=0962 | X=0452.330-0468.500 | Y=0240.750-0250.070 | 300
P=0962 | X=0506.350-0522.520 | Y=0240.750-0250.070 | 200
P=0962 | X=0117.170-0404.530 | Y=0253.270-0264.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0962 | X=0117.170-0177.810 | Y=0264.790-0276.030 | đến ≤1.000m.
P=0962 | X=0117.170-0339.880 | Y=0282.340-0293.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0962 | X=0117.170-0414.040 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0962 | X=0117.170-0409.760 | Y=0311.620-0322.860 | Giáp ranh xã Xuân Định đến Đường Xuân Phú 16 có hiện trạng là
P=0962 | X=0117.170-0254.870 | Y=0323.140-0334.380 | đường nhựa, bê tông xi măng:
P=0962 | X=0100.610-0106.210 | Y=0331.020-0340.340 | 4
P=0962 | X=0452.330-0468.500 | Y=0331.020-0340.340 | 220
P=0962 | X=0506.350-0522.520 | Y=0331.020-0340.340 | 140
P=0962 | X=0117.170-0402.530 | Y=0340.660-0351.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0962 | X=0117.170-0340.360 | Y=0357.940-0369.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0962 | X=0117.170-0402.330 | Y=0375.720-0386.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0962 | X=0117.170-0407.120 | Y=0387.240-0398.480 | Quốc lộ 1 đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú
P=0962 | X=0117.170-0340.050 | Y=0398.760-0410.000 | 16 có hiện trạng là đường nhựa, bê tông xi măng:
P=0962 | X=0100.610-0106.210 | Y=0406.640-0415.960 | 5
P=0962 | X=0452.330-0468.500 | Y=0406.640-0415.960 | 380
P=0962 | X=0506.350-0522.520 | Y=0406.640-0415.960 | 250
P=0962 | X=0117.170-0347.560 | Y=0416.280-0427.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0962 | X=0117.170-0394.140 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0962 | X=0117.170-0402.460 | Y=0451.580-0462.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0962 | X=0117.170-0407.260 | Y=0463.100-0474.340 | Quốc lộ 1 đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú
P=0962 | X=0117.170-0337.240 | Y=0474.620-0485.860 | 16 có hiện trạng là đường nhựa, bê tông xi măng:
P=0962 | X=0117.170-0348.040 | Y=0492.140-0503.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0962 | X=0100.610-0106.210 | Y=0496.900-0506.220 | 6
P=0962 | X=0452.330-0468.500 | Y=0496.900-0506.220 | 300
P=0962 | X=0506.350-0522.510 | Y=0496.900-0506.220 | 200
P=0962 | X=0117.170-0404.530 | Y=0509.660-0520.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0962 | X=0117.170-0177.810 | Y=0521.180-0532.420 | đến ≤1.000m.
P=0962 | X=0117.170-0339.880 | Y=0538.490-0549.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0962 | X=0117.170-0402.330 | Y=0556.250-0567.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0962 | X=0117.170-0407.120 | Y=0567.770-0579.010 | Quốc lộ 1 đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú
P=0962 | X=0117.170-0340.050 | Y=0579.290-0590.530 | 16 có hiện trạng là đường nhựa, bê tông xi măng:
P=0962 | X=0100.610-0106.210 | Y=0587.170-0596.490 | 7
P=0962 | X=0452.330-0468.500 | Y=0587.170-0596.490 | 220
P=0962 | X=0506.350-0522.520 | Y=0587.170-0596.490 | 140
P=0962 | X=0117.170-0402.530 | Y=0596.810-0608.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0962 | X=0117.170-0340.360 | Y=0614.330-0625.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0962 | X=0327.960-0406.310 | Y=0632.110-0643.350 | Đường Xuân Phú
P=0962 | X=0117.170-0160.450 | Y=0637.870-0649.110 | Quốc lộ 1
P=0962 | X=0235.300-0327.320 | Y=0637.870-0649.110 | Đường Xuân Phú 16
P=0962 | X=0100.610-0106.210 | Y=0639.750-0649.070 | 8
P=0962 | X=0452.330-0468.500 | Y=0639.750-0649.070 | 570
