TABLE=031 | AREA=Xã Xuân Quế | SECTION=agricultural | SEGMENTS=1
--- PAGES=1058-1072 | LINES=1025 | HEADING=31. Xã Xuân Quế ---
P=1058 | X=0090.020-0168.630 | Y=0254.670-0263.990 | 31. Xã Xuân Quế
P=1058 | X=0423.050-0457.130 | Y=0270.550-0281.790 | Giá đất
P=1058 | X=0478.490-0512.590 | Y=0276.310-0287.550 | Giá đất
P=1058 | X=0417.500-0462.720 | Y=0283.980-0293.300 | trồng cây
P=1058 | X=0473.690-0517.310 | Y=0289.740-0299.060 | rừng sản
P=1058 | X=0139.970-0216.680 | Y=0293.620-0304.860 | Tên đường giao
P=1058 | X=0419.690-0460.400 | Y=0293.620-0304.860 | lâu năm,
P=1058 | X=0253.060-0298.360 | Y=0299.380-0310.620 | Điểm đầu
P=1058 | X=0342.120-0390.060 | Y=0299.380-0310.620 | Điểm cuối
P=1058 | X=0474.890-0516.190 | Y=0299.380-0310.620 | xuất, đất
P=1058 | X=0101.810-0114.210 | Y=0301.260-0310.580 | TT
P=1058 | X=0418.220-0461.610 | Y=0305.140-0316.380 | đất trồng
P=1058 | X=0164.470-0192.440 | Y=0307.020-0316.340 | thông
P=1058 | X=0470.810-0520.420 | Y=0312.780-0322.100 | nuôi trồng
P=1058 | X=0418.220-0461.830 | Y=0318.540-0327.860 | cây hằng
P=1058 | X=0474.890-0516.110 | Y=0324.300-0333.620 | thủy sản
P=1058 | X=0429.770-0450.480 | Y=0328.180-0339.420 | năm
P=1058 | X=0126.050-0216.790 | Y=0345.940-0357.180 | Đường Sông Nhạn -
P=1058 | X=0231.220-0313.850 | Y=0347.820-0357.140 | Ranh giới xã Xuân
P=1058 | X=0105.170-0110.770 | Y=0353.580-0362.900 | 1
P=1058 | X=0320.520-0375.710 | Y=0353.580-0362.900 | Cầu Quân Y
P=1058 | X=0451.610-0468.250 | Y=0353.580-0362.900 | 530
P=1058 | X=0505.390-0522.030 | Y=0353.580-0362.900 | 400
P=1058 | X=0126.050-0168.040 | Y=0359.340-0368.660 | Dầu Giây
P=1058 | X=0231.220-0250.260 | Y=0359.340-0368.660 | Quế
P=1058 | X=0126.050-0400.550 | Y=0375.240-0386.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1058 | X=0126.050-0385.670 | Y=0386.760-0398.000 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1058 | X=0126.050-0369.620 | Y=0398.280-0409.520 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
P=1058 | X=0105.170-0110.770 | Y=0406.160-0415.480 | 2
P=1058 | X=0451.610-0468.250 | Y=0406.160-0415.480 | 380
P=1058 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 250
P=1058 | X=0126.050-0357.130 | Y=0415.800-0427.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1058 | X=0126.050-0403.240 | Y=0433.320-0444.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1058 | X=0126.050-0400.550 | Y=0451.100-0462.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1058 | X=0126.050-0385.670 | Y=0462.620-0473.860 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Quế đến Cầu
P=1058 | X=0126.050-0369.640 | Y=0474.140-0485.380 | Quân Y có hiện trạng là đường nhựa, bê tông xi măng:
