TABLE=032 | AREA=Xã Xuân Đường | SECTION=agricultural | SEGMENTS=1
--- PAGES=1073-1085 | LINES=845 | HEADING=32. Xã Xuân Đường ---
P=1073 | X=0090.020-0182.870 | Y=0072.020-0083.260 | 32. Xã Xuân Đường
P=1073 | X=0395.420-0520.670 | Y=0089.780-0101.020 | Giá đất trồng Giá đất rừng
P=1073 | X=0130.850-0207.560 | Y=0101.300-0112.540 | Tên đường giao
P=1073 | X=0396.620-0521.470 | Y=0101.300-0112.540 | cây lâu năm, sản xuất, đất
P=1073 | X=0238.660-0283.940 | Y=0107.060-0118.300 | Điểm đầu
P=1073 | X=0325.080-0373.020 | Y=0107.060-0118.300 | Điểm cuối
P=1073 | X=0098.690-0111.090 | Y=0108.940-0118.260 | TT
P=1073 | X=0395.180-0515.380 | Y=0112.820-0124.060 | đất trồng cây nuôi trồng
P=1073 | X=0155.330-0183.300 | Y=0114.700-0124.020 | thông
P=1073 | X=0403.100-0450.670 | Y=0124.370-0135.610 | hằng năm
P=1073 | X=0470.090-0511.310 | Y=0126.250-0135.570 | thủy sản
P=1073 | X=0119.810-0189.980 | Y=0142.370-0153.610 | Đường tỉnh 773
P=1073 | X=0219.190-0394.460 | Y=0142.370-0153.610 | Giáp ranh xã Long Đường Sông Nhạn -
P=1073 | X=0102.050-0107.650 | Y=0150.010-0159.330 | 1
P=1073 | X=0442.010-0458.650 | Y=0150.010-0159.330 | 730
P=1073 | X=0505.390-0522.030 | Y=0150.010-0159.330 | 600
P=1073 | X=0119.810-0196.150 | Y=0153.650-0164.890 | (Hương lộ 10 cũ)
P=1073 | X=0219.190-0247.600 | Y=0155.530-0164.850 | Thành
P=1073 | X=0303.720-0345.710 | Y=0155.530-0164.850 | Dầu Giây
P=1073 | X=0119.810-0387.350 | Y=0171.410-0182.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1073 | X=0119.810-0388.300 | Y=0182.930-0194.170 | 773 (Hương lộ 10 cũ) đoạn từ Giáp ranh xã Long Thành đến
P=1073 | X=0119.810-0387.670 | Y=0194.450-0205.690 | Đường Sông Nhạn - Dầu Giây có hiện trạng là đường nhựa,
P=1073 | X=0119.810-0193.890 | Y=0205.990-0217.230 | bê tông xi măng:
P=1073 | X=0102.050-0107.650 | Y=0213.870-0223.190 | 2
P=1073 | X=0442.010-0458.650 | Y=0213.870-0223.190 | 500
P=1073 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 430
P=1073 | X=0119.810-0350.890 | Y=0223.510-0234.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1073 | X=0119.810-0360.920 | Y=0241.030-0252.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
