TABLE=033 | AREA=Xã Sông Ray | SECTION=agricultural | SEGMENTS=1
--- PAGES=1085-1106 | LINES=1373 | HEADING=33. Xã Sông Ray ---
P=1085 | X=0090.020-0168.100 | Y=0591.490-0600.810 | 33. Xã Sông Ray
P=1085 | X=0416.540-0450.650 | Y=0607.370-0618.610 | Giá đất
P=1085 | X=0475.850-0509.950 | Y=0607.370-0618.610 | Giá đất
P=1085 | X=0411.020-0514.670 | Y=0620.790-0630.110 | trồng cây rừng sản
P=1085 | X=0099.410-0111.810 | Y=0623.430-0632.750 | TT
P=1085 | X=0134.450-0211.160 | Y=0624.670-0635.910 | Tên đường giao
P=1085 | X=0246.100-0291.380 | Y=0630.430-0641.670 | Điểm đầu
P=1085 | X=0334.440-0382.380 | Y=0630.430-0641.670 | Điểm cuối
P=1085 | X=0404.300-0513.550 | Y=0630.430-0641.670 | lâu năm, đất xuất, đất
P=1085 | X=0158.930-0186.900 | Y=0638.070-0647.390 | thông
P=1085 | X=0411.020-0517.780 | Y=0643.830-0653.150 | trồng cây nuôi trồng
P=1085 | X=0410.060-0513.470 | Y=0653.470-0664.710 | hằng năm thủy sản
P=1085 | X=0224.740-0404.090 | Y=0673.350-0682.670 | Giáp ranh xã Cẩm Hết Trại giam Xuyên
P=1085 | X=0121.490-0191.680 | Y=0677.230-0688.470 | Đường tỉnh 764
P=1085 | X=0102.770-0108.370 | Y=0679.110-0688.430 | 1
P=1085 | X=0446.330-0462.970 | Y=0679.110-0688.430 | 530
P=1085 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 400
P=1085 | X=0224.740-0238.180 | Y=0684.630-0693.950 | Mỹ
P=1085 | X=0312.840-0331.800 | Y=0684.630-0693.950 | Mộc
P=1085 | X=0121.490-0389.030 | Y=0700.530-0711.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1085 | X=0102.770-0108.370 | Y=0702.420-0711.740 | 2
P=1085 | X=0446.330-0462.970 | Y=0702.420-0711.740 | 380
P=1085 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 250
P=1086 | X=0121.490-0388.730 | Y=0072.500-0083.740 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
P=1086 | X=0121.490-0350.160 | Y=0084.020-0095.260 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1086 | X=0121.490-0352.570 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1086 | X=0121.490-0398.680 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1086 | X=0121.490-0389.030 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1086 | X=0121.490-0388.730 | Y=0148.370-0159.610 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
