TABLE=034 | AREA=Xã Xuân Đông | SECTION=agricultural | SEGMENTS=1
--- PAGES=1106-1229 | LINES=8236 | HEADING=34. Xã Xuân Đông ---
P=1106 | X=0090.020-0174.650 | Y=0206.230-0217.470 | 34. Xã Xuân Đông
P=1106 | X=0417.980-0452.090 | Y=0223.990-0235.230 | Giá đất
P=1106 | X=0476.090-0510.190 | Y=0229.750-0240.990 | Giá đất
P=1106 | X=0412.460-0457.680 | Y=0237.390-0246.710 | trồng cây
P=1106 | X=0471.530-0515.150 | Y=0243.150-0252.470 | rừng sản
P=1106 | X=0414.620-0455.330 | Y=0247.030-0258.270 | lâu năm,
P=1106 | X=0135.170-0242.340 | Y=0252.790-0264.030 | Tên đường giao thông
P=1106 | X=0265.780-0311.080 | Y=0252.790-0264.030 | Điểm đầu
P=1106 | X=0342.840-0390.780 | Y=0252.790-0264.030 | Điểm cuối
P=1106 | X=0472.490-0513.790 | Y=0252.790-0264.030 | xuất, đất
P=1106 | X=0102.770-0115.170 | Y=0254.670-0263.990 | TT
P=1106 | X=0413.420-0456.810 | Y=0258.550-0269.790 | đất trồng
P=1106 | X=0468.410-0518.020 | Y=0266.190-0275.510 | nuôi trồng
P=1106 | X=0413.420-0457.030 | Y=0271.950-0281.270 | cây hằng
P=1106 | X=0472.730-0513.950 | Y=0277.710-0287.030 | thủy sản
P=1106 | X=0424.730-0445.440 | Y=0281.620-0292.860 | năm
P=1106 | X=0327.720-0396.220 | Y=0299.620-0310.860 | Giáp trạm xăng
P=1106 | X=0249.460-0306.900 | Y=0301.500-0310.820 | Giáp ranh xã
P=1106 | X=0128.210-0198.400 | Y=0305.380-0316.620 | Đường tỉnh 765
P=1106 | X=0106.130-0111.730 | Y=0307.260-0316.580 | 1
P=1106 | X=0447.290-0463.930 | Y=0307.260-0316.580 | 530
P=1106 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 400
P=1106 | X=0327.720-0388.780 | Y=0311.140-0322.380 | dầu Đồng Nai
P=1106 | X=0249.460-0293.230 | Y=0313.020-0322.340 | Xuân Phú
P=1106 | X=0128.210-0395.750 | Y=0328.900-0340.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1106 | X=0128.210-0399.100 | Y=0340.420-0351.660 | 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu
P=1106 | X=0128.210-0379.500 | Y=0351.700-0362.940 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1106 | X=0106.130-0111.730 | Y=0359.580-0368.900 | 2
P=1106 | X=0447.290-0463.930 | Y=0359.580-0368.900 | 380
P=1106 | X=0505.390-0522.030 | Y=0359.580-0368.900 | 250
P=1106 | X=0128.210-0359.290 | Y=0369.240-0380.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1106 | X=0128.210-0405.400 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1106 | X=0128.210-0395.750 | Y=0404.520-0415.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1106 | X=0128.210-0399.100 | Y=0416.040-0427.280 | 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu
P=1106 | X=0128.210-0379.460 | Y=0427.560-0438.800 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1106 | X=0128.210-0359.760 | Y=0445.080-0456.320 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1106 | X=0106.130-0111.730 | Y=0449.840-0459.160 | 3
P=1106 | X=0447.290-0463.930 | Y=0449.840-0459.160 | 310
P=1106 | X=0505.390-0522.030 | Y=0449.840-0459.160 | 200
P=1106 | X=0128.210-0381.520 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1106 | X=0128.210-0223.180 | Y=0474.140-0485.380 | >500m đến ≤1.000m.
P=1106 | X=0128.210-0351.380 | Y=0491.660-0502.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1106 | X=0128.210-0395.750 | Y=0509.420-0520.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1106 | X=0128.210-0399.100 | Y=0520.940-0532.180 | 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng dầu
P=1106 | X=0128.210-0379.460 | Y=0532.220-0543.460 | Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1106 | X=0106.130-0111.730 | Y=0545.890-0555.210 | 4
P=1106 | X=0447.290-0463.930 | Y=0545.890-0555.210 | 220
P=1106 | X=0505.390-0522.030 | Y=0545.890-0555.210 | 140
P=1106 | X=0128.210-0369.320 | Y=0549.770-0561.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1106 | X=0128.210-0170.350 | Y=0563.170-0572.490 | >1.000m.
P=1106 | X=0128.210-0351.850 | Y=0578.810-0590.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1106 | X=0128.210-0401.740 | Y=0596.570-0607.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1106 | X=0128.210-0397.420 | Y=0608.090-0619.330 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp
P=1106 | X=0128.210-0405.590 | Y=0619.630-0630.870 | trạm xăng dầu Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1106 | X=0128.210-0166.040 | Y=0631.150-0642.390 | xi măng:
P=1106 | X=0106.130-0111.730 | Y=0633.270-0642.590 | 5
P=1106 | X=0447.290-0463.930 | Y=0633.270-0642.590 | 380
P=1106 | X=0505.390-0522.030 | Y=0633.270-0642.590 | 250
P=1106 | X=0128.210-0359.290 | Y=0648.670-0659.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1106 | X=0128.210-0405.400 | Y=0666.190-0677.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1106 | X=0128.210-0401.740 | Y=0683.950-0695.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1106 | X=0128.210-0397.420 | Y=0695.470-0706.710 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp
P=1106 | X=0106.130-0111.730 | Y=0697.350-0706.670 | 6
P=1106 | X=0447.290-0463.930 | Y=0697.350-0706.670 | 310
P=1106 | X=0505.390-0522.030 | Y=0697.350-0706.670 | 200
P=1106 | X=0128.210-0405.590 | Y=0706.770-0718.010 | trạm xăng dầu Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1107 | X=0128.210-0166.040 | Y=0072.500-0083.740 | xi măng:
P=1107 | X=0128.210-0359.760 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1107 | X=0128.210-0381.520 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1107 | X=0128.210-0223.180 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1107 | X=0128.210-0351.380 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1107 | X=0128.210-0401.740 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1107 | X=0128.210-0397.420 | Y=0165.650-0176.890 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp
P=1107 | X=0128.210-0405.590 | Y=0177.170-0188.410 | trạm xăng dầu Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1107 | X=0128.210-0166.040 | Y=0188.690-0199.930 | xi măng:
P=1107 | X=0106.130-0111.730 | Y=0196.570-0205.890 | 7
P=1107 | X=0447.290-0463.930 | Y=0196.570-0205.890 | 220
P=1107 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 140
P=1107 | X=0128.210-0369.320 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
