TABLE=036 | AREA=Xã An Viễn | SECTION=agricultural | SEGMENTS=2
--- PAGES=1229-1244 | LINES=970 | HEADING=36. Xã An Viễn ---
P=1229 | X=0090.020-0159.080 | Y=0558.610-0567.930 | 36. Xã An Viễn
P=1229 | X=0424.970-0459.050 | Y=0574.250-0585.490 | Giá đất
P=1229 | X=0478.970-0513.070 | Y=0580.010-0591.250 | Giá đất
P=1229 | X=0419.450-0464.640 | Y=0587.650-0596.970 | trồng cây
P=1229 | X=0474.410-0518.030 | Y=0593.410-0602.730 | rừng sản
P=1229 | X=0131.570-0208.280 | Y=0597.290-0608.530 | Tên đường giao
P=1229 | X=0421.610-0462.320 | Y=0597.290-0608.530 | lâu năm,
P=1229 | X=0246.340-0291.620 | Y=0603.050-0614.290 | Điểm đầu
P=1229 | X=0340.680-0388.620 | Y=0603.050-0614.290 | Điểm cuối
P=1229 | X=0475.370-0516.670 | Y=0603.050-0614.290 | xuất, đất
P=1229 | X=0097.250-0109.650 | Y=0604.930-0614.250 | TT
P=1229 | X=0420.410-0463.770 | Y=0608.810-0620.050 | đất trồng
P=1229 | X=0156.050-0184.020 | Y=0610.690-0620.010 | thông
P=1229 | X=0471.290-0520.900 | Y=0616.450-0625.770 | nuôi trồng
P=1229 | X=0420.410-0463.990 | Y=0622.230-0631.550 | cây hằng
P=1229 | X=0475.610-0516.830 | Y=0627.990-0637.310 | thủy sản
P=1229 | X=0431.690-0452.400 | Y=0631.870-0643.110 | năm
P=1229 | X=0117.170-0187.340 | Y=0649.870-0661.110 | Đường tỉnh 777
P=1229 | X=0117.170-0209.110 | Y=0661.390-0672.630 | (đường Trảng Bom -
P=1229 | X=0223.030-0304.270 | Y=0661.390-0672.630 | Đường Vườn Ngô
P=1229 | X=0315.240-0362.940 | Y=0661.390-0672.630 | Đường sắt
P=1229 | X=0100.610-0106.210 | Y=0663.270-0672.590 | 1
P=1229 | X=0453.050-0469.690 | Y=0663.270-0672.590 | 730
P=1229 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 670
P=1229 | X=0117.170-0173.820 | Y=0674.790-0684.110 | Long Thành)
P=1229 | X=0117.170-0403.910 | Y=0690.670-0701.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1229 | X=0100.610-0106.210 | Y=0698.310-0707.630 | 2
P=1229 | X=0453.050-0469.690 | Y=0698.310-0707.630 | 500
P=1229 | X=0505.390-0522.030 | Y=0698.310-0707.630 | 450
P=1229 | X=0117.170-0408.940 | Y=0702.210-0713.450 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1230 | X=0117.170-0374.430 | Y=0072.500-0083.740 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1230 | X=0117.170-0348.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1230 | X=0117.170-0394.360 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1230 | X=0117.170-0403.910 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1230 | X=0117.170-0408.940 | Y=0136.850-0148.090 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1230 | X=0117.170-0374.430 | Y=0148.370-0159.610 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1230 | X=0117.170-0348.720 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1230 | X=0100.610-0106.210 | Y=0170.650-0179.970 | 3
P=1230 | X=0453.050-0469.690 | Y=0170.650-0179.970 | 400
P=1230 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 350
P=1230 | X=0117.170-0404.060 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1230 | X=0117.170-0178.290 | Y=0194.690-0205.930 | đến ≤1.000m.
P=1230 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1230 | X=0117.170-0403.910 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 777
P=1230 | X=0117.170-0408.940 | Y=0241.510-0252.750 | (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn Ngô đến
P=1230 | X=0117.170-0374.430 | Y=0253.030-0264.270 | Đường sắt có hiện trạng là đường nhựa, bê tông xi măng:
P=1230 | X=0100.610-0106.210 | Y=0260.910-0270.230 | 4
P=1230 | X=0453.050-0469.690 | Y=0260.910-0270.230 | 290
P=1230 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 250
P=1230 | X=0117.170-0390.760 | Y=0270.550-0281.790 | - Có bề rộng ≥3m đến <5m, cách đường giao thông >1.000m.
P=1230 | X=0117.170-0340.810 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1230 | X=0117.170-0402.430 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1230 | X=0117.170-0413.020 | Y=0317.380-0328.620 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1230 | X=0117.170-0412.780 | Y=0328.900-0340.140 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1230 | X=0117.170-0145.170 | Y=0340.420-0351.660 | măng:
P=1230 | X=0100.610-0106.210 | Y=0342.540-0351.860 | 5
P=1230 | X=0453.050-0469.690 | Y=0342.540-0351.860 | 500
P=1230 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 450
P=1230 | X=0117.170-0348.250 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1230 | X=0117.170-0382.080 | Y=0375.240-0386.480 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1230 | X=0117.170-0402.430 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1230 | X=0117.170-0413.020 | Y=0404.520-0415.760 | Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ Đường
P=1230 | X=0117.170-0412.780 | Y=0416.040-0427.280 | Vườn Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1230 | X=0117.170-0145.170 | Y=0427.560-0438.800 | măng:
P=1230 | X=0100.610-0106.210 | Y=0444.080-0453.400 | 6
P=1230 | X=0453.050-0469.690 | Y=0444.080-0453.400 | 400
P=1230 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 350
