TABLE=037 | AREA=Xã Bàu Hàm | SECTION=agricultural | SEGMENTS=2
--- PAGES=1244-1263 | LINES=1213 | HEADING=37. Xã Bàu Hàm ---
P=1244 | X=0090.020-0165.200 | Y=0307.020-0316.340 | 37. Xã Bàu Hàm
P=1244 | X=0424.970-0459.050 | Y=0322.900-0334.140 | Giá đất
P=1244 | X=0479.210-0513.310 | Y=0328.660-0339.900 | Giá đất
P=1244 | X=0419.450-0464.640 | Y=0336.300-0345.620 | trồng cây
P=1244 | X=0474.650-0518.270 | Y=0341.820-0351.140 | rừng sản
P=1244 | X=0131.570-0208.280 | Y=0345.700-0356.940 | Tên đường giao
P=1244 | X=0421.610-0462.320 | Y=0345.700-0356.940 | lâu năm,
P=1244 | X=0246.340-0291.620 | Y=0351.460-0362.700 | Điểm đầu
P=1244 | X=0340.680-0388.620 | Y=0351.460-0362.700 | Điểm cuối
P=1244 | X=0475.610-0516.910 | Y=0351.460-0362.700 | xuất, đất
P=1244 | X=0097.490-0109.890 | Y=0353.340-0362.660 | TT
P=1244 | X=0420.410-0463.770 | Y=0357.220-0368.460 | đất trồng
P=1244 | X=0156.050-0184.020 | Y=0359.100-0368.420 | thông
P=1244 | X=0471.530-0521.140 | Y=0364.860-0374.180 | nuôi trồng
P=1244 | X=0420.410-0463.990 | Y=0370.640-0379.960 | cây hằng
P=1244 | X=0475.850-0517.070 | Y=0376.400-0385.720 | thủy sản
P=1244 | X=0431.690-0452.400 | Y=0380.280-0391.520 | năm
P=1244 | X=0117.170-0207.430 | Y=0398.280-0409.520 | Đường Trảng Bom -
P=1244 | X=0223.030-0403.310 | Y=0398.280-0409.520 | Giáp ranh xã Trảng Đường vào Công ty
P=1244 | X=0100.850-0106.450 | Y=0405.920-0415.240 | 1
P=1244 | X=0453.050-0469.690 | Y=0405.920-0415.240 | 570
P=1244 | X=0505.630-0522.270 | Y=0405.920-0415.240 | 500
P=1244 | X=0315.240-0356.840 | Y=0409.800-0421.040 | Đông Nhi
P=1244 | X=0117.170-0169.080 | Y=0411.680-0421.000 | Thanh Bình
P=1244 | X=0223.030-0243.660 | Y=0411.680-0421.000 | Bom
P=1244 | X=0117.170-0394.550 | Y=0427.560-0438.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1244 | X=0117.170-0401.990 | Y=0439.080-0450.320 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1244 | X=0117.170-0394.040 | Y=0450.620-0461.860 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1244 | X=0117.170-0145.170 | Y=0462.140-0473.380 | măng:
P=1244 | X=0100.850-0106.450 | Y=0464.260-0473.580 | 2
P=1244 | X=0453.050-0469.690 | Y=0464.260-0473.580 | 400
P=1244 | X=0505.630-0522.270 | Y=0464.260-0473.580 | 350
P=1244 | X=0117.170-0348.250 | Y=0479.660-0490.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1244 | X=0117.170-0382.080 | Y=0497.180-0508.420 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1244 | X=0117.170-0394.550 | Y=0514.940-0526.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1244 | X=0117.170-0401.990 | Y=0526.220-0537.460 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1244 | X=0117.170-0394.040 | Y=0537.770-0549.010 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1244 | X=0117.170-0145.170 | Y=0549.290-0560.530 | măng:
P=1244 | X=0100.850-0106.450 | Y=0566.050-0575.370 | 3
P=1244 | X=0453.050-0469.690 | Y=0566.050-0575.370 | 310
P=1244 | X=0505.630-0522.270 | Y=0566.050-0575.370 | 290
P=1244 | X=0117.170-0348.720 | Y=0566.810-0578.050 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1244 | X=0117.170-0404.060 | Y=0584.330-0595.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1244 | X=0117.170-0178.290 | Y=0595.850-0607.090 | đến ≤1.000m.
P=1244 | X=0117.170-0340.340 | Y=0613.370-0624.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1244 | X=0117.170-0394.550 | Y=0631.150-0642.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trảng
P=1244 | X=0117.170-0401.990 | Y=0642.670-0653.910 | Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom đến Đường
P=1244 | X=0117.170-0394.040 | Y=0654.190-0665.430 | vào Công ty Đông Nhi có hiện trạng là đường nhựa, bê tông xi
P=1244 | X=0117.170-0145.170 | Y=0665.710-0676.950 | măng:
P=1244 | X=0100.850-0106.450 | Y=0667.830-0677.150 | 4
P=1244 | X=0453.050-0469.690 | Y=0667.830-0677.150 | 220
P=1244 | X=0505.630-0522.270 | Y=0667.830-0677.150 | 200
P=1244 | X=0117.170-0402.980 | Y=0683.230-0694.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1244 | X=0117.170-0340.810 | Y=0700.530-0711.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1245 | X=0117.170-0402.430 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1245 | X=0117.170-0411.250 | Y=0090.020-0101.260 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1245 | X=0117.170-0401.590 | Y=0101.540-0112.780 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường nhựa,
P=1245 | X=0117.170-0191.250 | Y=0113.060-0124.300 | bê tông xi măng:
P=1245 | X=0100.850-0106.450 | Y=0115.180-0124.500 | 5
P=1245 | X=0453.050-0469.690 | Y=0115.180-0124.500 | 400
P=1245 | X=0505.630-0522.270 | Y=0115.180-0124.500 | 350
P=1245 | X=0117.170-0348.250 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1245 | X=0117.170-0394.360 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1245 | X=0117.170-0402.430 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1245 | X=0117.170-0411.250 | Y=0177.170-0188.410 | Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
