TABLE=038 | AREA=Xã Bình Minh | SECTION=agricultural | SEGMENTS=2
--- PAGES=1263-1292 | LINES=1921 | HEADING=38. Xã Bình Minh ---
P=1263 | X=0090.020-0170.060 | Y=0150.010-0159.330 | 38. Xã Bình Minh
P=1263 | X=0424.970-0459.050 | Y=0165.890-0177.130 | Giá đất
P=1263 | X=0478.970-0513.070 | Y=0171.410-0182.650 | Giá đất
P=1263 | X=0419.450-0464.640 | Y=0179.050-0188.370 | trồng cây
P=1263 | X=0474.410-0518.030 | Y=0184.810-0194.130 | rừng sản
P=1263 | X=0131.570-0208.280 | Y=0188.690-0199.930 | Tên đường giao
P=1263 | X=0421.610-0462.320 | Y=0188.690-0199.930 | lâu năm,
P=1263 | X=0246.340-0291.620 | Y=0194.450-0205.690 | Điểm đầu
P=1263 | X=0340.680-0388.620 | Y=0194.450-0205.690 | Điểm cuối
P=1263 | X=0475.370-0516.670 | Y=0194.450-0205.690 | xuất, đất
P=1263 | X=0097.250-0109.650 | Y=0196.330-0205.650 | TT
P=1263 | X=0420.410-0463.770 | Y=0200.230-0211.470 | đất trồng
P=1263 | X=0156.050-0184.020 | Y=0202.110-0211.430 | thông
P=1263 | X=0471.290-0520.900 | Y=0207.870-0217.190 | nuôi trồng
P=1263 | X=0420.410-0463.990 | Y=0213.630-0222.950 | cây hằng
P=1263 | X=0475.610-0516.830 | Y=0219.390-0228.710 | thủy sản
P=1263 | X=0431.690-0452.400 | Y=0223.270-0234.510 | năm
P=1263 | X=0100.610-0106.210 | Y=0243.150-0252.470 | 1
P=1263 | X=0117.170-0160.210 | Y=0243.150-0252.470 | Quốc lộ 1
P=1263 | X=0223.030-0285.060 | Y=0243.150-0252.470 | Ngã ba Trị An
P=1263 | X=0315.240-0389.720 | Y=0243.150-0252.470 | Nhà thờ Bùi Chu
P=1263 | X=0453.050-0469.690 | Y=0243.150-0252.470 | 730
P=1263 | X=0505.390-0522.030 | Y=0243.150-0252.470 | 650
P=1263 | X=0117.170-0414.170 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1263 | X=0117.170-0408.550 | Y=0270.550-0281.790 | Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa,
P=1263 | X=0117.170-0191.250 | Y=0282.100-0293.340 | bê tông xi măng:
P=1263 | X=0100.610-0106.210 | Y=0289.980-0299.300 | 2
P=1263 | X=0453.050-0469.690 | Y=0289.980-0299.300 | 500
P=1263 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 450
P=1263 | X=0117.170-0348.260 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1263 | X=0117.170-0382.080 | Y=0317.140-0328.380 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1263 | X=0117.170-0414.170 | Y=0334.900-0346.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1263 | X=0117.170-0408.550 | Y=0346.420-0357.660 | Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa,
P=1263 | X=0117.170-0191.250 | Y=0357.700-0368.940 | bê tông xi măng:
P=1263 | X=0117.170-0348.720 | Y=0375.240-0386.480 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1263 | X=0100.610-0106.210 | Y=0380.240-0389.560 | 3
P=1263 | X=0453.050-0469.690 | Y=0380.240-0389.560 | 400
P=1263 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 350
P=1263 | X=0117.170-0404.060 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1263 | X=0117.170-0178.290 | Y=0404.280-0415.520 | đến ≤1.000m.
P=1263 | X=0117.170-0340.340 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1263 | X=0117.170-0414.170 | Y=0439.560-0450.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1263 | X=0117.170-0408.550 | Y=0451.100-0462.340 | Ngã ba Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa,
P=1263 | X=0117.170-0191.250 | Y=0462.620-0473.860 | bê tông xi măng:
P=1263 | X=0100.610-0106.210 | Y=0470.500-0479.820 | 4
P=1263 | X=0453.050-0469.690 | Y=0470.500-0479.820 | 290
P=1263 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 260
