TABLE=041 | AREA=Xã Gia Kiệm | SECTION=agricultural | SEGMENTS=1
--- PAGES=1451-1475 | LINES=1619 | HEADING=41. Xã Gia Kiệm ---
P=1451 | X=0090.020-0165.250 | Y=0226.350-0235.670 | 41. Xã Gia Kiệm
P=1451 | X=0441.050-0475.130 | Y=0242.470-0253.710 | Giá đất
P=1451 | X=0483.770-0517.870 | Y=0248.230-0259.470 | Giá đất
P=1451 | X=0445.130-0470.730 | Y=0255.870-0265.190 | trồng
P=1451 | X=0489.070-0512.510 | Y=0261.630-0270.950 | rừng
P=1451 | X=0441.050-0475.050 | Y=0267.390-0276.710 | cây lâu
P=1451 | X=0492.190-0509.390 | Y=0273.150-0282.470 | sản
P=1451 | X=0437.450-0478.730 | Y=0277.030-0288.270 | năm, đất
P=1451 | X=0131.570-0238.740 | Y=0282.820-0294.060 | Tên đường giao thông
P=1451 | X=0272.740-0318.040 | Y=0282.820-0294.060 | Điểm đầu
P=1451 | X=0363.980-0411.900 | Y=0282.820-0294.060 | Điểm cuối
P=1451 | X=0480.170-0521.470 | Y=0282.820-0294.060 | xuất, đất
P=1451 | X=0098.450-0110.850 | Y=0284.700-0294.020 | TT
P=1451 | X=0445.130-0470.730 | Y=0290.460-0299.780 | trồng
P=1451 | X=0490.270-0511.530 | Y=0296.220-0305.540 | nuôi
P=1451 | X=0449.690-0466.330 | Y=0301.980-0311.300 | cây
P=1451 | X=0488.110-0513.710 | Y=0307.740-0317.060 | trồng
P=1451 | X=0446.090-0470.240 | Y=0313.500-0322.820 | hằng
P=1451 | X=0480.410-0521.630 | Y=0319.260-0328.580 | thủy sản
P=1451 | X=0447.770-0468.480 | Y=0323.140-0334.380 | năm
P=1451 | X=0119.570-0327.040 | Y=0341.140-0352.380 | Đường song hành phía Đông Giáp ranh xã Gia
P=1451 | X=0339.960-0418.460 | Y=0341.140-0352.380 | Đường Lạc Sơn -
P=1451 | X=0101.810-0107.410 | Y=0348.780-0358.100 | 1
P=1451 | X=0462.650-0479.290 | Y=0348.780-0358.100 | 700
P=1451 | X=0505.390-0522.030 | Y=0348.780-0358.100 | 600
P=1451 | X=0119.570-0168.130 | Y=0354.540-0363.860 | Quốc lộ 20
P=1451 | X=0251.140-0273.940 | Y=0354.540-0363.860 | Kiệm
P=1451 | X=0339.960-0391.190 | Y=0354.540-0363.860 | Xuân Thiện
P=1451 | X=0119.570-0417.120 | Y=0370.200-0381.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường song hành
P=1451 | X=0119.570-0430.970 | Y=0381.720-0392.960 | phía Đông Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
