TABLE=042 | AREA=Xã Thống Nhất | SECTION=agricultural | SEGMENTS=1
--- PAGES=1475-1494 | LINES=1273 | HEADING=42. Xã Thống Nhất ---
P=1475 | X=0090.020-0177.430 | Y=0371.600-0380.920 | 42. Xã Thống Nhất
P=1475 | X=0441.770-0518.590 | Y=0387.720-0398.960 | Giá đất Giá đất
P=1475 | X=0445.850-0471.450 | Y=0401.120-0410.440 | trồng
P=1475 | X=0489.790-0513.230 | Y=0401.120-0410.440 | rừng
P=1475 | X=0441.770-0475.770 | Y=0412.640-0421.960 | cây lâu
P=1475 | X=0492.910-0510.110 | Y=0412.640-0421.960 | sản
P=1475 | X=0134.690-0241.860 | Y=0422.280-0433.520 | Tên đường giao thông
P=1475 | X=0281.860-0327.160 | Y=0422.280-0433.520 | Điểm đầu
P=1475 | X=0369.500-0417.420 | Y=0422.280-0433.520 | Điểm cuối
P=1475 | X=0438.170-0522.190 | Y=0422.280-0433.520 | năm, đất xuất, đất
P=1475 | X=0097.730-0110.130 | Y=0424.160-0433.480 | TT
P=1475 | X=0445.850-0471.450 | Y=0435.680-0445.000 | trồng
P=1475 | X=0490.990-0512.250 | Y=0435.680-0445.000 | nuôi
P=1475 | X=0436.970-0514.190 | Y=0447.200-0456.520 | cây hằng trồng
P=1475 | X=0448.490-0522.110 | Y=0456.860-0468.100 | năm thủy sản
P=1475 | X=0259.060-0334.960 | Y=0476.980-0486.300 | Giáp ranh xã Gia
P=1475 | X=0350.520-0433.190 | Y=0480.860-0492.100 | Đường Vườn Xoài
P=1475 | X=0101.090-0106.690 | Y=0482.740-0492.060 | 1
P=1475 | X=0118.130-0166.690 | Y=0482.740-0492.060 | Quốc lộ 20
P=1475 | X=0463.850-0480.490 | Y=0482.740-0492.060 | 730
P=1475 | X=0505.390-0522.030 | Y=0482.740-0492.060 | 670
P=1475 | X=0259.060-0281.860 | Y=0488.500-0497.820 | Kiệm
P=1475 | X=0118.130-0420.650 | Y=0504.620-0515.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1475 | X=0118.130-0428.390 | Y=0516.140-0527.380 | Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện trạng là đường
P=1475 | X=0118.130-0221.240 | Y=0527.660-0538.900 | nhựa, bê tông xi măng:
P=1475 | X=0101.090-0106.690 | Y=0535.570-0544.890 | 2
P=1475 | X=0463.850-0480.490 | Y=0535.570-0544.890 | 500
P=1475 | X=0505.390-0522.030 | Y=0535.570-0544.890 | 450
P=1475 | X=0118.130-0349.210 | Y=0545.210-0556.450 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1475 | X=0118.130-0395.320 | Y=0562.490-0573.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1475 | X=0118.130-0420.650 | Y=0580.490-0591.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1475 | X=0118.130-0428.390 | Y=0592.010-0603.250 | Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện trạng là đường
P=1475 | X=0118.130-0221.240 | Y=0603.530-0614.770 | nhựa, bê tông xi măng:
P=1475 | X=0118.130-0349.680 | Y=0621.070-0632.310 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1475 | X=0101.090-0106.690 | Y=0626.070-0635.390 | 3
P=1475 | X=0463.850-0480.490 | Y=0626.070-0635.390 | 400
P=1475 | X=0505.390-0522.030 | Y=0626.070-0635.390 | 350
P=1475 | X=0118.130-0424.550 | Y=0638.590-0649.830 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1475 | X=0118.130-0159.810 | Y=0650.110-0661.350 | ≤1.000m.
P=1475 | X=0118.130-0341.300 | Y=0667.630-0678.870 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1475 | X=0118.130-0420.650 | Y=0685.630-0696.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1475 | X=0101.090-0106.690 | Y=0693.270-0702.590 | 4
P=1475 | X=0463.850-0480.490 | Y=0693.270-0702.590 | 290
P=1475 | X=0505.390-0522.030 | Y=0693.270-0702.590 | 250
P=1475 | X=0118.130-0428.390 | Y=0697.150-0708.390 | Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện trạng là đường
P=1476 | X=0118.130-0221.240 | Y=0072.740-0083.980 | nhựa, bê tông xi măng:
