TABLE=043 | AREA=Xã Định Quán | SECTION=agricultural | SEGMENTS=1
--- PAGES=1494-1556 | LINES=3974 | HEADING=43. Xã Định Quán ---
P=1494 | X=0090.020-0172.500 | Y=0620.110-0631.350 | 43. Xã Định Quán
P=1494 | X=0421.850-0455.930 | Y=0638.110-0649.350 | Giá đất
P=1494 | X=0478.490-0512.590 | Y=0638.110-0649.350 | Giá đất
P=1494 | X=0416.300-0517.550 | Y=0651.510-0660.830 | trồng cây rừng sản
P=1494 | X=0116.450-0193.180 | Y=0655.390-0666.630 | Tên đường giao
P=1494 | X=0222.310-0267.620 | Y=0661.150-0672.390 | Điểm đầu
P=1494 | X=0326.280-0374.220 | Y=0661.150-0672.390 | Điểm cuối
P=1494 | X=0409.580-0516.190 | Y=0661.150-0672.390 | lâu năm, đất xuất, đất
P=1494 | X=0094.820-0107.220 | Y=0663.030-0672.350 | TT
P=1494 | X=0140.930-0168.900 | Y=0668.790-0678.110 | thông
P=1494 | X=0416.300-0520.420 | Y=0674.550-0683.870 | trồng cây nuôi trồng
P=1494 | X=0415.100-0516.350 | Y=0684.190-0695.430 | hằng năm thủy sản
P=1494 | X=0098.210-0246.660 | Y=0702.450-0713.690 | 1 Đường Gia Canh Quốc lộ 20
P=1494 | X=0292.200-0391.660 | Y=0702.450-0713.690 | Quốc lộ 20+290m(đến
P=1494 | X=0452.090-0468.730 | Y=0704.340-0713.660 | 570
P=1494 | X=0505.390-0522.030 | Y=0704.340-0713.660 | 500
P=1495 | X=0292.200-0335.630 | Y=0074.620-0083.940 | giáp suối)
P=1495 | X=0112.370-0405.800 | Y=0090.740-0101.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1495 | X=0112.370-0403.660 | Y=0102.260-0113.500 | đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến giáp suối) có hiện
P=1495 | X=0112.370-0284.150 | Y=0113.780-0125.020 | trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0103.810 | Y=0121.690-0131.010 | 2
P=1495 | X=0452.090-0468.730 | Y=0121.690-0131.010 | 380
P=1495 | X=0505.390-0522.030 | Y=0121.690-0131.010 | 350
P=1495 | X=0112.370-0335.280 | Y=0131.330-0142.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1495 | X=0112.370-0389.560 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1495 | X=0112.370-0405.800 | Y=0166.850-0178.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Gia Canh
P=1495 | X=0112.370-0403.660 | Y=0178.370-0189.610 | đoạn từ Quốc lộ 20 đến Quốc lộ 20+290m (đến giáp suối) có hiện
P=1495 | X=0112.370-0284.190 | Y=0189.650-0200.890 | trạng là đường nhựa, bê tông xi măng:
P=1495 | X=0098.210-0335.540 | Y=0207.190-0221.510 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
